	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	6,227e+004	1,990e+005	530,7	655,5	124,8	128,8	530,3	149,5	-0,3215	73,52	149,8	142,6	-0,1847	375,0	91,76	0,2687	1,704e+006	1,352e+004	-1,252e+004	1,338e+004	-1,404e+004	123,1	97,59	578,4	125,6	8,489
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	5,212e+004	1,775e+005	467,4	578,3	110,9	119,1	463,5	151,5	1,053	77,49	150,4	144,3	3,605	379,7	99,20	0,3087	9,543e+005	1,387e+004	-1,123e+004	1,971e+004	-1,611e+004	1,361	111,0	471,2	111,1	9,485
6	6,034e+004	1,992e+005	527,8	664,0	136,2	138,3	582,0	150,1	-0,4925	75,28	150,6	145,8	1,368	377,4	96,60	0,2762	1,725e+006	1,377e+004	-1,125e+004	1,312e+004	-2,077e+004	-0,01368	108,8	546,4	138,9	9,212
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	4,854e+004	1,659e+005	439,7	540,5	100,8	108,3	413,4	150,1	0,1778	75,39	149,9	140,3	3,365	377,4	99,72	0,3191	7,012e+005	1,391e+004	-1,132e+004	1,867e+004	-1,458e+004	0,6566	104,4	440,9	101,2	9,122
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	5,975e+004	2,067e+005	551,2	672,8	121,5	123,9	511,6	147,7	-1,074	71,72	148,8	141,1	-0,3146	375,0	96,93	0,2560	2,218e+006	1,353e+004	-1,250e+004	1,677e+004	-1,531e+004	125,5	101,1	568,7	123,6	8,301
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	5,446e+004	1,824e+005	480,3	598,6	118,3	126,2	521,1	153,4	2,490	79,08	150,9	146,2	4,049	379,7	97,78	0,3044	9,268e+005	1,386e+004	-1,140e+004	2,002e+004	-1,705e+004	3,187	105,2	491,2	118,9	9,623
14	6,129e+004	2,022e+005	535,8	676,7	140,9	143,9	600,6	154,6	-0,5882	78,45	155,2	150,7	2,709	377,4	97,48	0,2813	1,841e+006	1,391e+004	-1,081e+004	1,718e+004	-2,052e+004	-0,07524	102,2	549,6	145,7	9,461
15	6,718e+004	2,152e+005	570,2	702,3	132,1	136,0	590,3	152,9	-0,5404	76,09	153,4	144,9	0,2873	377,4	93,70	0,2541	1,890e+006	1,376e+004	-1,215e+004	1,431e+004	-1,556e+004	126,0	100,4	608,5	133,7	8,708
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
