	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	4,762e+004	1,250e+005	354,1	492,2	138,1	155,4	476,1	149,3	-2,141	70,61	151,5	145,7	0,9987	352,9	73,53	0,4116	3,350e+005	1,653e+004	-8626	1,105e+004	-8859	-2,127	102,3	481,6	147,1	9,263
2	4,315e+004	1,121e+005	319,4	491,5	172,2	179,5	473,5	144,9	-4,781	66,06	149,7	141,4	-1,265	350,9	66,12	0,4428	2,440e+005	1,650e+004	-8906	7141	-8040	-4,720	101,9	483,0	172,8	8,754
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	4,262e+004	1,297e+005	367,5	499,5	132,0	145,5	454,8	144,7	-1,505	68,00	146,2	141,9	0,8277	352,9	83,02	0,3860	7,414e+005	1,638e+004	-8633	1,018e+004	-9482	-1,012	99,99	442,7	135,4	9,335
5	4,755e+004	1,286e+005	366,4	503,0	136,5	155,5	501,5	147,0	-1,436	69,35	148,4	143,7	1,081	350,9	76,20	0,3921	6,217e+004	1,636e+004	-8564	1,026e+004	-8939	-1,272	98,69	480,9	147,9	9,284
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	4,876e+004	1,354e+005	381,4	530,2	148,8	156,9	494,2	148,4	-1,136	71,61	149,6	143,8	1,368	355,0	76,45	0,3770	5,542e+005	1,615e+004	-8694	1,055e+004	-1,010e+004	-0,7866	94,73	498,9	150,0	9,494
10	5,068e+004	1,345e+005	381,1	536,0	154,9	163,3	506,8	150,1	-1,293	72,34	151,4	145,7	1,190	352,9	73,21	0,3822	4,778e+005	1,629e+004	-8605	9661	-9315	-1,047	96,16	520,6	156,5	9,658
11	4,525e+004	1,360e+005	387,6	541,9	154,3	159,8	468,4	149,1	-3,858	69,65	152,9	145,7	0,9371	350,9	82,10	0,3760	4,618e+005	1,646e+004	-8783	9702	-8702	-3,769	98,80	472,1	154,9	9,161
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	4,636e+004	1,265e+005	360,6	501,3	140,7	153,0	501,3	146,8	-1,375	69,20	148,2	142,2	0,9919	350,9	76,30	0,3944	3,428e+005	1,632e+004	-8585	1,074e+004	-8819	-0,7798	97,73	472,7	145,0	9,508
15	4,715e+004	1,260e+005	356,9	501,3	144,4	158,8	500,8	148,5	-1,293	70,97	149,8	144,7	1,409	352,9	74,42	0,4054	1,054e+005	1,636e+004	-8551	1,025e+004	-8069	-0,7182	96,28	479,5	151,7	9,556
16	4,353e+004	1,213e+005	341,6	478,7	137,1	155,9	465,2	148,2	-1,560	70,67	149,7	143,8	1,053	355,0	75,63	0,4211	5,462e+005	1,631e+004	-8742	9572	-8019	-1,170	94,82	451,6	147,1	9,338
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
