	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	6,176e+004	1,507e+005	432,0	461,2	29,21	33,10	461,2	156,0	-2,106	66,37	158,1	135,3	4,828	348,8	99,84	0,3132	2,008e+004	1,732e+004	-9609	8687	-1,026e+004	-1,395	112,1	432,7	29,65	8,452e+004	2,276e+004	0,7307	9,216
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	5,936e+004	1,443e+005	416,0	451,0	35,05	41,89	451,0	153,7	-1,662	65,91	155,4	132,5	3,365	346,8	96,59	0,3185	1,469e+004	1,727e+004	-9684	8068	-1,036e+004	-0,3214	109,7	430,7	37,34	8,212e+004	2,277e+004	0,7228	8,883
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	5,568e+004	1,409e+005	401,5	432,5	31,02	33,60	421,8	152,4	0,7249	66,16	151,7	131,9	2,264	350,9	99,33	0,3285	2,411e+004	1,711e+004	-9452	1,143e+004	-9094	1,491	111,0	404,2	31,17	7,864e+004	2,297e+004	0,7080	8,658
17	5,914e+004	1,503e+005	423,3	444,8	21,52	23,48	432,7	154,4	0,1778	68,07	154,2	132,1	5,252	355,0	102,7	0,3121	1,647e+004	1,718e+004	-9383	1,325e+004	-9809	0,8344	107,6	412,1	21,55	8,122e+004	2,208e+004	0,7282	9,152
