	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	3,967e+004	1,215e+005	322,0	492,2	170,3	172,9	462,6	136,5	1,012	72,55	135,5	134,8	1,012	377,4	65,58	0,4186	1,158e+005	1,083e+004	-8830	8053	-9330	2,202	98,86	491,0	173,5	9,345e+004	5,378e+004	0,4245	11,33
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	3,392e+004	1,252e+005	331,6	509,5	177,9	180,1	401,2	138,6	-0,2052	74,42	138,8	137,2	1,601	377,4	72,37	0,4137	5,567e+005	1,105e+004	-8659	1,264e+004	-9982	0,06840	103,1	458,3	180,9	8,942e+004	5,550e+004	0,3793	11,20
6	4,715e+004	1,391e+005	375,6	532,2	156,6	160,7	513,1	138,0	0,3694	72,60	137,6	134,6	0,3694	370,4	73,00	0,3584	4,069e+004	1,088e+004	-8762	8724	-8371	2,811	100,7	514,5	156,8	9,851e+004	5,135e+004	0,4787	11,81
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	4,011e+004	1,235e+005	327,4	505,0	177,6	178,9	491,4	138,4	2,066	75,14	136,3	136,1	2,066	377,4	66,42	0,4159	1,035e+005	1,106e+004	-8680	8804	-9525	2,654	96,09	492,9	181,6	9,414e+004	5,403e+004	0,4260	11,75
10	3,059e+004	1,043e+005	271,3	421,1	149,8	151,7	387,5	139,0	2,681	76,69	136,3	137,2	3,974	384,6	69,99	0,5056	6,239e+005	1,098e+004	-8837	9595	-9969	2,709	97,45	387,7	153,3	8,187e+004	5,128e+004	0,3736	11,67
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	4,483e+004	1,440e+005	376,7	525,1	148,5	151,9	519,9	137,0	1,908	74,01	135,1	134,3	1,908	382,2	77,42	0,3567	4,381e+004	1,088e+004	-8680	8414	-8952	2,688	96,92	486,5	149,4	9,454e+004	4,972e+004	0,4742	11,58
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	4,308e+004	1,289e+005	341,6	504,7	163,1	170,3	483,0	136,4	1,252	72,97	135,2	134,0	1,252	377,4	68,82	0,3923	8,335e+004	1,089e+004	-8837	8345	-9235	2,729	99,49	496,3	163,1	9,395e+004	5,087e+004	0,4585	11,75
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	4,233e+004	1,298e+005	344,1	514,6	170,5	173,6	496,3	136,3	0,8482	72,44	135,5	134,4	1,354	377,4	68,72	0,3906	6,973e+004	1,081e+004	-8789	1,226e+004	-9245	0,9850	102,2	500,7	172,4	9,477e+004	5,244e+004	0,4467	11,06
20	4,573e+004	1,403e+005	374,1	525,4	151,3	154,0	516,4	137,4	1,833	73,25	135,6	135,5	1,833	375,0	75,17	0,3621	5,051e+004	1,077e+004	-8844	9136	-8282	2,866	103,9	497,7	152,5	9,640e+004	5,068e+004	0,4743	11,66
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
