	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,689e+004	7,957e+004	213,5	339,9	126,4	136,9	324,2	147,4	12,38	80,82	135,0	141,3	13,05	372,7	63,49	0,6619	1,014e+005	1,028e+004	-1,146e+004	8179	-4717	12,40	100,0	336,3	129,1	13,85
3	2,814e+004	8,382e+004	227,7	348,4	120,7	127,3	312,5	149,3	12,12	80,80	137,2	144,5	14,73	368,1	66,96	0,6347	1,148e+005	1,032e+004	-1,164e+004	9462	-5159	12,13	114,4	340,1	120,9	14,19
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	2,848e+004	8,328e+004	226,2	354,0	127,8	131,6	319,6	147,8	10,41	79,62	137,4	143,5	15,21	368,1	64,00	0,6342	1,731e+005	1,034e+004	-1,080e+004	7332	-5234	10,45	113,3	353,5	128,0	13,98
7	2,521e+004	7,623e+004	204,5	322,7	118,2	126,3	300,0	146,8	12,47	79,74	134,4	143,1	12,47	372,7	63,56	0,6994	1,207e+005	1,015e+004	-1,210e+004	8211	-5106	12,57	113,2	321,8	123,3	13,20
8	2,795e+004	8,139e+004	221,1	345,2	124,1	129,8	299,2	148,3	11,29	79,94	137,0	145,6	15,09	368,1	64,93	0,6583	1,412e+005	1,030e+004	-1,157e+004	7715	-4939	11,42	114,1	340,5	126,0	14,09
9	2,746e+004	8,104e+004	217,4	343,4	125,9	135,4	318,9	146,3	10,80	79,42	135,5	142,5	13,39	372,7	63,67	0,6555	7,536e+004	1,025e+004	-1,093e+004	6968	-5270	10,82	106,2	341,5	130,9	13,78
10	2,623e+004	7,673e+004	207,2	325,7	118,5	128,6	301,3	148,0	12,74	79,95	135,2	145,7	13,72	370,4	64,60	0,7035	9,464e+004	1,032e+004	-1,237e+004	7426	-4461	12,74	109,9	320,7	122,5	14,01
