	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2,095e+004	9,181e+004	264,7	439,9	175,2	230,2	363,0	98,69	-6,896	42,01	105,6	83,73	-5,630	346,8	65,93	0,3163	5,283e+005	5952	-6766	6727	-6163	78,54	54,74	401,5	197,9	 	 	 	8,587
10	1,742e+004	9,302e+004	265,1	424,3	159,2	214,2	350,1	99,12	-5,111	46,30	104,2	86,75	-5,111	350,9	73,37	0,3272	4,355e+005	5083	-6144	8443	-5888	2,353	39,18	361,3	191,3	 	 	 	11,55
11	1,945e+004	1,069e+005	306,5	465,7	159,2	227,6	398,3	101,7	0,9988	47,62	100,7	86,45	4,290	348,8	77,41	0,2820	6,538e+005	5377	-6007	9737	-8087	57,62	52,40	396,0	206,2	 	 	 	11,21
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	1,890e+004	1,004e+005	284,4	431,3	146,9	217,2	331,9	94,58	-8,647	40,21	103,2	82,32	-6,602	352,9	78,58	0,2895	3,780e+005	5350	-6383	7750	-8047	-8,565	37,91	361,9	189,2	 	 	 	8,242
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	2,047e+004	1,114e+005	317,4	478,4	161,0	232,9	391,7	101,7	1,231	48,72	100,5	85,69	4,666	350,9	76,51	0,2700	5,212e+005	5418	-5801	9073	-6994	1,444	55,50	414,8	208,3	 	 	 	11,64
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	2,022e+004	1,014e+005	294,1	447,6	153,5	215,2	361,6	95,80	-8,805	40,21	104,6	81,96	-7,307	344,8	80,31	0,2787	5,098e+005	5480	-6417	8374	-5972	-8,538	38,07	366,2	188,3	 	 	 	8,383
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
