	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,997e+004	9,779e+004	503,6	685,6	181,9	199,8	625,3	114,8	10,88	64,33	104,0	113,9	16,55	194,2	102,5	0,2262	2,738e+005	3741	-1813	1,618e+004	-1,416e+004	13,20	77,28	491,4	184,8	41,19
3	2,924e+004	9,738e+004	499,9	680,2	180,4	203,1	631,9	113,8	10,93	63,85	102,9	112,1	16,47	194,8	102,4	0,2242	2,571e+005	3611	-1751	1,743e+004	-1,267e+004	12,61	76,92	488,1	194,3	41,64
4	2,915e+004	9,470e+004	492,4	676,2	183,8	197,2	661,9	114,8	10,80	63,85	104,0	113,0	16,33	192,3	106,0	0,2294	6,561e+005	3721	-1840	1,997e+004	-1,344e+004	13,47	73,09	464,7	199,3	40,92
5	2,815e+004	1,002e+005	519,4	700,8	181,4	194,5	600,8	113,1	10,94	62,94	102,1	109,1	16,63	192,9	113,6	0,2100	6,207e+005	3488	-1751	2,180e+004	-9997	12,79	75,86	457,3	199,9	42,19

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,913e+004	9,752e+004	503,8	685,7	181,9	198,6	630,0	114,1	10,89	63,74	103,3	112,0	16,50	193,6	106,1	0,2225	4,519e+005	3641	-1789	1,885e+004	-1,257e+004	13,02	75,79	475,4	194,6	41,48
Min	2,815e+004	9,470e+004	492,4	676,2	180,4	194,5	600,8	113,1	10,80	62,94	102,1	109,1	16,33	192,3	102,4	0,2100	2,571e+005	3488	-1840	1,618e+004	-1,416e+004	12,61	73,09	457,3	184,8	40,92
Max	2,997e+004	1,002e+005	519,4	700,8	183,8	203,1	661,9	114,8	10,94	64,33	104,0	113,9	16,63	194,8	113,6	0,2294	6,561e+005	3741	-1751	2,180e+004	-9997	13,47	77,28	491,4	199,9	42,19
Count	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
