	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,267e+004	1,272e+005	691,3	816,1	124,8	124,9	661,4	105,5	7,715	56,04	97,80	103,7	13,04	184,0	203,1	0,1500	2,929e+005	3098	-1744	3,206e+004	-1,873e+004	8,953	67,12	340,3	128,6	39,80
2	2,872e+004	1,209e+005	650,8	756,9	106,1	106,4	752,9	107,7	7,791	57,53	99,87	105,4	12,85	185,8	181,9	0,1620	2,544e+005	3550	-1676	2,570e+004	-2,206e+004	9,521	74,59	357,8	112,3	37,85
3	2,363e+004	1,320e+005	710,4	835,9	125,5	125,8	717,4	105,7	7,982	56,71	97,73	104,0	13,19	185,8	208,9	0,1464	4,059e+005	3153	-1744	3,474e+004	-2,031e+004	11,68	68,10	340,0	128,8	39,89
4	2,854e+004	1,179e+005	640,8	746,3	105,4	107,1	746,3	107,5	7,695	57,01	99,77	105,5	12,93	184,0	174,8	0,1647	2,532e+005	3509	-1676	2,672e+004	-1,862e+004	9,473	70,85	366,6	109,6	38,13
5	2,416e+004	1,275e+005	682,4	810,7	128,3	133,4	670,6	105,4	8,550	57,00	96,87	103,3	13,35	186,9	184,0	0,1514	4,037e+005	3153	-1717	3,347e+004	-2,645e+004	12,05	70,46	370,8	136,8	40,86
6	2,962e+004	1,248e+005	678,2	780,0	101,8	102,5	780,0	107,8	7,620	57,19	100,2	103,9	12,98	184,0	191,6	0,1531	3,018e+005	3557	-1724	2,913e+004	-2,092e+004	10,36	76,17	353,9	106,7	37,22
7	2,205e+004	1,276e+005	682,5	804,1	121,6	122,8	577,9	105,6	9,350	57,21	96,29	100,7	13,26	186,9	214,4	0,1475	2,488e+005	3167	-1689	1,768e+004	-2,091e+004	11,57	71,72	318,3	122,5	41,03

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,563e+004	1,254e+005	676,6	792,8	116,2	117,6	700,9	106,5	8,100	56,96	98,36	103,8	13,09	185,4	194,1	0,1536	3,087e+005	3312	-1710	2,850e+004	-2,114e+004	10,52	71,29	349,7	120,8	39,26
Min	2,205e+004	1,179e+005	640,8	746,3	101,8	102,5	577,9	105,4	7,620	56,04	96,29	100,7	12,85	184,0	174,8	0,1464	2,488e+005	3098	-1744	1,768e+004	-2,645e+004	8,953	67,12	318,3	106,7	37,22
Max	2,962e+004	1,320e+005	710,4	835,9	128,3	133,4	780,0	107,8	9,350	57,53	100,2	105,5	13,35	186,9	214,4	0,1647	4,059e+005	3557	-1676	3,474e+004	-1,862e+004	12,05	76,17	370,8	136,8	41,03
Count	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
