;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;3,511e+004;1,094e+005;278,9;412,9;134,0;142,5;396,8;166,1;4,889;96,64;161,2;153,7;9,218;392,2;75,47;0,5511;2,607e+005;1,180e+004;-4575;1,196e+004;-6203;6,455;102,6;369,5;146,3;10,21
4;3,288e+004;9,993e+004;254,8;392,7;137,8;144,9;377,1;165,1;4,096;95,24;161,1;153,7;8,226;392,2;70,09;0,6032;2,819e+005;1,181e+004;-4691;1,175e+004;-6198;5,539;105,0;363,6;140,5;12,78
5;3,208e+004;9,713e+004;247,7;385,2;137,5;143,4;377,4;164,7;4,855;94,83;159,9;152,7;7,255;392,2;69,56;0,6167;4,299e+005;1,186e+004;-4985;1,003e+004;-6276;6,770;103,7;356,1;137,5;13,43
6;3,304e+004;9,680e+004;248,5;376,5;128,1;135,6;360,9;165,6;5,040;95,01;160,5;153,7;8,185;389,6;71,53;0,6187;2,442e+005;1,183e+004;-4917;1,154e+004;-5909;6,373;112,5;347,3;128,2;14,19
7;3,097e+004;9,676e+004;245,1;373,1;127,9;134,6;366,8;165,0;4,281;95,38;160,7;153,4;8,616;394,7;71,94;0,6258;2,515e+005;1,178e+004;-4691;1,025e+004;-6287;5,908;101,3;340,7;133,1;11,50
8;2,880e+004;9,451e+004;241,0;373,4;132,4;137,2;353,2;163,4;3,255;93,19;160,2;150,5;7,091;392,2;72,74;0,6247;3,867e+005;1,182e+004;-4992;1,057e+004;-5691;4,499;103,0;331,3;132,5;14,11
9;3,352e+004;1,022e+005;262,4;387,2;124,9;129,8;378,5;163,4;4,780;92,54;158,7;152,0;5,983;389,6;75,02;0,5791;3,375e+005;1,182e+004;-5450;9534;-6231;5,922;99,55;349,8;125,0;13,24
10;3,048e+004;8,975e+004;228,9;350,4;121,5;127,2;344,8;163,5;4,691;93,77;158,8;152,0;8,014;392,2;69,41;0,6641;2,634e+005;1,184e+004;-5033;1,073e+004;-6260;6,079;106,1;329,7;121,5;13,95
11;2,939e+004;9,251e+004;235,9;354,9;119,0;124,1;348,7;162,2;3,754;92,48;158,4;149,8;7,802;392,2;73,05;0,6349;2,847e+005;1,182e+004;-4835;1,003e+004;-5745;4,876;105,4;322,9;119,0;14,52
12;2,799e+004;1,026e+005;261,6;386,7;125,1;130,6;347,5;160,1;2,304;90,28;157,8;150,3;6,407;392,2;80,93;0,5745;3,887e+005;1,178e+004;-5245;1,100e+004;-5175;3,364;103,0;323,2;125,8;13,22
13;3,297e+004;1,031e+005;264,7;392,5;127,8;130,7;389,8;158,9;3,699;88,72;155,2;147,5;4,629;389,6;74,29;0,5573;4,078e+005;1,179e+004;-5771;8283;-6774;4,855;106,8;356,3;127,8;13,40
