;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;3,106e+004;1,957e+005;489,2;757,6;268,5;276,0;598,6;148,9;8,076;85,80;140,8;142,5;17,00;400,0;92,17;0,2914;5,304e+005;9860;-4664;1,547e+004;-7709;10,14;105,2;530,7;286,8;13,07
2;6,104e+004;2,303e+005;571,8;759,6;187,8;196,8;759,3;151,6;12,66;88,98;138,9;142,4;16,03;402,7;89,84;0,2490;3,666e+005;9847;-4793;2,146e+004;-1,247e+004;15,72;99,75;636,5;192,4;12,52
3;4,104e+004;1,634e+005;408,4;596,0;187,6;196,7;587,1;151,4;12,19;88,72;139,3;141,6;18,84;400,0;82,79;0,3466;3,519e+005;9847;-4677;2,122e+004;-7881;15,68;111,3;493,3;200,1;12,42
4;3,543e+004;1,898e+005;471,2;709,1;237,9;245,0;584,0;149,7;8,719;86,93;141,0;141,4;17,29;402,7;90,25;0,3000;3,855e+005;9854;-4664;1,662e+004;-7191;10,96;107,8;522,1;255,0;12,39
5;5,360e+004;2,101e+005;525,2;708,7;183,5;194,4;708,7;151,6;12,73;88,66;138,9;143,5;16,49;400,0;91,11;0,2732;3,574e+005;9861;-4780;2,025e+004;-1,110e+004;17,65;104,1;576,5;191,6;12,40
6;3,914e+004;2,045e+005;507,9;708,2;200,4;208,0;570,9;150,4;9,409;87,83;141,0;140,8;18,89;402,7;103,0;0,2772;2,760e+005;9799;-4691;2,188e+004;-7592;11,80;108,2;493,0;216,0;12,01
7;5,717e+004;2,072e+005;518,0;709,1;191,1;201,0;709,1;150,8;12,63;88,02;138,2;142,7;15,50;400,0;82,92;0,2755;3,459e+005;9847;-4759;1,990e+004;-1,162e+004;16,77;103,1;624,8;201,8;12,59
8;4,137e+004;1,700e+005;422,3;613,7;191,4;197,8;569,7;151,3;10,91;88,69;140,4;143,8;18,75;402,7;84,40;0,3406;2,993e+005;9840;-4725;2,022e+004;-6980;14,18;107,8;500,3;200,1;12,09
9;3,180e+004;1,647e+005;411,8;703,4;291,6;299,4;613,8;148,8;8,322;86,03;140,5;144,0;16,56;400,0;74,16;0,3496;4,549e+005;9833;-4711;1,313e+004;-7343;9,840;104,0;555,3;314,0;11,95
10;5,001e+004;2,032e+005;507,9;694,1;186,2;194,8;694,1;151,8;12,60;88,79;139,2;143,0;17,27;400,0;93,77;0,2816;3,637e+005;9854;-4814;2,092e+004;-1,155e+004;16,38;108,8;541,7;190,3;12,52
11;4,086e+004;1,723e+005;428,0;622,1;194,1;202,5;580,4;151,1;11,02;88,51;140,1;143,2;19,01;402,7;86,41;0,3345;3,140e+005;9861;-4725;2,050e+004;-7978;15,04;110,6;495,3;205,5;12,30
12;3,495e+004;1,394e+005;348,6;612,5;264,0;272,6;612,5;149,3;11,39;87,11;137,9;141,8;16,47;400,0;64,39;0,4069;2,754e+005;9854;-4670;1,207e+004;-7461;14,48;106,7;541,4;275,5;13,09
13;4,149e+004;1,634e+005;405,7;586,9;181,2;190,8;561,4;151,8;12,49;89,28;139,3;143,9;18,68;402,7;82,21;0,3547;3,449e+005;9819;-4752;1,944e+004;-7700;16,39;102,6;493,5;187,7;12,66
14;3,680e+004;2,099e+005;521,2;736,6;215,4;223,5;577,9;149,8;8,247;86,79;141,5;139,2;17,61;402,7;103,3;0,2671;3,983e+005;9813;-4623;1,945e+004;-7046;10,29;107,6;504,4;230,2;12,35
15;6,323e+004;2,204e+005;551,1;743,3;192,2;201,4;739,9;151,1;12,47;87,89;138,6;143,3;14,87;400,0;82,62;0,2600;3,369e+005;9861;-4807;1,990e+004;-1,162e+004;16,39;100,9;667,0;199,8;12,30
16;4,130e+004;1,645e+005;411,1;594,4;183,3;190,6;572,9;151,6;11,11;88,39;140,5;143,5;18,55;400,0;83,42;0,3490;3,281e+005;9813;-4732;2,163e+004;-7823;13,79;102,9;492,8;194,3;12,34
17;2,935e+004;1,666e+005;416,6;691,9;275,3;279,5;588,9;149,1;8,479;86,04;140,6;143,7;16,60;400,0;78,77;0,3449;5,298e+005;9840;-4718;1,374e+004;-7535;9,628;107,7;528,8;297,2;12,60
