;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1;4,255e+004;1,582e+005;400,8;578,0;177,3;180,1;578,0;139,3;6,038;74,57;133,2;135,1;10,89;394,7;79,81;0,3370;1,914e+005;9040;-5224;1,588e+004;-9621;8,076;105,1;502,2;184,5;6,200e+004;1,945e+004;0,6864;11,85
2;4,105e+004;1,507e+005;384,2;556,0;171,8;174,6;556,0;138,1;5,573;72,34;132,6;133,4;10,11;392,2;78,67;0,3471;1,744e+005;8951;-5382;1,534e+004;-9240;6,913;100,5;488,4;175,1;5,926e+004;1,821e+004;0,6928;12,13
3;3,942e+004;1,530e+005;387,5;548,1;160,6;163,1;548,1;136,9;5,033;70,56;131,9;131,1;9,307;394,7;83,68;0,3382;1,630e+005;8862;-5511;1,420e+004;-9176;6,216;101,9;463,1;164,5;5,600e+004;1,658e+004;0,7039;12,09
4;3,736e+004;1,507e+005;384,2;534,1;150,0;152,7;516,0;135,1;4,520;67,46;130,6;128,2;7,939;392,2;86,93;0,3337;1,682e+005;8719;-5874;1,404e+004;-9190;5,580;100,7;441,9;150,7;5,239e+004;1,503e+004;0,7131;12,33
5;3,768e+004;1,553e+005;396,1;529,8;133,7;136,3;529,8;132,9;4,048;64,08;128,8;125,3;7,050;392,2;92,89;0,3164;1,467e+005;8459;-6175;1,369e+004;-9876;4,944;94,50;426,4;135,3;5,033e+004;1,265e+004;0,7487;12,23
6;3,608e+004;1,501e+005;382,8;497,4;114,6;117,8;497,4;130,0;3,440;60,32;126,6;120,2;6,059;392,2;97,79;0,3139;1,034e+005;8185;-6558;1,240e+004;-9117;4,376;95,78;391,5;114,8;4,563e+004;9548;0,7908;11,82
7;3,409e+004;1,523e+005;388,3;493,6;105,3;107,7;493,6;126,1;3,221;56,18;122,8;115,5;5,286;392,2;106,9;0,2975;6,401e+004;7624;-6277;1,185e+004;-8591;4,034;93,30;363,3;105,6;4,199e+004;7897;0,8119;11,78
8;2,984e+004;1,475e+005;376,1;469,8;93,63;96,94;469,8;121,5;2,817;52,15;118,7;110,7;4,835;392,2;114,3;0,2943;5,275e+004;7043;-5908;9547;-8855;3,727;83,02;329,1;93,63;3,629e+004;6453;0,8222;11,57
9;2,510e+004;1,385e+005;353,2;440,8;87,61;90,41;440,8;116,7;2,585;48,57;114,1;107,6;4,322;392,2;124,8;0,3046;4,690e+004;6517;-5655;9399;-1,015e+004;3,412;80,63;282,9;88,05;3,080e+004;5691;0,8152;11,47
10;2,232e+004;1,349e+005;344,1;430,2;86,14;88,70;430,2;111,7;2,462;45,44;109,2;104,0;3,884;392,2;129,6;0,3024;4,448e+004;5935;-5423;9431;-9498;3,262;76,90;265,5;87,08;2,784e+004;5520;0,8018;11,35
11;1,939e+004;1,332e+005;339,6;423,7;84,15;86,63;423,7;107,1;2,202;42,69;104,9;101,1;3,734;392,2;142,9;0,2977;4,005e+004;5382;-5156;9239;-1,038e+004;3,063;73,88;237,6;85,10;2,454e+004;5148;0,7902;11,33
12;1,751e+004;1,283e+005;329,4;411,1;81,68;85,29;409,8;102,7;2,106;40,13;100,6;97,31;3,385;389,6;151,3;0,2954;3,628e+004;4992;-4937;9516;-1,071e+004;2,886;72,43;217,8;81,72;2,220e+004;4688;0,7888;11,33
13;1,597e+004;1,275e+005;323,0;403,0;80,04;84,92;401,6;98,22;2,065;38,54;96,16;93,10;3,433;394,7;156,9;0,2883;3,470e+004;4582;-4732;8977;-1,015e+004;2,845;70,84;205,9;80,15;2,050e+004;4528;0,7791;11,39
14;1,473e+004;1,275e+005;327,2;405,8;78,66;82,75;398,5;94,12;1,976;36,24;92,14;89,01;3,221;389,6;162,7;0,2721;3,401e+004;4185;-4493;8715;-1,024e+004;2,633;66,02;201,1;78,86;1,912e+004;4386;0,7706;11,50
15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
Avg;2,951e+004;1,434e+005;365,5;480,1;114,7;117,7;478,1;120,7;3,435;54,95;117,3;113,7;5,961;392,3;114,9;0,3099;9,287e+004;7034;-5522;1,159e+004;-9628;4,426;86,82;344,0;116,1;3,921e+004;9698;0,7654;11,73
Min;1,473e+004;1,275e+005;323,0;403,0;78,66;82,75;398,5;94,12;1,976;36,24;92,14;89,01;3,221;389,6;78,67;0,2721;3,401e+004;4185;-6558;8715;-1,071e+004;2,633;66,02;201,1;78,86;1,912e+004;4386;0,6864;11,33
Max;4,255e+004;1,582e+005;400,8;578,0;177,3;180,1;578,0;139,3;6,038;74,57;133,2;135,1;10,89;394,7;162,7;0,3471;1,914e+005;9040;-4493;1,588e+004;-8591;8,076;105,1;502,2;184,5;6,200e+004;1,945e+004;0,8222;12,33
Count;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
