;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;2,685e+004;1,049e+005;288,3;477,8;189,5;190,5;396,4;146,6;-0,03420;73,09;146,6;144,6;3,892;363,6;69,92;0,5016;4,617e+005;1,217e+004;-9364;7754;-7651;-0,03420;100,8;412,4;198,4;10,27
2;3,653e+004;1,057e+005;292,4;488,6;196,2;198,3;479,9;144,8;-0,09576;70,77;144,9;143,7;1,518;361,4;61,09;0,4916;1,968e+005;1,224e+004;-9562;8423;-7215;-0,09576;101,8;478,6;203,6;9,934
3;3,858e+004;1,104e+005;305,6;487,5;181,9;184,7;487,5;144,8;1,922;71,15;142,9;142,4;2,045;361,4;64,88;0,4660;1,111e+005;1,220e+004;-9562;9526;-6935;2,312;104,8;470,9;184,3;10,44
4;2,994e+004;1,000e+005;276,8;454,8;178,0;180,2;408,1;145,2;0,6908;71,73;144,5;143,7;3,933;361,4;67,30;0,5193;4,139e+005;1,212e+004;-9090;1,010e+004;-8514;0,8892;98,47;411,3;185,1;10,43
5;3,213e+004;1,021e+005;282,4;480,3;197,9;199,5;457,0;143,6;-0,2326;70,44;143,8;142,8;2,066;361,4;62,06;0,5056;2,338e+005;1,212e+004;-9316;7684;-7341;-0,1847;98,21;455,0;206,4;10,11
6;3,654e+004;1,046e+005;289,4;480,5;191,2;195,1;480,5;142,5;1,491;69,60;141,0;140,3;1,833;361,4;62,11;0,4850;8,890e+004;1,215e+004;-9651;9299;-7135;1,628;96,87;466,0;192,4;10,26
7;3,192e+004;9,388e+004;259,7;433,8;174,1;175,9;421,4;143,0;1,573;70,29;141,4;140,9;3,454;361,4;61,31;0,5427;2,762e+005;1,203e+004;-9186;8462;-7495;1,888;98,59;423,6;179,9;10,41
8;2,907e+004;9,875e+004;273,2;469,5;196,3;198,3;411,4;141,6;-0,2531;69,22;141,8;139,8;2,722;361,4;63,26;0,5118;2,735e+005;1,202e+004;-9432;8052;-7470;-0,2531;98,49;431,9;202,2;10,11
9;3,450e+004;1,008e+005;278,8;471,0;192,2;196,1;470,2;139,9;0,2736;67,74;139,7;138,6;1,731;361,4;60,78;0,4972;1,156e+005;1,197e+004;-9651;8828;-6562;0,3283;104,2;458,7;194,5;9,861
10;3,529e+004;1,030e+005;285,0;461,0;176,0;178,3;461,0;140,0;1,553;68,21;138,4;137,7;2,497;361,4;63,35;0,4831;1,289e+005;1,198e+004;-9432;8952;-6757;2,038;103,8;449,8;179,4;10,20
