;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;2,819e+004;8,382e+004;208,1;373,9;165,7;170,9;341,1;158,0;9,088;82,83;148,9;152,3;12,96;402,7;55,67;0,7318;8,915e+004;1,318e+004;-1,033e+004;5475;-4676;9,184;114,1;373,9;166,3;11,61
2;2,678e+004;7,995e+004;198,5;343,9;145,4;154,3;316,7;156,0;10,35;81,38;145,7;151,1;13,70;402,7;57,86;0,7612;6,949e+004;1,315e+004;-1,115e+004;4957;-4811;14,02;103,4;343,1;145,8;11,54
3;2,351e+004;7,179e+004;179,5;346,5;167,0;170,2;313,6;156,5;8,384;81,73;148,2;150,7;14,61;400,0;51,80;0,8397;1,389e+005;1,320e+004;-1,021e+004;5217;-4307;8,712;102,8;346,4;169,5;11,48
4;2,653e+004;7,982e+004;199,6;356,1;156,5;161,3;320,9;153,9;9,465;79,32;144,4;150,1;12,05;400,0;56,05;0,7523;8,675e+004;1,317e+004;-1,081e+004;5975;-4968;10,15;105,0;356,0;157,5;11,15
5;2,388e+004;7,307e+004;181,5;327,4;145,9;151,3;303,7;153,0;10,26;79,84;142,8;147,3;14,34;402,7;55,54;0,8120;9,773e+004;1,323e+004;-1,079e+004;5570;-5152;12,68;107,3;326,7;145,9;11,14
6;2,340e+004;7,277e+004;181,9;346,4;164,5;169,1;319,3;154,7;8,042;80,50;146,6;150,3;14,29;400,0;52,53;0,8263;1,728e+005;1,329e+004;-1,030e+004;5142;-4871;8,418;104,5;346,3;166,9;11,30
7;2,743e+004;8,301e+004;207,5;353,0;145,5;156,0;313,5;152,3;10,39;78,21;141,9;148,1;11,70;400,0;58,84;0,7137;8,134e+004;1,309e+004;-1,134e+004;4887;-4544;12,27;104,0;352,7;147,4;11,14
8;2,557e+004;7,867e+004;195,4;347,3;151,9;159,8;307,3;154,2;9,615;80,60;144,5;150,2;14,61;402,7;56,29;0,7689;1,200e+005;1,333e+004;-1,065e+004;5310;-5180;11,07;110,7;347,0;151,9;11,48
9;2,499e+004;7,641e+004;191,0;354,9;163,9;167,5;325,4;154,6;8,364;80,13;146,2;149,8;13,12;400,0;53,91;0,7842;1,505e+005;1,321e+004;-1,007e+004;5260;-5015;8,610;103,5;354,3;167,6;11,32
10;2,566e+004;7,796e+004;193,6;335,7;142,1;150,1;310,0;152,2;10,35;78,48;141,8;147,9;12,41;402,7;57,68;0,7639;7,391e+004;1,308e+004;-1,139e+004;4728;-4490;11,69;102,4;335,7;142,6;11,01
