;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1;2,711e+004;8,756e+004;216,0;386,0;170,0;189,4;310,7;151,9;10,65;79,55;141,3;144,8;14,43;405,4;56,52;0,6703;2,321e+005;1,290e+004;-1,075e+004;5179;-4717;18,59;104,7;382,1;176,3;4,030e+004;1,319e+004;0,6728;11,68
2;2,710e+004;9,044e+004;220,1;385,9;165,8;181,9;308,7;150,4;10,48;78,86;140,0;141,3;14,51;411,0;57,92;0,6422;2,969e+005;1,287e+004;-1,093e+004;5079;-4685;22,46;104,5;380,0;169,0;3,965e+004;1,255e+004;0,6835;11,59
3;2,591e+004;8,698e+004;214,5;376,8;162,2;182,4;291,4;149,5;10,39;75,81;139,1;140,5;14,03;405,4;57,86;0,6550;2,976e+005;1,266e+004;-1,121e+004;5398;-4587;22,44;104,2;370,8;168,0;3,815e+004;1,223e+004;0,6793;11,57
4;2,543e+004;8,876e+004;217,5;378,6;161,2;176,6;293,3;147,9;9,977;73,81;137,9;137,5;14,12;408,2;59,10;0,6321;3,980e+005;1,245e+004;-1,122e+004;5226;-5258;40,63;101,3;368,0;164,7;3,736e+004;1,194e+004;0,6805;11,64
5;2,460e+004;8,693e+004;213,0;358,7;145,7;157,7;279,0;144,7;9,136;69,48;135,5;132,1;13,40;408,2;61,07;0,6200;3,148e+005;1,202e+004;-1,080e+004;5007;-5316;21,10;98,01;348,8;146,6;3,444e+004;9849;0,7141;11,20
6;2,359e+004;8,601e+004;209,3;335,7;126,4;135,4;261,0;140,8;8,452;65,17;132,4;125,1;12,54;411,0;63,42;0,5979;3,234e+005;1,158e+004;-1,010e+004;4719;-5604;25,51;104,9;330,0;126,5;3,087e+004;7283;0,7641;11,13
7;2,106e+004;8,133e+004;199,3;308,9;109,7;114,8;240,5;135,7;7,844;59,78;127,9;118,4;11,23;408,2;66,58;0,5944;3,440e+005;1,095e+004;-9718;4256;-5925;66,97;98,53;299,3;109,7;2,645e+004;5384;0,7964;11,14
8;1,930e+004;7,421e+004;180,6;279,9;99,34;103,9;231,4;130,4;7,447;55,76;123,0;112,7;10,58;411,0;65,32;0,6242;1,651e+005;1,016e+004;-8699;3666;-5671;7,502;93,99;276,5;99,90;2,356e+004;4265;0,8190;11,26
9;1,746e+004;6,835e+004;167,5;261,2;93,73;98,19;218,0;124,2;7,030;51,32;117,2;107,7;9,875;408,2;64,32;0,6430;1,132e+005;9294;-7372;3906;-6101;7,139;87,97;260,4;94,44;2,112e+004;3663;0,8265;11,38
10;1,484e+004;6,117e+004;148,8;235,5;86,65;89,51;205,1;118,7;6,627;48,27;112,1;102,6;9,478;411,0;63,39;0,6891;8,161e+004;8439;-6886;3556;-5905;6,784;84,38;234,8;88,51;1,789e+004;3047;0,8297;11,53
