;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;4,103e+004;1,314e+005;374,6;517,3;142,7;147,8;397,6;150,6;5,315;74,22;145,3;145,3;7,942;350,9;80,06;0,3880;9,490e+005;1,091e+004;-9050;7557;-1,047e+004;114,1;103,3;467,8;143,0;12,50
2;4,247e+004;1,329e+005;376,5;497,8;121,3;129,0;407,3;147,8;4,959;71,94;142,8;138,8;7,709;352,9;83,52;0,3686;9,365e+005;1,048e+004;-9720;7805;-1,099e+004;112,5;102,3;450,8;122,0;11,80
3;4,265e+004;1,360e+005;387,7;529,3;141,6;147,0;420,9;145,9;5,322;70,98;140,6;138,5;6,977;350,9;81,79;0,3572;8,826e+005;1,040e+004;-9816;7409;-1,093e+004;6,307;95,99;474,0;141,6;11,73
4;4,111e+004;1,290e+005;363,2;444,4;81,18;85,97;366,8;149,4;8,065;75,69;141,4;138,8;9,679;355,0;89,80;0,3822;7,610e+005;1,077e+004;-9447;9456;-1,144e+004;8,072;105,4;404,5;81,25;12,78
5;4,104e+004;1,329e+005;372,0;483,5;111,4;113,6;387,1;153,2;8,414;79,32;144,7;147,3;10,67;357,1;85,93;0,3959;7,701e+005;1,125e+004;-8763;7409;-1,129e+004;8,687;102,4;432,9;113,8;13,82
6;3,701e+004;1,231e+005;344,7;479,1;134,4;136,8;386,8;154,4;6,533;79,46;147,8;150,0;10,56;357,1;79,03;0,4351;7,825e+005;1,138e+004;-9016;6341;-1,080e+004;6,642;112,2;436,2;140,8;13,44
7;4,457e+004;1,363e+005;383,8;523,9;140,1;143,6;409,9;151,0;5,336;75,40;145,7;144,5;8,544;355,0;78,02;0,3765;7,278e+005;1,084e+004;-9406;7492;-9222;5,903;103,0;492,0;141,1;12,30
8;4,525e+004;1,338e+005;379,1;495,8;116,7;125,7;432,4;148,0;5,760;72,44;142,2;140,8;7,347;352,9;81,83;0,3713;6,888e+005;1,057e+004;-9782;6696;-1,079e+004;5,883;104,8;463,3;117,8;12,05
9;4,264e+004;1,335e+005;376,0;452,8;76,84;82,11;369,0;147,8;7,812;73,88;140,0;138,3;8,557;355,0;90,02;0,3677;7,342e+005;1,060e+004;-9255;7942;-1,240e+004;8,475;108,3;417,7;77,02;12,69
10;3,772e+004;1,256e+005;353,9;439,6;85,73;89,13;348,7;150,3;8,058;76,31;142,3;140,0;10,03;355,0;92,44;0,3955;9,050e+005;1,107e+004;-9077;7238;-1,124e+004;8,065;103,2;382,9;85,79;13,28
11;3,517e+004;1,267e+005;356,8;485,9;129,0;131,4;360,7;150,0;5,486;75,12;144,5;143,8;9,761;355,0;85,90;0,4029;1,076e+006;1,105e+004;-9214;8376;-1,156e+004;121,1;100,0;415,4;131,7;12,85
12;4,643e+004;1,425e+005;403,8;526,6;122,7;130,3;411,5;147,4;4,987;72,11;142,4;141,2;7,340;352,9;82,89;0,3496;8,079e+005;1,063e+004;-9583;7121;-1,028e+004;5,076;101,5;487,2;122,8;11,86
13;4,317e+004;1,304e+005;369,5;486,8;117,3;123,8;394,8;144,7;4,952;70,48;139,8;138,0;7,565;352,9;80,73;0,3735;6,141e+005;1,038e+004;-9536;7570;-1,134e+004;5,260;98,06;457,7;117,4;11,72
14;4,201e+004;1,244e+005;350,5;419,1;68,66;73,95;403,5;146,7;7,832;73,57;138,8;137,6;8,352;355,0;89,85;0,3925;5,190e+005;1,063e+004;-9228;8597;-1,041e+004;8,092;98,87;390,1;68,77;12,83

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;4,159e+004;1,313e+005;370,9;484,4;113,6;118,6;392,6;149,1;6,345;74,35;142,7;141,6;8,646;354,1;84,42;0,3826;7,968e+005;1,078e+004;-9349;7643;-1,094e+004;30,29;102,8;440,9;114,6;12,55
Min;3,517e+004;1,231e+005;344,7;419,1;68,66;73,95;348,7;144,7;4,952;70,48;138,8;137,6;6,977;350,9;78,02;0,3496;5,190e+005;1,038e+004;-9816;6341;-1,240e+004;5,076;95,99;382,9;68,77;11,72
Max;4,643e+004;1,425e+005;403,8;529,3;142,7;147,8;432,4;154,4;8,414;79,46;147,8;150,0;10,67;357,1;92,44;0,4351;1,076e+006;1,138e+004;-8763;9456;-9222;121,1;112,2;492,0;143,0;13,82
Count;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
