;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;4,281e+004;1,371e+005;434,3;638,1;203,9;213,7;515,9;129,5;5,931;62,48;123,5;124,4;11,12;315,8;76,32;0,2864;5,884e+005;7463;-7046;1,324e+004;-1,150e+004;6,498;91,03;569,0;203,9;14,18
2;4,977e+004;1,681e+005;535,0;797,0;262,1;281,6;638,2;128,4;4,337;60,99;124,1;122,5;8,824;314,1;77,19;0,2290;1,201e+006;7463;-7148;1,248e+004;-1,357e+004;5,377;85,49;693,1;265,9;13,41
3;5,014e+004;1,621e+005;518,9;751,5;232,6;250,7;584,1;126,9;3,913;58,72;123,0;120,2;7,942;312,5;76,22;0,2317;1,111e+006;7319;-7326;1,169e+004;-1,283e+004;85,36;85,36;680,8;235,2;12,61
4;4,783e+004;1,552e+005;496,5;687,9;191,4;209,9;563,6;126,6;6,847;59,65;119,7;119,3;8,297;312,5;78,83;0,2402;7,472e+005;7258;-7463;1,007e+004;-1,275e+004;8,188;87,18;629,8;197,1;13,48
5;3,931e+004;1,257e+005;400,1;604,4;204,4;211,6;495,9;128,0;4,303;60,57;123,7;123,6;10,82;314,1;73,10;0,3090;5,143e+005;7483;-7326;1,271e+004;-1,086e+004;5,055;88,21;547,3;205,0;13,28
6;5,074e+004;1,791e+005;570,0;802,2;232,2;265,1;602,2;126,7;3,920;59,29;122,8;120,7;7,737;314,1;82,56;0,2118;1,431e+006;7497;-7388;1,426e+004;-1,431e+004;93,68;86,38;690,5;242,7;12,87
7;5,104e+004;1,649e+005;530,5;758,5;227,9;245,4;587,9;125,4;4,460;57,93;121,0;119,1;7,607;310,9;76,99;0,2246;1,024e+006;7312;-7360;1,193e+004;-1,466e+004;81,40;81,40;689,1;230,5;12,56
8;4,343e+004;1,306e+005;417,9;601,0;183,2;195,5;535,1;127,1;7,039;60,31;120,0;122,0;9,857;312,5;73,77;0,2920;5,253e+005;7347;-7114;9913;-1,156e+004;8,448;87,03;566,4;184,9;13,74
9;3,701e+004;1,206e+005;383,8;614,6;230,8;240,4;512,5;127,8;4,145;60,68;123,7;123,6;10,73;314,1;69,30;0,3220;3,923e+005;7490;-7018;1,234e+004;-9182;4,952;89,03;553,8;230,8;13,48
10;4,994e+004;1,703e+005;544,9;768,8;223,8;245,8;588,9;125,9;3,933;58,30;122,0;117,5;7,572;312,5;80,83;0,2157;1,297e+006;7381;-7251;1,365e+004;-1,525e+004;91,45;84,10;674,1;228,9;12,69
11;4,926e+004;1,604e+005;513,3;728,6;215,3;234,8;566,1;124,3;3,885;57,05;120,4;119,6;7,518;312,5;77,43;0,2329;9,402e+005;7217;-7504;1,146e+004;-1,388e+004;4,604;83,41;663,0;219,6;12,29
12;4,888e+004;1,574e+005;503,7;681,8;178,1;191,4;543,5;125,3;6,984;58,91;118,3;119,5;8,222;312,5;79,69;0,2373;8,744e+005;7230;-7408;1,095e+004;-1,485e+004;62,91;84,23;632,1;179,8;13,58
13;3,831e+004;1,258e+005;398,5;607,8;209,3;217,1;495,7;126,5;4,549;60,33;121,9;122,7;10,73;315,8;73,57;0,3079;3,896e+005;7463;-6998;1,296e+004;-9519;5,390;90,80;541,7;209,3;13,67
14;4,978e+004;1,745e+005;558,3;781,1;222,8;246,8;596,8;125,5;4,583;58,55;120,9;118,4;7,579;312,5;81,59;0,2121;1,249e+006;7422;-7278;1,315e+004;-1,632e+004;88,67;88,67;684,3;231,3;12,96
15;4,840e+004;1,597e+005;508,4;718,5;210,1;230,0;545,5;124,5;3,933;57,58;120,5;118,0;7,949;314,1;78,44;0,2320;1,019e+006;7230;-7312;1,210e+004;-1,261e+004;4,549;79,77;648,1;213,6;12,48
16;4,882e+004;1,628e+005;521,0;717,6;196,6;212,8;558,0;124,5;5,329;57,99;119,2;117,3;7,723;312,5;80,23;0,2251;9,891e+005;7223;-7347;1,181e+004;-1,431e+004;75,44;82,66;649,4;199,5;12,74
17;3,930e+004;1,197e+005;381,1;567,7;186,6;198,5;488,7;127,1;7,018;60,78;120,1;123,6;10,29;314,1;71,49;0,3243;4,908e+005;7381;-7128;1,026e+004;-1,073e+004;8,503;88,28;533,0;187,1;13,95
18;4,299e+004;1,527e+005;483,6;731,3;247,7;264,7;538,8;127,3;3,967;60,45;123,4;122,6;9,009;315,8;75,77;0,2535;1,066e+006;7518;-7080;1,264e+004;-1,294e+004;4,781;91,82;638,2;249,1;13,36
19;5,129e+004;1,642e+005;525,5;743,0;217,4;242,2;592,1;125,8;4,118;58,21;121,7;119,4;7,586;312,5;77,20;0,2272;1,050e+006;7381;-7230;1,215e+004;-1,391e+004;82,74;82,74;680,7;225,1;12,68
20;4,757e+004;1,646e+005;524,1;726,7;202,6;224,1;545,8;125,0;5,397;58,67;119,6;118,6;8,044;314,1;82,38;0,2264;1,107e+006;7258;-7306;1,202e+004;-1,397e+004;73,28;80,54;636,2;206,5;12,80
