;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;5,989e+004;1,878e+005;594,6;849,6;255,1;291,9;687,1;134,7;4,604;63,84;130,1;128,3;7,504;315,8;76,23;0,2157;1,218e+006;7784;-7025;1,337e+004;-1,285e+004;82,13;89,92;780,0;272,5;8,495e+004;2,506e+004;0,7050;13,80
3;5,259e+004;1,576e+005;501,7;699,7;197,9;220,4;625,5;133,8;6,628;62,92;127,2;127,7;7,470;314,1;78,06;0,2544;7,119e+005;7689;-7196;7456;-1,548e+004;7,832;92,97;642,7;208,1;7,154e+004;1,895e+004;0,7351;14,26
4;3,188e+004;1,047e+005;333,2;526,4;193,2;198,1;413,5;132,8;6,464;62,02;126,3;129,1;9,693;314,1;69,30;0,3874;6,156e+005;7675;-7429;6685;-9643;7,764;95,16;480,8;194,6;5,124e+004;1,936e+004;0,6222;14,29
5;2,924e+004;1,031e+005;322,9;512,2;189,3;195,1;410,1;129,4;3,495;59,52;125,9;125,7;9,392;319,1;72,67;0,3894;5,750e+005;7497;-7319;8908;-1,020e+004;4,487;90,19;444,3;191,1;4,741e+004;1,817e+004;0,6168;13,12
6;3,800e+004;1,213e+005;386,2;567,9;181,7;189,9;504,6;124,1;2,709;54,59;121,3;118,9;5,507;314,1;73,65;0,3079;6,414e+005;7094;-7593;6192;-1,021e+004;100,7;87,38;524,4;181,7;5,488e+004;1,688e+004;0,6924;11,98
7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10;2,161e+004;7,351e+004;232,8;349,6;116,8;120,2;337,5;109,6;4,008;44,43;105,6;101,5;4,008;315,8;67,74;0,4361;1,602e+005;5534;-6950;3893;-6519;4,857;80,29;343,6;119,1;3,240e+004;1,078e+004;0,6671;12,61
11;2,147e+004;7,051e+004;219,8;303,1;83,34;86,70;278,3;109,7;4,056;45,34;105,7;100,6;6,806;320,9;73,35;0,4578;6,899e+004;5712;-6902;3641;-6205;4,303;77,20;299,6;84,01;2,879e+004;7316;0,7459;12,24
12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16;1,516e+004;6,853e+004;215,9;255,1;39,22;41,16;254,0;81,71;2,312;31,00;79,40;69,56;2,312;317,5;88,99;0,3222;1,612e+004;3543;-3892;3806;-7003;3,454;49,01;242,6;40,11;1,897e+004;3808;0,7992;12,46
17;8654;4,722e+004;148,7;185,8;37,10;38,78;185,6;80,57;2,722;30,71;77,85;72,49;5,000;317,5;101,7;0,4874;2,067e+004;3174;-3564;3320;-3355;2,948;54,26;146,2;39,58;1,244e+004;3791;0,6954;13,06
18;7318;4,663e+004;146,1;180,6;34,49;35,49;177,1;76,52;2,551;29,08;73,97;68,40;4,467;319,1;113,1;0,4682;2,638e+004;2880;-3242;3662;-3169;2,839;51,82;129,2;38,37;1,104e+004;3727;0,6626;13,47
19;6799;4,657e+004;145,9;180,6;34,64;35,66;180,6;73,18;2,599;27,85;70,58;66,43;4,111;319,1;95,83;0,4553;1,788e+004;2688;-2948;3393;-3156;3,030;23,56;152,3;37,07;1,043e+004;3626;0,6522;13,71
20;6759;4,647e+004;145,6;176,8;31,18;32,71;176,8;71,44;2,620;27,30;68,82;62,87;4,193;319,1;94,91;0,4318;1,937e+004;2702;-2873;3625;-3182;2,893;23,81;153,4;33,60;1,022e+004;3462;0,6613;13,84
21;6334;5,552e+004;172,1;205,2;33,06;34,13;176,6;68,25;0,7593;25,26;67,49;61,60;3,277;322,6;117,1;0,3579;1,782e+004;2558;-2709;4015;-3306;0,9987;23,28;146,9;36,86;9603;3269;0,6596;12,37
22;7435;5,488e+004;171,1;203,9;32,87;34,75;203,9;66,01;1,601;25,07;64,41;57,94;1,601;320,9;97,11;0,3387;1,328e+004;2476;-2593;2533;-4197;3,140;25,07;176,2;34,47;1,089e+004;3459;0,6825;12,97
23;5921;4,256e+004;133,3;160,9;27,51;28,33;146,6;70,36;2,565;27,59;67,80;62,01;4,734;319,1;113,9;0,4650;1,505e+004;2681;-2729;3220;-2563;3,051;39,24;117,1;30,04;9080;3160;0,6520;13,71
24;5301;4,212e+004;131,3;160,4;29,08;30,29;160,1;66,69;2,517;26,00;64,18;59,31;4,056;320,9;100,0;0,4518;1,803e+004;2449;-2435;3401;-2829;2,907;23,27;131,2;31,94;8614;3313;0,6153;14,38
25;4887;4,349e+004;135,5;163,9;28,33;28,88;160,3;64,47;2,510;25,20;61,96;58,10;3,906;320,9;108,4;0,4287;2,172e+004;2367;-2292;3099;-3232;2,948;24,22;125,0;33,67;8206;3318;0,5956;14,65
26;4936;4,401e+004;136,4;164,1;27,67;29,04;161,8;63,50;2,572;25,07;60,93;56,32;3,947;322,6;107,4;0,4128;1,724e+004;2428;-2257;3512;-2946;3,003;24,35;127,0;31,05;8192;3255;0,6026;14,75
27;4619;4,439e+004;137,6;165,8;28,16;28,86;163,6;62,06;2,593;24,55;59,47;55,87;3,858;322,6;110,1;0,4061;2,016e+004;2298;-2114;3239;-3443;3,030;22,97;124,9;33,43;7938;3319;0,5819;15,09
28;4614;4,356e+004;136,5;163,0;26,53;27,72;163,0;61,22;2,572;24,13;58,65;53,64;3,742;319,1;109,5;0,3931;1,884e+004;2319;-2079;3409;-3139;3,037;23,03;124,6;30,38;7834;3220;0,5890;15,16
29;4260;5,108e+004;158,4;186,8;28,46;29,23;160,7;58,63;0,8140;22,39;57,82;53,14;3,660;322,6;133,2;0,3356;1,642e+004;2237;-2045;3658;-3535;1,053;20,83;118,9;33,34;7327;3066;0,5815;13,42
30;4936;4,999e+004;155,0;182,8;27,80;29,62;182,8;57,10;0,8551;21,92;56,25;50,25;1,867;322,6;117,3;0,3242;1,746e+004;2141;-1936;4372;-3750;1,197;22,87;132,2;31,56;7918;2982;0,6234;13,59
31;3638;4,288e+004;132,9;158,3;25,32;26,36;153,4;60,13;2,764;24,23;57,36;53,76;3,571;322,6;135,4;0,4044;1,330e+004;2230;-1997;3590;-3168;3,304;23,86;98,20;29,01;6737;3099;0,5400;15,58
32;4442;4,195e+004;130,7;156,6;25,88;27,52;156,6;59,70;2,640;24,08;57,06;53,40;3,933;320,9;109,6;0,4084;1,538e+004;2285;-1895;3603;-2775;3,030;22,85;119,3;28,56;7562;3120;0,5874;15,73
33;3481;4,356e+004;135,0;160,5;25,47;26,75;152,3;57,00;2,613;22,87;54,39;51,04;3,790;322,6;128,1;0,3779;2,297e+004;2127;-1731;3144;-3387;2,962;22,45;105,4;31,56;6665;3184;0,5222;16,30
