;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;2,291e+004;8,165e+004;182,4;361,2;178,8;182,1;335,3;140,4;2,264;76,84;138,1;136,2;8,221;447,8;50,76;0,7468;1,105e+005;1,164e+004;-9924;6344;-4621;3,153;97,78;359,3;180,7;9,803
2;2,193e+004;7,774e+004;176,2;382,6;206,4;213,0;327,0;139,0;2,920;74,20;136,1;133,8;4,179;441,2;46,12;0,7591;1,141e+005;1,120e+004;-9876;5721;-4315;5,574;88,44;382,1;206,4;9,489
3;2,659e+004;9,308e+004;211,0;375,8;164,9;169,4;323,8;139,5;4,090;74,41;135,4;134,3;5,424;441,2;56,18;0,6366;1,090e+005;1,139e+004;-1,089e+004;6542;-5799;4,911;94,33;375,5;165,0;9,584
4;2,197e+004;7,967e+004;180,6;348,9;168,3;169,6;305,7;138,9;1,778;73,35;137,1;132,8;5,793;441,2;51,78;0,7355;1,554e+005;1,130e+004;-1,020e+004;6239;-5209;2,804;90,43;348,8;173,1;9,336
5;2,100e+004;7,203e+004;165,7;371,9;206,3;212,0;321,9;138,0;2,524;72,50;135,5;132,5;3,440;434,8;44,91;0,7996;5,506e+004;1,150e+004;-1,009e+004;6061;-4681;3,440;96,51;368,9;206,3;9,225
6;2,549e+004;8,941e+004;202,7;372,1;169,5;173,7;324,0;137,9;3,680;72,55;134,2;131,2;5,280;441,2;54,48;0,6476;8,084e+004;1,110e+004;-1,089e+004;6482;-5273;4,610;94,01;372,0;169,7;9,441
7;2,135e+004;7,611e+004;173,8;361,9;188,1;190,5;316,8;137,6;1,559;72,35;136,1;131,9;5,547;438,0;48,25;0,7588;1,080e+005;1,150e+004;-1,039e+004;6545;-4727;3,153;93,78;360,2;190,0;9,114
8;2,560e+004;9,092e+004;206,1;375,7;169,6;175,1;333,2;137,8;4,145;73,24;133,7;132,0;4,145;441,2;55,56;0,6404;5,563e+004;1,113e+004;-1,043e+004;6456;-4869;5,041;93,00;371,0;169,8;9,723
9;2,318e+004;8,211e+004;187,5;359,9;172,4;173,8;311,3;138,7;2,524;73,23;136,2;133,7;5,909;438,0;52,11;0,7129;8,897e+004;1,154e+004;-1,008e+004;5962;-4954;3,728;102,2;359,7;175,9;9,443
10;2,064e+004;7,397e+004;167,7;364,0;196,3;200,0;321,9;136,9;2,749;72,14;134,2;130,8;4,316;441,2;46,08;0,7800;8,557e+004;1,120e+004;-9876;6099;-4083;4,535;93,04;363,8;198,0;9,454
11;2,701e+004;9,489e+004;216,7;376,0;159,3;165,6;324,5;137,4;3,940;72,08;133,4;130,5;4,774;438,0;57,78;0,6025;7,206e+004;1,124e+004;-1,087e+004;6314;-5360;4,774;87,77;375,0;159,5;9,499
12;2,102e+004;7,632e+004;173,0;349,3;176,3;179,1;305,1;136,3;1,416;71,20;134,9;129,7;5,779;441,2;49,56;0,7500;1,210e+005;1,118e+004;-1,031e+004;5604;-4544;1,758;94,34;349,1;177,9;9,204
13;2,157e+004;7,672e+004;175,2;369,7;194,5;202,6;325,9;135,9;2,968;70,68;132,9;129,1;2,968;438,0;47,56;0,7368;6,532e+004;1,132e+004;-1,033e+004;5615;-3918;5,082;89,35;368,3;194,8;9,193
14;2,554e+004;9,173e+004;207,9;369,6;161,6;165,9;314,0;135,7;3,892;70,65;131,8;128,2;5,376;441,2;56,26;0,6166;9,922e+004;1,077e+004;-1,100e+004;6658;-5531;5,171;88,24;369,6;161,8;9,304
15;2,255e+004;8,108e+004;185,1;349,3;164,1;166,0;309,3;137,0;1,573;71,04;135,4;130,8;5,656;438,0;53,08;0,7063;1,302e+005;1,146e+004;-1,033e+004;6177;-5011;2,866;100,4;348,8;168,7;9,039
16;2,012e+004;7,142e+004;163,1;367,0;203,9;206,7;326,7;135,4;1,963;69,97;133,4;128,0;3,126;438,0;44,87;0,7848;5,209e+004;1,106e+004;-9965;6032;-3823;3,126;88,55;363,5;205,1;8,946
