;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;2,591e+004;1,014e+005;229,8;347,0;117,2;124,0;299,8;124,2;2,517;59,15;121,7;112,7;4,788;441,2;66,98;0,4902;6,955e+004;9951;-1,014e+004;5059;-7404;3,358;89,10;343,2;117,2;3,507e+004;9161;0,7388;8,721
3;2,256e+004;9,072e+004;204,1;323,0;118,9;122,9;279,8;122,0;2,113;57,55;119,8;109,9;4,138;444,4;63,19;0,5385;8,477e+004;9630;-9821;4957;-6857;3,119;80,66;323,0;119,3;3,171e+004;9147;0,7115;8,588
4;2,319e+004;9,266e+004;210,0;319,0;109,0;115,9;284,4;120,7;1,614;55,88;119,1;107,2;3,536;441,2;65,91;0,5104;4,618e+004;9644;-1,001e+004;5379;-6341;2,756;84,73;318,7;109,0;3,152e+004;8327;0,7358;8,421
5;2,163e+004;8,973e+004;201,9;312,8;110,9;117,5;273,1;117,5;1,231;53,48;116,3;104,8;3,044;444,4;65,51;0,5189;4,420e+004;8980;-9493;5465;-6836;3,044;81,83;308,2;111,1;2,975e+004;8117;0,7272;8,353
6;2,081e+004;8,657e+004;196,2;299,0;102,8;107,8;265,9;115,2;0,9507;51,18;114,3;101,9;2,572;441,2;66,00;0,5194;3,493e+004;8755;-9842;4511;-6611;1,429;75,90;297,3;102,8;2,837e+004;7561;0,7335;8,217
7;1,908e+004;8,334e+004;187,5;289,2;101,7;107,6;259,3;111,2;0,7660;48,50;110,4;97,38;2,243;444,4;66,09;0,5193;3,334e+004;7927;-9411;3634;-6369;2,243;79,92;283,7;101,7;2,606e+004;6978;0,7322;8,159
8;1,837e+004;8,177e+004;184,0;278,0;93,96;99,76;247,0;108,8;0,5335;46,90;108,3;95,14;1,867;444,4;66,60;0,5171;3,220e+004;7838;-9377;3911;-6012;1,197;73,74;276,3;93,96;2,490e+004;6537;0,7375;8,113
9;1,606e+004;7,601e+004;172,3;265,8;93,54;101,5;234,0;104,5;0,3009;43,79;104,2;92,63;1,347;441,2;67,59;0,5376;2,224e+004;6997;-8768;4089;-5318;1,347;68,58;254,9;93,94;2,223e+004;6168;0,7226;8,150
10;1,597e+004;7,633e+004;173,0;262,5;89,52;95,88;228,1;102,2;0,2394;42,53;101,9;90,83;1,163;441,2;68,61;0,5249;2,629e+004;6833;-8173;3999;-5799;1,963;69,88;252,2;89,82;2,181e+004;5838;0,7323;8,058
11;1,322e+004;6,747e+004;151,8;239,1;87,24;94,31;215,2;98,06;0,2462;40,36;97,82;87,36;1,101;444,4;66,57;0,5754;2,012e+004;6080;-7633;3277;-4504;0,5882;64,61;228,1;87,46;1,873e+004;5510;0,7058;8,270
12;1,332e+004;6,935e+004;156,0;240,8;84,73;92,21;210,7;96,63;0,06839;39,72;96,57;86,51;0,9712;444,4;67,81;0,5544;2,273e+004;6121;-7776;3241;-4232;0,9712;61,80;230,1;84,83;1,860e+004;5283;0,7160;8,053
13;1,091e+004;5,987e+004;135,7;219,5;83,83;91,89;196,0;92,64;-0,06840;37,16;92,71;83,33;0,5335;441,2;64,96;0,6141;2,344e+004;5458;-6997;2972;-3452;0,3898;56,71;208,9;83,89;1,605e+004;5139;0,6797;8,318
14;1,086e+004;6,143e+004;139,2;220,0;80,73;87,46;193,7;91,48;-0,2120;36,81;91,70;81,58;0,5677;441,2;68,87;0,5859;1,653e+004;5526;-6983;3384;-3764;1,245;59,71;202,2;80,83;1,574e+004;4876;0,6901;8,123
15;9192;5,482e+004;123,4;205,4;82,03;87,32;182,5;87,91;-0,1368;35,12;88,04;78,63;0,5130;444,4;65,21;0,6374;1,897e+004;4863;-6292;2533;-3437;0,2394;60,71;189,2;82,13;1,408e+004;4888;0,6528;8,437
16;9276;5,542e+004;125,6;203,8;78,18;85,51;183,5;87,28;-0,2599;34,78;87,54;77,57;0,5335;441,2;66,99;0,6175;1,658e+004;4938;-6217;2338;-3100;2,551;59,19;187,5;78,32;1,384e+004;4560;0,6704;8,230
17;7960;5,056e+004;113,8;194,9;81,19;87,35;172,7;83,50;-0,2941;32,91;83,79;75,71;0,4104;444,4;62,35;0,6656;2,613e+004;4357;-5602;2472;-3061;0,04103;54,40;182,5;81,36;1,266e+004;4698;0,6288;8,643
18;8033;5,238e+004;118,7;196,6;77,87;84,46;178,2;83,23;-0,5677;32,84;83,80;75,15;0,1710;441,2;67,94;0,6330;2,089e+004;4500;-5991;2571;-2824;0,7660;57,62;174,7;77,93;1,247e+004;4439;0,6441;8,345

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
Avg;1,567e+004;7,352e+004;166,1;259,8;93,72;100,2;229,6;102,8;0,5319;44,04;102,2;91,66;1,735;442,7;66,30;0,5623;3,289e+004;6965;-8149;3752;-5054;1,603;69,36;250,6;93,86;2,198e+004;6307;0,7035;8,306
Min;7960;5,056e+004;113,8;194,9;77,87;84,46;172,7;83,23;-0,5677;32,84;83,79;75,15;0,1710;441,2;62,35;0,4902;1,653e+004;4357;-1,014e+004;2338;-7404;0,04103;54,40;174,7;77,93;1,247e+004;4439;0,6288;8,053
Max;2,591e+004;1,014e+005;229,8;347,0;118,9;124,0;299,8;124,2;2,517;59,15;121,7;112,7;4,788;444,4;68,87;0,6656;8,477e+004;9951;-5602;5465;-2824;3,358;89,10;343,2;119,3;3,507e+004;9161;0,7388;8,721
Count;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
