;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;1,520e+004;8,689e+004;460,5;630,1;169,6;262,8;398,1;62,28;5,049;24,27;57,23;52,43;8,962;188,7;94,43;0,1138;5,494e+005;1799;-1272;1,259e+004;-1,216e+004;40,89;33,93;487,7;190,9;30,06
2;1,545e+004;7,845e+004;417,1;584,9;167,8;247,8;375,9;61,70;5,104;23,92;56,59;49,33;8,771;188,1;73,51;0,1183;3,972e+005;1779;-1272;1,145e+004;-9180;31,95;42,33;567,3;193,2;27,02
3;1,640e+004;7,702e+004;406,9;576,8;169,9;228,2;349,4;61,86;5,117;24,10;56,74;47,63;8,812;189,3;73,52;0,1170;2,813e+005;1765;-1245;1,055e+004;-9561;17,56;34,38;553,5;189,0;30,42
4;1,433e+004;7,359e+004;394,9;570,6;175,6;233,9;351,0;61,63;5,145;23,71;56,49;48,28;8,764;186,3;77,31;0,1223;2,249e+005;1820;-1231;8814;-1,146e+004;13,68;41,49;510,8;190,2;27,74
5;1,446e+004;8,046e+004;433,1;603,4;170,2;238,3;361,3;62,02;5,111;23,85;56,91;51,24;8,846;185,8;142,1;0,1183;5,612e+005;2169;-1950;1,446e+004;-9607;7,751;9,325;304,9;307,9;30,11
6;1,550e+004;7,987e+004;436,6;602,9;166,2;254,3;372,4;61,88;5,767;24,00;56,11;53,29;8,832;182,9;76,71;0,1220;5,143e+005;1820;-1252;1,440e+004;-1,007e+004;35,14;42,02;569,2;187,6;28,88

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;1,522e+004;7,938e+004;424,9;594,8;169,9;244,2;368,0;61,90;5,215;23,97;56,68;50,37;8,831;186,8;89,59;0,1186;4,214e+005;1859;-1371;1,204e+004;-1,034e+004;24,50;33,91;498,9;209,8;29,04
Min;1,433e+004;7,359e+004;394,9;570,6;166,2;228,2;349,4;61,63;5,049;23,71;56,11;47,63;8,764;182,9;73,51;0,1138;2,249e+005;1765;-1950;8814;-1,216e+004;7,751;9,325;304,9;187,6;27,02
Max;1,640e+004;8,689e+004;460,5;630,1;175,6;262,8;398,1;62,28;5,767;24,27;57,23;53,29;8,962;189,3;142,1;0,1223;5,612e+005;2169;-1231;1,446e+004;-9180;40,89;42,33;569,2;307,9;30,42
Count;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
