;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1;7520;4,255e+004;237,6;382,2;144,7;212,3;281,9;61,07;5,801;23,20;55,27;52,85;9,325;179,1;69,20;0,2225;2,488e+005;1717;-1389;5580;-4039;43,40;41,77;343,3;165,1;1,244e+004;4925;0,6043;32,54
2;7363;4,283e+004;235,6;375,6;140,0;198,3;266,3;61,09;5,692;23,28;55,39;51,29;9,147;181,8;71,08;0,2177;2,910e+005;1738;-1259;6089;-4754;47,79;42,06;331,4;159,4;1,215e+004;4783;0,6062;29,47
3;6892;3,676e+004;199,1;340,2;141,0;183,2;246,1;59,55;5,767;22,80;53,79;46,30;8,606;184,6;64,92;0,2325;9,890e+004;1635;-1272;3623;-4403;16,58;28,63;306,7;156,1;1,127e+004;4376;0,6116;32,16
4;6027;3,260e+004;180,9;323,1;142,1;200,6;244,5;58,23;5,726;21,75;52,51;51,89;8,264;180,2;60,31;0,2868;1,040e+005;1553;-1225;3443;-4147;26,54;34,12;300,0;161,2;1,075e+004;4719;0,5609;32,08
5;5703;3,034e+004;169,9;310,9;140,9;196,7;249,2;57,50;5,555;21,24;51,95;50,38;8,025;178,6;56,18;0,2965;1,199e+005;1553;-1163;3367;-3513;32,45;39,98;302,5;154,3;1,017e+004;4470;0,5606;34,22
6;5332;2,981e+004;162,5;301,1;138,7;178,1;241,4;56,42;5,644;21,18;50,78;48,31;7,909;183,5;61,11;0,2974;1,233e+005;1519;-1081;2790;-3767;44,19;33,28;265,9;145,8;9765;4434;0,5460;32,61
7;4690;2,415e+004;132,8;268,1;135,3;197,8;223,5;54,62;5,760;20,33;48,86;51,96;7,608;181,8;50,81;0,3913;3,608e+004;1409;-957,8;2298;-3147;11,22;27,94;261,4;147,5;9109;4420;0,5148;33,75
8;4217;2,371e+004;129,6;267,1;137,4;183,8;223,6;53,51;5,713;19,99;47,80;49,32;7,539;182,9;49,39;0,3804;7,145e+004;1382;-862,0;2809;-2712;25,25;33,30;262,5;149,4;8557;4340;0,4928;36,71
9;3858;2,143e+004;118,6;254,0;135,4;171,0;216,3;52,25;5,801;19,35;46,45;46,76;7,361;180,7;51,41;0,3944;7,928e+004;1341;-773,1;2337;-2828;33,04;22,80;230,6;140,3;7951;4093;0,4852;38,00
10;3726;2,042e+004;112,0;246,5;134,5;164,2;204,7;51,33;5,624;19,07;45,71;43,92;7,307;182,4;48,96;0,3923;7,654e+004;1307;-773,1;2080;-2848;6,937;19,76;228,7;135,6;7441;3716;0,5007;37,96
11;3275;1,709e+004;95,71;231,7;136,0;168,3;214,2;49,83;5,733;18,34;44,10;46,41;7,101;178,6;43,50;0,4849;3,518e+004;1279;-711,5;2058;-2689;7,053;19,26;220,0;139,8;7306;4031;0,4483;36,98
12;3012;1,710e+004;94,31;227,0;132,6;163,4;208,7;49,71;5,788;18,53;43,92;44,60;7,190;181,3;45,42;0,4729;5,959e+004;1259;-725,2;1882;-1955;31,20;20,50;207,7;136,2;6784;3772;0,4440;37,41
13;2825;1,693e+004;93,96;225,3;131,3;175,2;198,0;48,21;5,849;17,93;42,36;47,73;7,115;180,2;45,93;0,5080;7,739e+004;1204;-656,8;2009;-2908;38,52;28,79;204,6;131,4;6678;3853;0,4230;39,51

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
Avg;4957;2,736e+004;151,0;288,7;137,7;184,1;232,2;54,87;5,727;20,54;49,14;48,59;7,884;181,2;55,25;0,3521;1,093e+005;1454;-988,3;3105;-3362;28,01;30,17;266,6;147,9;9259;4302;0,5230;34,88
Min;2825;1,693e+004;93,96;225,3;131,3;163,4;198,0;48,21;5,555;17,93;42,36;43,92;7,101;178,6;43,50;0,2177;3,518e+004;1204;-1389;1882;-4754;6,937;19,26;204,6;131,4;6678;3716;0,4230;29,47
Max;7520;4,283e+004;237,6;382,2;144,7;212,3;281,9;61,09;5,849;23,28;55,39;52,85;9,325;184,6;71,08;0,5080;2,910e+005;1738;-656,8;6089;-1955;47,79;42,06;343,3;165,1;1,244e+004;4925;0,6116;39,51
Count;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
