;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;3,223e+004;1,124e+005;312,8;653,4;340,6;350,4;630,0;127,7;2,689;75,71;125,0;125,7;77,63;359,3;49,64;0,4019;2,771e+005;7389;-6821;1,070e+004;-9845;3,585;77,63;630,0;340,8;14,42
2;3,486e+004;1,047e+005;327,9;675,8;347,9;352,3;591,1;129,6;2,524;72,55;127,1;126,1;5,370;319,1;48,54;0,3846;1,881e+005;7614;-6075;1,002e+004;-7151;3,599;88,08;675,5;353,9;15,19
3;3,394e+004;1,003e+005;307,6;651,9;344,3;355,1;599,3;131,2;1,156;74,86;130,0;128,6;5,268;326,1;47,25;0,4181;1,701e+005;7703;-5815;8839;-7495;1,717;87,27;650,9;344,6;15,41
4;2,949e+004;8,388e+004;272,6;644,7;372,1;377,3;553,6;128,6;-1,163;68,01;129,7;126,9;2,080;307,7;42,30;0,4656;2,075e+005;7628;-6020;8798;-6264;-0,3352;84,44;644,4;382,8;14,24
5;2,814e+004;8,058e+004;255,2;617,5;362,3;373,0;560,2;127,1;-2,011;68,01;129,1;123,9;1,409;315,8;42,32;0,4854;2,512e+005;7389;-6609;8002;-6627;0,3079;78,27;602,9;362,4;13,25
6;3,034e+004;8,426e+004;265,4;632,6;367,2;376,4;566,0;125,9;-1,293;67,48;127,2;124,3;0,5405;317,5;42,55;0,4682;1,537e+005;7348;-6807;8315;-7764;0,2394;78,50;623,8;369,4;13,08
7;3,334e+004;9,886e+004;311,4;662,4;351,0;360,4;594,4;130,0;1,977;72,20;128,0;127,6;1,977;317,5;48,18;0,4097;3,268e+005;7635;-6547;1,123e+004;-7155;4,577;84,24;646,4;351,4;14,87
8;3,479e+004;1,006e+005;315,3;669,3;354,0;363,0;616,7;131,7;2,839;74,48;128,9;130,0;5,836;319,1;47,23;0,4123;1,427e+005;7717;-5877;9225;-8505;4,009;86,24;667,6;357,2;15,78
9;3,382e+004;9,718e+004;306,1;659,0;352,9;358,0;599,4;132,7;2,511;74,55;130,2;130,0;5,719;317,5;46,48;0,4247;1,171e+005;7779;-5795;1,020e+004;-9049;4,071;90,72;658,6;356,2;15,93
10;3,069e+004;8,595e+004;270,8;629,9;359,1;370,4;592,9;130,4;-1,437;71,32;131,8;128,8;5,357;317,5;43,00;0,4758;1,760e+005;7649;-6048;7761;-6198;-0,1916;86,86;629,6;361,3;14,56
11;2,888e+004;8,085e+004;254,7;619,3;364,6;368,6;557,1;128,0;-1,231;68,83;129,2;125,3;1,437;317,5;41,37;0,4920;9,680e+004;7457;-6458;8130;-6702;0,4857;82,77;615,7;369,7;13,50
12;2,847e+004;8,539e+004;270,4;638,6;368,2;384,3;566,7;126,4;1,122;67,78;125,3;125,9;1,122;315,8;43,85;0,4656;3,166e+005;7272;-6650;8793;-8752;3,243;84,74;616,6;368,4;13,68

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;3,158e+004;9,291e+004;289,2;646,2;357,0;365,8;585,6;129,1;0,6402;71,32;128,5;126,9;9,479;320,9;45,23;0,4420;2,020e+005;7548;-6293;9167;-7626;2,109;84,15;638,5;359,8;14,49
Min;2,814e+004;8,058e+004;254,7;617,5;340,6;350,4;553,6;125,9;-2,011;67,48;125,0;123,9;0,5405;307,7;41,37;0,3846;9,680e+004;7272;-6821;7761;-9845;-0,3352;77,63;602,9;340,8;13,08
Max;3,486e+004;1,124e+005;327,9;675,8;372,1;384,3;630,0;132,7;2,839;75,71;131,8;130,0;77,63;359,3;49,64;0,4920;3,268e+005;7779;-5795;1,123e+004;-6198;4,577;90,72;675,5;382,8;15,93
Count;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
