;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;3,221e+004;9,304e+004;290,0;720,0;430,0;449,3;558,2;131,3;6,055;81,29;125,2;130,6;6,410;320,9;40,28;0,4503;9,481e+004;7389;-5288;1,092e+004;-5662;6,096;84,89;720,0;430,3;17,57
2;3,289e+004;9,786e+004;305,0;722,0;417,0;426,8;563,5;131,7;5,863;80,73;125,9;128,9;6,205;320,9;42,27;0,4226;9,871e+004;7457;-4974;1,146e+004;-9345;6,554;88,70;721,5;419,2;18,31
3;3,237e+004;9,534e+004;301,9;721,2;419,2;432,8;533,5;129,2;2,073;77,23;127,2;128,4;5,966;315,8;42,60;0,4252;1,028e+005;7354;-4912;1,068e+004;-7088;2,347;94,23;708,8;419,2;16,97
4;3,074e+004;8,741e+004;272,4;681,8;409,4;428,1;530,1;128,0;1,478;76,98;126,5;123,4;2,436;320,9;39,95;0,4531;5,325e+004;7361;-5473;1,257e+004;-5917;3,161;76,10;681,8;410,3;15,41
5;3,235e+004;9,479e+004;300,2;729,2;429,0;456,3;527,7;128,2;1,868;77,25;126,3;127,7;1,868;315,8;41,62;0,4256;1,090e+005;7348;-5432;1,032e+004;-6249;2,634;80,16;721,2;429,8;17,06
6;3,176e+004;9,563e+004;302,8;730,6;427,8;435,5;543,3;131,3;5,801;80,13;125,5;127,5;5,801;315,8;41,74;0,4211;2,400e+005;7416;-5288;1,004e+004;-6910;5,801;88,46;725,6;430,6;17,44
7;3,300e+004;9,701e+004;304,0;728,4;424,5;428,4;563,6;131,8;3,927;80,07;127,8;131,0;6,239;319,1;42,20;0,4311;1,050e+005;7464;-5015;1,077e+004;-7247;3,954;91,73;720,3;424,5;17,78
8;3,311e+004;9,592e+004;305,3;715,8;410,4;427,2;559,5;129,4;1,922;76,68;127,5;126,3;4,139;314,1;42,66;0,4137;1,793e+005;7457;-5001;1,049e+004;-8469;4,139;85,71;715,7;413,0;16,64
9;3,223e+004;9,623e+004;296,7;700,4;403,7;428,4;536,4;128,0;1,745;78,11;126,2;126,4;2,572;324,3;42,78;0,4261;9,748e+004;7313;-5528;1,124e+004;-4444;3,120;80,35;693,6;413,6;15,47
10;3,173e+004;9,446e+004;300,7;724,9;424,2;440,9;522,5;130,1;1,868;77,76;128,2;127,4;1,868;314,1;41,88;0,4237;2,317e+005;7348;-5535;1,104e+004;-8366;2,449;85,65;718,0;437,7;17,13
11;3,480e+004;1,017e+005;322,1;752,1;430,1;442,8;555,2;131,5;6,041;80,41;125,5;130,5;6,342;315,8;42,87;0,4053;1,297e+005;7409;-4967;1,046e+004;-7245;6,102;89,25;751,2;430,8;17,91
12;3,252e+004;9,492e+004;295,8;707,9;412,1;426,2;559,4;131,6;3,284;79,80;128,3;130,2;6,212;320,9;41,82;0,4399;1,388e+005;7484;-4953;1,093e+004;-8925;6,568;86,97;707,4;413,5;17,26
13;3,328e+004;9,691e+004;303,7;715,6;412,0;442,8;544,4;128,4;1,512;77,18;126,9;128,0;3,407;319,1;42,60;0,4217;6,581e+004;7389;-5076;1,027e+004;-7402;4,160;87,69;712,9;413,4;16,21
14;3,132e+004;8,926e+004;281,2;683,2;402,0;422,9;502,8;127,8;1,717;76,58;126,1;122,9;1,717;317,5;41,17;0,4371;1,026e+005;7320;-5542;1,147e+004;-6004;2,299;78,68;683,0;403,8;15,61
15;3,397e+004;9,556e+004;302,6;734,4;431,8;438,4;527,6;130,4;2,477;78,60;127,9;127,5;2,477;315,8;41,20;0,4214;7,924e+004;7396;-5651;1,036e+004;-7033;6,034;83,93;734,4;437,3;17,03
16;3,193e+004;9,341e+004;295,8;724,2;428,4;440,4;562,6;131,4;5,897;79,74;125,5;128,5;6,144;315,8;40,89;0,4343;1,180e+005;7409;-5001;1,075e+004;-8816;6,718;89,69;723,5;429,9;18,03
17;3,223e+004;9,297e+004;291,3;711,7;420,4;428,9;557,4;129,6;2,217;78,02;127,4;128,8;6,150;319,1;41,02;0,4422;7,977e+004;7430;-5008;1,075e+004;-7722;2,442;88,72;710,1;420,4;16,75
18;3,099e+004;9,039e+004;280,2;691,6;411,4;436,5;523,4;127,9;1,916;77,54;126,0;124,3;2,579;322,6;40,72;0,4435;8,376e+004;7354;-5377;1,285e+004;-7153;3,256;86,43;688,2;412,2;15,72
19;3,254e+004;9,268e+004;293,5;721,6;428,1;447,2;530,1;129,2;2,059;77,60;127,2;128,7;2,059;315,8;40,76;0,4387;7,099e+004;7341;-5589;1,058e+004;-6599;2,388;83,57;720,1;432,8;16,93
20;3,295e+004;9,650e+004;307,2;729,8;422,6;430,2;538,0;131,2;5,877;79,63;125,3;128,2;5,959;314,1;42,44;0,4173;2,117e+005;7382;-5035;1,025e+004;-9345;7,006;87,48;723,8;422,9;17,69
