;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;4,963e+004;1,427e+005;442,5;847,4;404,9;417,1;746,6;128,8;0,1779;69,12;128,6;124,7;0,1779;322,6;53,16;0,2817;1,208e+005;7341;-6410;1,377e+004;-9597;3,222;81,09;832,4;404,9;7,341e+004;2,378e+004;0,6760;14,72
3;4,771e+004;1,315e+005;412,1;824,8;412,7;418,4;709,1;128,2;0,9099;67,87;127,3;126,6;3,455;319,1;50,42;0,3073;9,428e+004;7286;-6342;1,358e+004;-1,220e+004;3,455;82,14;817,3;414,4;7,039e+004;2,268e+004;0,6778;14,58
4;4,417e+004;1,252e+005;388,2;793,7;405,6;419,3;706,3;125,7;0,2189;65,76;125,5;122,8;3,065;322,6;49,35;0,3163;8,605e+004;7142;-6568;1,242e+004;-7467;1,635;79,76;786,7;405,6;6,501e+004;2,084e+004;0,6794;14,23
5;4,372e+004;1,351e+005;418,7;801,1;382,4;390,9;695,9;123,0;-0,4721;62,66;123,5;121,4;1,888;322,6;56,65;0,2900;7,136e+004;7033;-6698;1,322e+004;-8350;1,888;81,95;739,0;382,8;6,314e+004;1,942e+004;0,6924;13,84
6;3,595e+004;1,096e+005;339,9;706,4;366,5;385,2;631,5;118,7;-1,081;58,28;119,8;117,8;0,9167;322,6;49,88;0,3466;6,284e+004;6643;-7122;7191;-7999;0,9167;78,87;681,5;369,8;5,350e+004;1,755e+004;0,6720;13,50
7;3,437e+004;1,117e+005;344,5;690,0;345,5;358,2;590,6;114,6;-1,628;54,92;116,2;111,7;0,1437;324,3;52,85;0,3244;1,032e+005;6383;-7272;8440;-8840;-0,9646;79,74;651,7;345,5;5,065e+004;1,628e+004;0,6786;13,13
8;2,932e+004;9,636e+004;298,7;637,7;339,0;347,4;555,0;109,5;-1,963;50,68;111,5;107,2;-0,5405;322,6;48,69;0,3588;9,043e+004;5890;-7040;7774;-7836;-0,5405;75,59;613,4;339,2;4,490e+004;1,558e+004;0,6530;12,96
9;2,886e+004;9,804e+004;302,3;628,1;325,8;342,0;517,2;105,8;-2,258;48,01;108,1;103,6;-0,8073;324,3;50,12;0,3426;9,033e+004;5569;-6978;8242;-8289;4,413;75,39;603,2;326,4;4,243e+004;1,357e+004;0,6801;12,68
10;2,428e+004;8,781e+004;270,8;582,8;312,0;324,1;471,7;102,1;-2,463;45,10;104,6;98,33;-1,184;324,3;48,61;0,3632;8,447e+004;5083;-6547;8978;-5221;2,518;72,15;557,0;312,0;3,736e+004;1,308e+004;0,6500;12,69
