;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
1;2,411e+004;9,370e+004;387,3;541,6;154,3;156,9;438,0;73,03;-2,293;31,88;75,32;71,27;-1,998;241,9;77,44;0,1840;4,845e+004;2222;-3037;9155;-7115;-2,145;42,63;500,1;158,5;18,98
2;3,631e+004;1,321e+005;541,8;653,1;111,4;112,9;550,8;77,22;-2,162;34,92;79,38;74,08;-2,009;243,9;85,64;0,1367;9,762e+004;2857;-3125;1,003e+004;-1,074e+004;-1,571;48,36;632,6;119,7;19,15
3;2,331e+004;1,018e+005;419,0;565,8;146,9;149,2;437,9;72,13;-2,441;31,39;74,57;69,92;-2,030;242,9;83,14;0,1669;8,107e+004;2162;-2994;1,164e+004;-6903;-2,441;42,24;503,9;153,4;18,66
4;3,659e+004;1,389e+005;572,0;693,9;121,9;123,3;574,7;76,04;-2,397;33,92;78,44;73,17;-2,277;242,9;89,36;0,1279;1,116e+005;2868;-3180;8286;-1,107e+004;-2,277;54,00;640,1;133,7;18,67
5;2,454e+004;1,098e+005;454,0;607,1;153,1;155,1;442,8;71,68;-2,698;30,95;74,38;69,94;-2,271;241,9;86,56;0,1541;7,306e+004;2118;-3016;1,138e+004;-8511;-2,654;40,58;524,5;158,8;18,39
6;4,194e+004;1,589e+005;654,0;777,7;123,6;125,3;614,6;76,33;-2,424;34,18;78,75;73,77;-2,424;242,9;89,08;0,1128;1,150e+005;2862;-3224;9522;-1,288e+004;-2,249;46,09;734,2;131,0;18,96
7;2,947e+004;1,160e+005;477,4;638,8;161,4;165,2;504,7;72,55;-2,200;31,83;74,75;69,83;-2,200;242,9;81,41;0,1463;6,073e+004;2255;-3059;1,421e+004;-7694;-1,943;43,19;586,4;163,5;18,63
8;4,440e+004;1,592e+005;660,7;780,9;120,2;121,7;653,2;77,41;-2,184;34,67;79,59;74,38;-1,861;241,0;89,83;0,1126;9,689e+004;2955;-3234;1,412e+004;-1,333e+004;-1,861;54,64;735,5;129,5;19,02
9;2,908e+004;1,115e+005;457,3;622,3;165,0;167,8;531,7;72,94;-2,260;32,15;75,20;70,42;-1,948;243,9;76,24;0,1540;7,370e+004;2260;-3103;1,255e+004;-8827;-2,217;41,84;599,9;171,3;18,84

;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);Tau (ms)
Avg;3,219e+004;1,247e+005;513,7;653,5;139,8;141,9;527,6;74,37;-2,340;32,88;76,71;71,86;-2,113;242,7;84,30;0,1439;8,423e+004;2507;-3108;1,121e+004;-9676;-2,151;45,95;606,4;146,6;18,81
Min;2,331e+004;9,370e+004;387,3;541,6;111,4;112,9;437,9;71,68;-2,698;30,95;74,38;69,83;-2,424;241,0;76,24;0,1126;4,845e+004;2118;-3234;8286;-1,333e+004;-2,654;40,58;500,1;119,7;18,39
Max;4,440e+004;1,592e+005;660,7;780,9;165,0;167,8;653,2;77,41;-2,162;34,92;79,59;74,38;-1,861;243,9;89,83;0,1840;1,150e+005;2955;-2994;1,421e+004;-6903;-1,571;54,64;735,5;171,3;19,15
Count;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
