;SW (mmHg*킠);CO (킠/min);SV (킠);Vmax (킠);Vmin (킠);Ves (킠);Ved (킠);Pmax (mmHg);Pmin (mmHg);Pmean (mmHg);Pdev (mmHg);Pes (mmHg);Ped (mmHg);HR (bpm);EF (%);Ea (mmHg/킠);PowMax (mmHg*킠/s);dP/dt max (mmHg/s);dP/dt min (mmHg/s);dV/dt max (킠/s);dV/dt min (킠/s);P@dV/dt max (mmHg);P@dP/dt max (mmHg);V@dP/dt max (킠);V@dP/dt min (킠);PVA (mmHg*킠);PE (mmHg*킠);CE;Tau (ms)
1;3,314e+004;9,404e+004;363,6;440,5;76,91;78,72;440,5;110,2;0,2668;59,45;109,9;104,8;6,082;258,6;87,94;0,2882;7,816e+004;4296;-3763;6952;-6809;0,2736;71,48;413,5;77,21; ; ; ;22,04
2;2,123e+004;6,878e+004;280,8;387,1;106,2;114,1;327,6;100,6;-0,3899;48,40;101,0;96,30;1,047;244,9;85,59;0,3429;3,615e+004;3181;-3400;7765;-3996;-0,3352;64,44;328,1;109,9; ; ; ;21,98
3;2,916e+004;7,787e+004;319,3;391,1;71,81;73,28;388,8;108,2;-0,7594;53,38;108,9;103,4;1,478;243,9;85,02;0,3239;1,921e+005;4214;-3783;5858;-6392;-0,7457;66,30;375,5;72,34; ; ; ;21,60
4;1,798e+004;6,422e+004;259,0;351,8;92,77;96,42;307,1;96,70;-1,485;45,17;98,18;92,23;0,8483;247,9;91,55;0,3561;1,684e+004;3003;-3421;6502;-3698;-1,430;61,71;282,9;94,05; ; ; ;21,19
5;2,581e+004;7,500e+004;297,5;352,3;54,81;55,79;352,3;104,9;-1,902;51,24;106,8;101,2;0,5541;252,1;91,08;0,3403;5,950e+004;4057;-3824;5213;-5358;-1,806;68,59;326,6;56,01; ; ; ;20,84
6;1,477e+004;5,844e+004;238,6;311,1;72,46;73,67;253,8;91,79;-2,620;40,37;94,41;88,38;-1,587;244,9;101,8;0,3703;2,113e+004;2757;-3414;5209;-3334;-2,552;56,88;234,4;73,25; ; ; ;20,13
7;2,158e+004;6,658e+004;268,5;315,3;46,75;47,42;312,8;100,6;-2,949;46,22;103,5;97,75;-1,478;247,9;95,57;0,3640;3,869e+004;3913;-3728;4697;-4848;-2,736;62,45;281,0;50,01; ; ; ;20,50
8;1,257e+004;4,998e+004;204,1;267,1;62,97;64,03;227,8;86,22;-3,379;36,27;89,60;83,88;-2,777;244,9;99,29;0,4110;1,484e+004;2518;-3263;4450;-3158;-3,373;53,78;205,6;63,93; ; ; ;19,76
9;1,865e+004;5,643e+004;226,7;267,6;40,91;41,71;267,4;96,87;-3,667;42,88;100,5;94,82;-2,490;249,0;90,63;0,4184;1,532e+004;3694;-3455;4356;-4827;-3,366;63,40;250,1;42,13; ; ; ;20,52
10;1,101e+004;5,121e+004;211,7;262,9;51,25;51,75;205,6;81,28;-3,920;32,51;85,20;79,43;-3,605;241,9;116,6;0,3752;1,332e+004;2305;-3140;4905;-2444;-3,886;49,54;181,5;52,52; ; ; ;19,35
11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12;9139;3,816e+004;156,5;208,3;51,87;52,88;193,5;75,79;-4,652;29,51;80,44;73,59;-4,460;243,9;96,35;0,4703;1,983e+004;2121;-2921;4079;-2507;-4,604;53,02;162,4;53,11; ; ; ;18,76
13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14;6103;3,823e+004;158,6;182,6;23,95;24,45;127,1;75,83;-6,013;28,27;81,84;72,50;-5,685;241,0;168,6;0,4570;1,678e+004;1984;-2901;3504;-1759;-5,918;47,51;94,08;25,29; ; ; ;18,98
