	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	3,491e+004	1,173e+005	307,0	396,8	89,78	91,25	329,3	152,3	0,6088	73,58	151,6	148,5	2,038	382,2	88,16	0,4835	8,923e+005	1,419e+004	-1,119e+004	6963	-1,059e+004	0,9918	103,0	348,3	94,19	4,699e+004	1,208e+004	0,7430	9,284
5	3,194e+004	1,061e+005	281,1	363,6	82,51	83,73	311,4	147,7	0,2326	69,26	147,4	144,1	1,436	377,4	87,19	0,5127	7,985e+005	1,411e+004	-1,057e+004	6395	-9899	0,4856	104,7	322,4	86,66	4,251e+004	1,056e+004	0,7515	9,395
6	2,973e+004	9,814e+004	258,4	330,0	71,60	72,55	284,8	144,2	-0,2462	65,72	144,4	138,4	1,416	379,7	86,40	0,5354	6,195e+005	1,391e+004	-1,010e+004	6123	-9234	0,01368	106,0	299,1	74,60	3,827e+004	8533	0,7770	9,359
7	2,725e+004	9,067e+004	237,3	300,7	63,43	64,80	263,7	140,2	-0,7661	61,94	141,0	133,1	1,218	382,2	86,62	0,5609	5,597e+005	1,354e+004	-9001	6120	-9110	-0,3557	105,9	273,9	64,95	3,401e+004	6760	0,8012	9,664
8	2,502e+004	8,277e+004	217,9	275,5	57,56	59,25	245,4	135,9	-1,129	57,67	137,0	126,7	0,5404	379,7	84,89	0,5812	4,606e+005	1,309e+004	-8222	5689	-8264	-0,6293	107,1	256,7	58,28	3,059e+004	5563	0,8181	9,640
9	2,288e+004	7,727e+004	203,5	256,0	52,52	54,41	223,8	131,7	-1,560	54,34	133,2	121,3	0,3762	379,7	84,18	0,5963	3,859e+005	1,254e+004	-7743	5731	-8079	-1,252	108,0	241,7	52,92	2,760e+004	4720	0,8290	9,716
10	2,132e+004	7,195e+004	188,3	238,3	50,01	51,84	215,3	127,9	-1,888	52,00	129,8	116,0	0,3146	382,2	83,18	0,6159	2,920e+005	1,230e+004	-7326	5628	-7637	-1,518	96,61	226,4	50,42	2,561e+004	4295	0,8323	9,742
11	2,056e+004	6,864e+004	183,0	228,7	45,63	47,59	216,0	124,5	-2,250	48,87	126,7	111,9	-0,2599	375,0	83,57	0,6112	2,350e+005	1,197e+004	-7093	5533	-7327	-1,819	97,22	219,0	46,03	2,438e+004	3821	0,8433	9,676
12	2,047e+004	7,024e+004	185,0	227,9	42,91	44,51	215,6	121,5	-2,572	47,66	124,1	108,8	0,4925	379,7	84,53	0,5881	2,169e+005	1,161e+004	-7100	5380	-7734	-2,038	97,46	218,8	43,36	2,392e+004	3448	0,8559	9,295
