	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	1,215e+004	7,150e+004	205,0	311,4	106,5	195,5	203,2	121,2	-0,01368	55,08	121,3	114,9	2,838	348,8	73,34	0,5606	3,842e+005	6956	-5253	5064	-3057	33,25	77,96	279,5	182,0	1,944e+004	7284	0,6253	11,82
5	1,023e+004	6,512e+004	185,6	285,9	100,3	178,9	179,5	119,2	-0,5266	53,17	119,7	112,9	2,346	350,9	73,54	0,6085	3,524e+005	6778	-5362	4650	-3716	46,00	78,68	252,4	164,3	1,610e+004	5871	0,6353	11,68
6	8356	5,825e+004	168,9	262,7	93,79	170,8	159,0	116,4	-1,190	49,54	117,5	110,4	1,423	344,8	71,68	0,6538	3,175e+005	6518	-5513	4362	-3112	32,01	80,70	235,6	160,5	1,392e+004	5559	0,6005	11,28
7	6680	5,177e+004	150,1	237,9	87,78	164,4	155,1	113,6	-1,689	46,95	115,3	106,4	0,8481	344,8	72,09	0,7088	3,060e+005	6251	-5677	3242	-2272	87,52	75,64	208,3	150,4	1,139e+004	4714	0,5863	10,71
8	5723	4,704e+004	137,2	220,8	83,62	151,9	143,4	110,6	-2,209	44,11	112,8	103,2	0,5608	342,9	70,96	0,7519	2,438e+005	5937	-5868	3098	-2245	35,09	74,95	193,3	139,6	9636	3913	0,5940	10,51
9	5294	4,427e+004	129,1	209,5	80,42	140,2	131,5	107,7	-2,421	42,05	110,2	98,84	0,08891	342,9	70,66	0,7655	2,487e+005	5738	-6046	3307	-2433	46,67	69,08	182,7	130,8	8574	3279	0,6175	10,28
10	4552	4,136e+004	121,3	197,6	76,30	133,9	119,9	104,7	-2,791	39,57	107,5	95,77	-0,3899	340,9	69,39	0,7893	2,324e+005	5410	-6087	3287	-2167	52,87	68,99	174,9	125,5	7587	3035	0,6000	10,21
11	4071	3,909e+004	114,7	187,8	73,10	130,1	116,2	101,7	-3,146	37,70	104,9	93,24	-0,5950	340,9	69,98	0,8131	2,117e+005	5143	-6026	2882	-1939	48,20	63,43	163,8	120,1	6780	2710	0,6003	9,972
12	3453	3,624e+004	105,7	178,2	72,49	128,6	112,4	98,67	-3,310	36,11	102,0	89,70	-0,5814	342,9	67,92	0,8487	1,823e+005	4890	-5957	2863	-1715	36,27	60,03	155,6	118,2	5964	2511	0,5790	9,778
13	3316	3,535e+004	103,7	176,0	72,33	123,2	106,5	95,97	-3,557	34,38	99,53	86,54	-0,9028	340,9	68,33	0,8346	1,923e+005	4671	-5834	3151	-1820	39,11	57,55	151,8	113,6	5593	2277	0,5929	9,586
