	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	4,654e+004	2,061e+005	549,7	834,7	285,0	395,4	459,6	139,9	2,407	69,73	137,5	136,5	4,788	375,0	71,47	0,2482	1,451e+006	9083	-5971	2,161e+004	-1,731e+004	44,55	94,79	769,2	374,4	7,164e+004	2,510e+004	0,6496	12,25
2	4,537e+004	2,049e+005	549,9	816,2	266,3	360,5	434,8	137,5	2,045	66,94	135,5	134,5	4,165	372,7	72,73	0,2447	1,730e+006	9021	-6087	2,402e+004	-1,406e+004	61,28	96,21	756,1	346,5	6,789e+004	2,252e+004	0,6682	12,02
3	4,081e+004	1,931e+005	518,2	761,0	242,8	335,4	376,7	135,4	1,539	63,84	133,9	130,8	3,734	372,7	74,06	0,2524	1,751e+006	8809	-6299	2,350e+004	-1,325e+004	62,82	97,13	699,7	321,5	5,952e+004	1,871e+004	0,6856	11,60
4	3,218e+004	1,746e+005	468,6	684,5	215,9	331,1	345,5	132,5	1,033	60,26	131,5	125,3	3,078	372,7	76,54	0,2673	1,673e+006	8543	-6716	2,019e+004	-1,273e+004	69,07	94,23	612,2	306,7	4,910e+004	1,691e+004	0,6555	11,25
5	2,635e+004	1,433e+005	386,8	580,0	193,2	307,5	322,4	128,9	0,1641	55,79	128,7	121,8	2,476	370,4	72,86	0,3149	1,032e+006	8016	-7017	1,565e+004	-9444	46,19	83,56	530,9	292,0	4,171e+004	1,536e+004	0,6317	10,99
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	8815	7,379e+004	198,0	329,4	131,4	213,8	185,7	109,0	-1,956	40,54	111,0	99,55	0,2873	372,7	66,70	0,5028	4,037e+005	5834	-6320	7478	-4592	30,76	68,83	296,9	200,5	1,548e+004	6661	0,5696	10,06
10	8550	7,085e+004	191,3	320,3	129,0	197,8	173,8	104,1	-2,223	37,46	106,4	95,09	-0,1505	370,4	66,98	0,4971	3,917e+005	5369	-5978	7017	-5788	37,79	68,88	285,6	183,3	1,405e+004	5496	0,6087	9,943
