	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,623e+004	8,065e+004	203,0	351,9	149,0	154,6	305,9	152,3	10,24	79,40	142,1	145,6	14,28	397,4	58,00	0,7171	1,292e+005	1,316e+004	-1,014e+004	5185	-5414	12,72	100,7	349,9	149,0	3,665e+004	1,042e+004	0,7157	11,85
2	2,603e+004	8,326e+004	206,8	347,9	141,1	147,5	305,3	149,4	9,902	77,58	139,5	141,6	14,29	402,7	59,56	0,6848	1,453e+005	1,313e+004	-1,033e+004	4264	-5002	12,94	104,0	347,2	141,4	3,587e+004	9834	0,7258	11,71
3	2,619e+004	8,678e+004	217,0	346,0	129,0	133,9	285,6	146,7	9,533	73,40	137,1	137,1	13,39	400,0	63,22	0,6317	2,349e+005	1,299e+004	-1,083e+004	4137	-5483	13,39	108,0	343,2	129,4	3,504e+004	8853	0,7474	11,06
4	2,370e+004	8,207e+004	203,8	326,6	122,8	126,1	269,4	143,2	8,979	69,46	134,2	134,5	12,89	402,7	63,26	0,6598	2,530e+005	1,266e+004	-1,049e+004	3511	-5208	31,68	98,62	322,2	125,3	3,213e+004	8427	0,7377	10,94
5	2,193e+004	7,692e+004	192,3	307,8	115,5	117,8	255,3	139,6	8,418	65,01	131,2	128,0	11,99	400,0	62,75	0,6656	1,852e+005	1,237e+004	-1,058e+004	3440	-4888	20,35	100,9	306,4	117,2	2,962e+004	7692	0,7403	10,96
6	2,072e+004	7,602e+004	188,8	302,1	113,3	116,0	247,1	135,5	7,748	61,34	127,8	122,2	11,56	402,7	63,05	0,6474	2,223e+005	1,176e+004	-9854	3876	-5161	34,60	91,16	299,4	115,8	2,775e+004	7031	0,7467	10,83
7	1,953e+004	1,136e+005	189,4	297,5	108,0	110,1	236,9	131,8	9,382	82,21	122,4	117,0	10,80	600,0	64,88	0,6179	2,701e+005	1,149e+004	-9246	3769	-6177	44,89	95,22	291,9	111,2	2,621e+004	6684	0,7450	10,64
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	1,891e+004	8,012e+004	199,0	315,7	116,8	123,1	247,2	121,0	6,661	51,11	114,3	100,4	9,629	402,7	64,61	0,5046	2,703e+005	1,034e+004	-7167	4301	-6352	32,15	85,95	307,9	117,2	2,413e+004	5222	0,7836	10,88
12	1,608e+004	7,025e+004	174,4	294,5	120,0	127,2	233,8	116,8	6,462	48,51	110,3	98,65	9,218	402,7	60,51	0,5655	1,906e+005	9273	-6845	3484	-5520	27,38	82,14	288,3	120,4	2,134e+004	5259	0,7536	10,88
13	1,729e+004	7,425e+004	183,2	295,4	112,2	119,5	229,5	116,3	6,305	48,27	110,0	96,90	9,157	405,4	62,68	0,5290	1,801e+005	9417	-6695	4513	-6083	21,23	78,13	292,2	112,5	2,203e+004	4739	0,7848	10,86
14	1,530e+004	7,098e+004	176,3	285,8	109,6	115,6	213,3	112,7	6,182	46,05	106,5	94,74	8,746	402,7	63,03	0,5375	2,281e+005	8589	-6326	4351	-6082	28,89	81,75	279,7	110,7	2,007e+004	4777	0,7620	10,88
15	1,465e+004	6,837e+004	168,7	270,1	101,5	106,8	207,7	111,1	5,943	45,28	105,2	90,97	8,705	405,4	63,48	0,5394	1,857e+005	8521	-6134	4135	-6402	31,82	77,26	265,7	102,7	1,892e+004	4271	0,7742	10,87
16	1,327e+004	6,232e+004	154,8	257,2	102,4	109,3	198,8	107,7	5,854	43,32	101,9	90,16	8,350	402,7	60,99	0,5826	1,389e+005	7864	-5991	3533	-6111	18,35	74,99	253,7	102,8	1,735e+004	4081	0,7648	10,93
17	1,332e+004	6,509e+004	159,5	255,5	96,06	101,7	195,4	105,9	5,710	42,79	100,2	87,87	8,384	408,2	63,18	0,5510	1,621e+005	7680	-5676	4107	-6404	24,83	71,66	252,4	97,58	1,717e+004	3854	0,7756	10,93
18	1,200e+004	5,997e+004	147,9	242,7	94,76	100,6	190,0	103,0	5,635	41,29	97,42	85,76	7,919	405,4	62,04	0,5797	1,248e+005	7057	-5402	3190	-6389	23,18	73,23	238,4	95,47	1,563e+004	3627	0,7680	11,05
19	1,233e+004	6,090e+004	150,2	242,9	92,70	99,59	192,4	101,8	5,553	40,72	96,26	85,24	7,857	405,4	62,79	0,5675	1,179e+005	7010	-5238	2997	-6168	20,39	66,03	239,2	93,66	1,574e+004	3418	0,7829	11,06
20	1,145e+004	5,932e+004	146,3	237,4	91,11	97,47	188,3	99,27	5,464	39,58	93,80	83,29	7,721	405,4	62,51	0,5692	1,195e+005	6572	-5122	3198	-6482	22,14	68,69	234,1	93,66	1,488e+004	3436	0,7692	11,13
