	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	4,023e+004	1,117e+005	310,9	436,3	125,5	130,6	409,8	156,5	7,743	79,30	148,8	150,4	7,743	359,3	73,90	0,4838	3,780e+005	1,089e+004	-9542	6715	-7065	8,188	101,3	420,6	125,6	5,619e+004	1,596e+004	0,7160	12,88
3	3,432e+004	1,064e+005	294,3	415,1	120,7	123,0	354,5	154,9	7,976	78,73	147,0	151,2	9,837	361,4	74,70	0,5135	4,851e+005	1,103e+004	-9296	5590	-8384	8,345	107,1	394,0	125,1	5,128e+004	1,696e+004	0,6692	13,13
4	3,406e+004	1,060e+005	293,4	429,4	136,0	140,4	360,0	153,2	7,880	77,65	145,3	146,7	9,549	361,4	72,53	0,5002	5,340e+005	1,107e+004	-9241	5303	-7526	8,366	104,2	404,5	137,0	5,246e+004	1,841e+004	0,6491	13,28
5	3,257e+004	1,016e+005	281,0	385,5	104,5	109,1	331,4	151,4	7,668	75,81	143,7	146,1	9,412	361,4	78,48	0,5199	5,135e+005	1,064e+004	-9235	5984	-9082	7,949	106,7	358,1	105,1	4,600e+004	1,343e+004	0,7080	12,65
6	3,214e+004	1,018e+005	283,3	390,9	107,6	109,7	336,6	149,9	7,709	74,01	142,2	144,6	9,111	359,3	77,68	0,5105	5,237e+005	1,067e+004	-9303	5988	-8877	8,147	106,8	364,7	109,0	4,636e+004	1,423e+004	0,6931	12,82
7	3,244e+004	1,011e+005	279,6	396,7	117,1	119,4	347,2	148,2	7,080	73,29	141,1	144,4	9,262	361,4	73,25	0,5165	3,882e+005	1,054e+004	-9358	5961	-8499	8,044	103,6	381,7	119,6	4,817e+004	1,573e+004	0,6735	12,78
8	3,309e+004	9,878e+004	273,3	387,9	114,6	117,3	358,4	146,3	6,745	71,60	139,6	141,8	8,975	361,4	72,54	0,5190	2,586e+005	1,038e+004	-9262	4762	-7134	7,757	99,36	376,7	116,8	4,798e+004	1,489e+004	0,6896	12,66
9	3,448e+004	1,027e+005	282,5	392,7	110,3	112,8	350,4	143,6	5,623	69,66	138,0	138,9	8,537	363,6	72,96	0,4919	1,799e+005	1,031e+004	-8728	5569	-8599	6,225	106,3	387,1	112,4	4,861e+004	1,413e+004	0,7093	12,69
10	3,390e+004	9,799e+004	271,1	374,5	103,4	107,6	359,3	139,5	4,734	65,69	134,7	134,3	7,025	361,4	73,24	0,4955	1,164e+005	9946	-9036	5367	-8664	5,178	97,77	370,2	103,6	4,624e+004	1,234e+004	0,7331	12,36
11	3,147e+004	9,604e+004	262,5	360,1	97,59	101,6	340,0	133,6	3,495	61,56	130,1	128,1	6,355	365,9	74,01	0,4878	1,489e+005	9187	-9009	5401	-8915	3,660	99,68	354,7	97,83	4,281e+004	1,134e+004	0,7351	11,97
12	2,857e+004	9,029e+004	245,3	331,1	85,79	90,66	324,9	128,4	3,571	57,29	124,8	119,8	4,911	368,1	75,39	0,4884	1,489e+005	8277	-8113	5542	-7563	3,571	93,94	325,4	85,79	3,810e+004	9536	0,7497	12,24
13	2,532e+004	8,259e+004	225,7	293,1	67,33	71,04	290,2	122,9	3,345	52,68	119,5	110,9	4,870	365,9	78,07	0,4913	7,587e+004	7449	-7661	5958	-7818	3,352	91,50	289,2	67,35	3,263e+004	7306	0,7761	12,17
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	1,383e+004	5,762e+004	159,4	169,5	10,10	10,60	169,4	98,26	1,908	39,65	96,35	75,99	4,309	361,4	102,4	0,4766	1,047e+004	5903	-4802	4265	-5377	2,456	68,20	155,6	10,13	1,553e+004	1706	0,8902	11,71
19	1,039e+004	5,613e+004	155,3	169,5	14,25	14,93	157,5	93,65	2,141	37,00	91,51	77,34	3,509	361,4	126,6	0,4981	1,100e+004	4679	-4569	4227	-3161	2,586	64,31	122,7	14,50	1,243e+004	2035	0,8363	12,04
20	1,161e+004	5,725e+004	159,3	169,9	10,56	10,96	169,8	94,29	2,025	37,39	92,26	77,51	3,564	359,3	121,4	0,4864	1,032e+004	5055	-4474	4022	-3974	2,565	63,78	131,2	10,78	1,333e+004	1717	0,8712	11,89
