	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	1,607e+004	6,009e+004	223,3	264,9	41,61	42,02	227,0	80,93	0,8962	29,04	80,03	66,83	2,935	269,1	84,30	0,2992	5,513e+004	4960	-3578	3615	-6049	1,006	50,47	264,9	49,18	1,640e+004	335,7	0,9795	11,44
3	1,526e+004	5,855e+004	216,6	253,6	36,98	37,31	225,3	78,10	0,7799	27,58	77,32	63,19	2,689	270,3	85,45	0,2917	3,786e+004	4591	-3599	3674	-6359	0,9510	46,17	253,5	41,05	1,543e+004	167,3	0,9892	11,70
4	1,375e+004	5,463e+004	203,0	240,0	36,97	37,47	215,7	74,83	0,6157	25,94	74,22	60,16	2,388	269,1	85,11	0,2963	4,055e+004	4194	-3434	3544	-6264	0,7936	44,64	238,6	40,05	1,381e+004	68,65	0,9950	11,54
5	1,267e+004	5,226e+004	193,4	226,9	33,51	34,12	204,1	72,34	0,4789	24,85	71,86	57,05	2,285	270,3	85,70	0,2950	3,030e+004	3927	-3516	3430	-6170	0,6568	39,54	225,6	36,38	1,275e+004	86,48	0,9932	11,31
6	1,149e+004	4,983e+004	185,2	216,7	31,49	32,25	190,4	68,75	0,2737	23,22	68,48	54,42	2,059	269,1	86,65	0,2939	3,269e+004	3523	-3339	3157	-5942	0,4447	41,16	213,7	34,14	1,147e+004	-17,27	1,002	11,14
7	9419	5,477e+004	169,8	201,5	31,72	32,51	170,6	65,63	0,3968	26,11	65,23	51,61	1,669	322,6	91,69	0,3040	9,053e+004	3263	-3147	3314	-5702	0,4173	34,48	185,2	34,18	9403	-15,27	1,002	11,15
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	6746	3,675e+004	136,0	168,5	32,52	33,58	153,7	55,31	0,04789	18,18	55,26	44,65	1,580	270,3	82,67	0,3283	1,584e+004	2709	-2292	2866	-4637	0,2942	17,91	164,5	37,30	6808	61,80	0,9909	11,04
11	7143	3,957e+004	147,7	175,3	27,53	28,07	157,9	54,69	0,01368	17,86	54,68	42,90	1,683	267,9	87,17	0,2904	2,380e+004	2723	-2319	2809	-4757	0,3079	19,59	169,5	31,80	7238	94,81	0,9869	10,88
12	6262	3,700e+004	136,9	167,3	30,39	30,99	152,1	52,04	-0,08894	17,01	52,12	41,66	1,731	270,3	84,82	0,3043	2,338e+004	2566	-2018	2520	-4529	0,4310	16,93	161,4	36,64	6384	121,8	0,9809	10,95
13	6033	3,591e+004	134,1	164,1	30,07	30,98	150,5	50,09	-0,4378	15,97	50,53	40,77	1,272	267,9	84,89	0,3041	2,265e+004	2470	-1929	2379	-4436	-0,1163	18,13	157,9	33,81	6000	-32,90	1,005	10,56
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,048e+004	4,794e+004	174,6	207,9	33,28	33,93	184,7	65,27	0,2976	22,58	64,97	52,32	2,029	274,7	85,85	0,3007	3,727e+004	3493	-2917	3131	-5484	0,5186	32,90	203,5	37,45	1,057e+004	87,12	0,9924	11,17
Min	6033	3,591e+004	134,1	164,1	27,53	28,07	150,5	50,09	-0,4378	15,97	50,53	40,77	1,272	267,9	82,67	0,2904	1,584e+004	2470	-3599	2379	-6359	-0,1163	16,93	157,9	31,80	6000	-32,90	0,9795	10,56
Max	1,607e+004	6,009e+004	223,3	264,9	41,61	42,02	227,0	80,93	0,8962	29,04	80,03	66,83	2,935	322,6	91,69	0,3283	9,053e+004	4960	-1929	3674	-4436	1,006	50,47	264,9	49,18	1,640e+004	335,7	1,005	11,70
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
