	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,811e+004	1,484e+005	380,9	644,3	263,4	325,2	521,1	115,4	-2,182	54,72	117,6	110,5	2,442	389,6	69,29	0,2902	1,676e+006	8600	-8730	1,792e+004	-1,813e+004	91,97	84,01	549,6	283,2	4,145e+004	1,334e+004	0,6781	9,873
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	2,510e+004	1,231e+005	328,4	576,8	248,5	289,4	476,9	106,8	-3,174	44,65	110,0	92,82	-1,375	375,0	66,93	0,2827	1,006e+006	7348	-8223	1,067e+004	-1,052e+004	94,28	72,31	490,6	260,1	3,660e+004	1,150e+004	0,6858	8,964
5	2,403e+004	1,193e+005	316,1	547,6	231,5	276,6	454,3	103,9	-3,393	42,67	107,3	90,13	-1,553	377,4	66,19	0,2851	8,682e+005	6923	-8271	9705	-1,125e+004	89,46	67,03	477,6	250,0	3,450e+004	1,047e+004	0,6964	8,747
6	2,145e+004	1,100e+005	291,4	514,1	222,7	264,9	404,9	100,1	-3,605	40,00	103,7	86,25	-1,875	377,4	64,19	0,2960	6,358e+005	6274	-7498	7682	-8102	82,77	66,43	453,9	237,8	3,109e+004	9650	0,6897	8,753
7	2,059e+004	1,019e+005	270,1	486,6	216,5	240,9	356,5	96,94	-3,831	37,97	100,8	83,66	-2,162	377,4	61,61	0,3097	4,181e+005	5863	-7683	7724	-8834	0,3147	62,13	438,4	217,8	2,996e+004	9370	0,6873	8,741
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	1,368e+004	8,766e+004	232,3	432,4	200,1	225,7	278,6	89,58	-3,954	33,75	93,54	77,79	-2,682	377,4	61,89	0,3349	4,225e+005	4933	-6356	6717	-8610	14,07	56,30	375,4	203,4	2,174e+004	8052	0,6296	8,861
10	1,043e+004	7,527e+004	199,5	392,7	193,2	217,2	256,4	85,55	-3,961	31,66	89,51	73,67	-2,853	377,4	59,47	0,3693	4,455e+005	4467	-5671	6496	-6226	66,09	53,70	335,4	195,3	1,787e+004	7440	0,5836	8,995
11	8171	6,957e+004	184,4	369,3	185,0	221,5	251,4	82,41	-4,002	30,17	86,41	71,96	-2,928	377,4	62,61	0,3903	4,644e+005	4214	-5569	7346	-6567	57,63	45,24	294,4	187,9	1,483e+004	6657	0,5510	9,033
12	5901	5,933e+004	157,2	345,3	188,1	217,8	244,1	78,42	-3,954	28,31	82,38	70,32	-3,051	377,4	58,84	0,4473	4,536e+005	3831	-4974	6705	-5751	61,41	44,08	267,2	188,3	1,253e+004	6632	0,4708	9,144
13	4872	5,687e+004	150,7	331,2	180,4	215,9	233,0	75,91	-3,982	27,28	79,89	65,86	-3,099	377,4	60,35	0,4370	6,323e+005	3681	-4679	9551	-5311	66,20	44,96	249,7	183,9	1,092e+004	6044	0,4463	9,065
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,623e+004	9,514e+004	251,1	464,0	213,0	249,5	347,7	93,50	-3,604	37,12	97,10	82,30	-1,914	378,3	63,14	0,3442	7,022e+005	5613	-6765	9051	-8931	62,42	59,62	393,2	220,8	2,515e+004	8916	0,6119	9,018
Min	4872	5,687e+004	150,7	331,2	180,4	215,9	233,0	75,91	-4,002	27,28	79,89	65,86	-3,099	375,0	58,84	0,2827	4,181e+005	3681	-8730	6496	-1,813e+004	0,3147	44,08	249,7	183,9	1,092e+004	6044	0,4463	8,741
Max	2,811e+004	1,484e+005	380,9	644,3	263,4	325,2	521,1	115,4	-2,182	54,72	117,6	110,5	2,442	389,6	69,29	0,4473	1,676e+006	8600	-4679	1,792e+004	-5311	94,28	84,01	549,6	283,2	4,145e+004	1,334e+004	0,6964	9,873
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
