	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	1,242e+004	6,572e+004	250,8	504,8	254,0	275,2	478,4	61,50	1,081	32,60	60,42	60,16	3,311	262,0	52,39	0,2398	1,365e+005	2559	-2169	2575	-5610	53,04	37,26	478,8	256,0	2,122e+004	8802	0,5852	23,43
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	1,140e+004	4,331e+004	239,7	423,1	183,4	195,7	417,2	56,27	-0,02736	21,13	56,30	54,81	2,976	180,7	59,32	0,2287	1,057e+005	2244	-1881	2474	-4735	42,73	27,32	404,0	185,2	1,637e+004	4971	0,6963	23,90
4	7275	3,056e+004	167,1	351,3	184,2	190,5	318,1	50,63	-0,3557	17,46	50,99	48,77	1,649	182,9	47,76	0,2919	3,177e+004	1998	-1799	1834	-3587	9,413	30,77	349,8	185,0	1,224e+004	4962	0,5945	21,91
5	6275	2,946e+004	159,1	310,8	151,7	153,4	281,6	47,84	-0,5404	16,35	48,38	45,12	1,245	185,2	51,19	0,2837	4,569e+004	1840	-1717	1540	-3731	29,66	28,39	310,8	156,0	9999	3723	0,6276	22,15
6	4857	2,642e+004	144,9	280,4	135,5	136,5	258,4	44,30	-0,6636	14,39	44,96	40,93	0,8825	182,4	52,81	0,2825	5,683e+004	1601	-1594	2284	-3329	24,88	25,97	274,4	144,2	8107	3250	0,5992	21,52
7	4408	2,557e+004	139,8	264,7	124,9	126,1	251,5	42,34	-0,7320	13,72	43,07	39,21	0,7799	182,9	53,99	0,2806	5,273e+004	1532	-1389	2103	-2939	24,07	26,25	258,9	133,8	7201	2793	0,6121	21,39
8	3530	2,291e+004	125,2	244,5	119,3	121,1	227,7	40,27	-0,7730	12,90	41,04	37,27	0,6773	182,9	53,46	0,2976	4,267e+004	1409	-1252	2003	-2596	20,99	22,40	234,2	124,6	6005	2475	0,5878	21,18
9	3430	2,345e+004	129,0	245,0	116,0	116,4	224,3	39,04	-0,8004	12,39	39,84	35,90	0,6841	181,8	56,18	0,2783	3,666e+004	1368	-1184	1825	-2982	18,98	20,08	229,6	120,3	5671	2241	0,6049	21,05
10	3051	2,169e+004	119,3	231,1	111,7	112,5	215,8	38,07	-0,8004	12,06	38,87	34,94	0,5883	181,8	54,41	0,2928	2,751e+004	1300	-1204	1503	-2535	14,67	18,01	219,3	117,7	5114	2062	0,5967	21,10
11	2459	1,769e+004	99,63	209,5	109,9	111,4	202,2	37,17	-0,7799	11,50	37,95	34,01	0,5610	177,5	52,57	0,3413	1,801e+004	1252	-1142	1150	-2212	15,34	19,15	189,5	112,2	4176	1718	0,5887	21,30
12	2160	2,129e+004	91,19	199,7	108,5	109,0	194,0	36,53	-0,4789	15,05	37,01	33,25	0,6089	233,5	50,73	0,3647	1,425e+004	1259	-1033	928,1	-1927	15,02	17,45	179,8	110,0	3763	1603	0,5739	21,39
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	1743	1,225e+004	91,67	201,9	110,2	118,0	192,0	33,28	-0,5404	7,445	33,82	31,22	0,7183	133,6	52,41	0,3406	2,665e+004	1019	-1074	1535	-1439	16,42	20,71	174,9	112,7	3546	1803	0,4915	21,25
15	2589	1,593e+004	92,69	196,7	104,0	104,7	191,1	37,57	-0,8483	12,37	38,42	35,31	1,197	171,9	51,02	0,3809	9198	1279	-1019	813,1	-2181	4,474	19,01	181,7	104,2	3908	1319	0,6625	22,38
16	1775	1,303e+004	73,38	176,9	103,5	106,0	174,3	34,56	-0,8415	10,70	35,40	31,52	0,5062	177,5	43,02	0,4295	1,042e+004	1136	-1040	806,5	-1687	6,314	17,40	170,6	106,4	3197	1421	0,5554	21,05
17	1650	1,228e+004	68,96	172,8	103,9	104,2	165,8	34,20	-0,8141	10,68	35,01	31,48	0,4720	178,0	42,67	0,4565	1,101e+004	1122	-1019	780,0	-1610	13,84	18,56	161,6	105,0	2991	1341	0,5517	21,36
18	1315	1,072e+004	59,31	161,7	102,4	102,6	153,8	33,40	-0,7799	10,55	34,18	31,01	0,4926	180,7	39,05	0,5228	1,174e+004	1074	-964,6	852,4	-1197	0,3557	18,04	151,9	105,3	2637	1322	0,4987	21,48
19	1315	1,043e+004	58,42	160,2	101,8	103,2	152,4	32,83	-0,7457	10,22	33,58	30,77	0,4584	178,6	38,29	0,5267	1,146e+004	1074	-950,9	778,1	-1121	0,4584	15,95	152,6	102,8	2589	1274	0,5080	21,33
20	1211	9969	55,16	156,8	101,6	103,2	151,9	32,41	-0,7730	10,21	33,19	30,39	0,5404	180,7	37,27	0,5510	8908	1033	-957,8	764,9	-1167	-0,4720	18,40	148,0	103,8	2484	1273	0,4875	21,20
21	1375	1,133e+004	63,05	163,1	100,0	107,9	156,3	31,97	-0,7730	9,980	32,74	30,90	0,4789	179,6	40,64	0,4901	9794	1026	-937,2	746,7	-1421	8,893	17,83	155,2	103,5	2664	1289	0,5161	21,23
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	3907	2,232e+004	117,3	245,0	127,7	131,4	231,9	40,22	-0,5783	13,77	40,80	37,74	0,9909	185,0	48,90	0,3621	3,514e+004	1428	-1280	1437	-2526	16,79	22,05	232,9	131,0	6520	2613	0,5757	21,66
Min	1211	9969	55,16	156,8	100,0	102,6	151,9	31,97	-0,8483	7,445	32,74	30,39	0,4584	133,6	37,27	0,2287	8908	1019	-2169	746,7	-5610	-0,4720	15,95	148,0	102,8	2484	1273	0,4875	21,05
Max	1,242e+004	6,572e+004	250,8	504,8	254,0	275,2	478,4	61,50	1,081	32,60	60,42	60,16	3,311	262,0	59,32	0,5510	1,365e+005	2559	-937,2	2575	-1121	53,04	37,26	478,8	256,0	2,122e+004	8802	0,6963	23,90
Count	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
