	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	1,954e+004	7,966e+004	191,2	287,5	96,35	100,6	273,3	110,6	-0,1163	46,88	110,7	94,02	2,312	416,7	66,81	0,4918	3,995e+004	1,105e+004	-8242	4527	-5956	0,2462	81,01	286,1	97,30	2,688e+004	7339	0,7270	7,918
8	1,891e+004	7,963e+004	191,1	273,5	82,35	86,14	259,9	108,3	-1,525	44,06	109,8	89,27	1,573	416,7	70,97	0,4671	4,358e+004	1,142e+004	-7804	4018	-6103	-0,9781	72,58	269,3	83,54	2,521e+004	6298	0,7502	7,787
9	1,555e+004	6,825e+004	163,8	242,7	78,87	83,02	239,3	104,1	-0,8687	41,26	104,9	86,66	0,8482	416,7	68,77	0,5290	3,732e+004	1,015e+004	-7100	3728	-5719	-0,4856	69,77	238,2	80,01	2,151e+004	5959	0,7230	7,957
10	1,487e+004	6,578e+004	159,0	229,8	70,78	74,01	224,5	102,8	-1,183	39,56	104,0	84,65	0,8482	413,8	70,08	0,5325	4,971e+004	1,019e+004	-6423	3480	-5811	-0,8071	68,22	226,8	74,37	2,049e+004	5615	0,7260	8,181
11	1,243e+004	5,988e+004	143,7	212,9	69,17	72,25	210,9	98,54	-1,464	37,11	100,0	80,20	0,8345	416,7	70,60	0,5580	3,744e+004	8967	-5937	3450	-4731	-1,067	65,00	203,6	72,10	1,758e+004	5145	0,7073	8,075
12	1,239e+004	6,137e+004	147,3	209,0	61,73	63,94	205,2	97,92	-1,607	36,22	99,53	76,89	0,5404	416,7	74,49	0,5220	4,269e+004	8892	-5575	3092	-4866	-1,327	63,23	197,7	65,41	1,713e+004	4743	0,7231	7,930
13	1,098e+004	5,779e+004	138,7	199,0	60,28	63,42	195,9	94,49	-1,765	34,39	96,26	75,70	0,2736	416,7	74,81	0,5457	4,773e+004	7969	-5068	3095	-4559	-1,395	61,35	185,4	64,67	1,561e+004	4632	0,7033	7,884
14	1,106e+004	5,861e+004	140,7	197,8	57,09	59,04	194,3	94,42	-2,107	33,85	96,53	73,63	0,09576	416,7	77,04	0,5234	4,728e+004	7866	-4986	3270	-4637	-1,724	60,57	182,6	62,86	1,542e+004	4364	0,7171	7,722
