	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,942e+004	8,738e+004	215,5	360,8	145,3	150,6	285,0	165,7	10,13	91,00	155,5	157,8	14,20	405,4	60,00	0,7321	2,083e+005	1,319e+004	-9253	7106	-4536	13,92	108,0	359,2	146,2	4,314e+004	1,373e+004	0,6818	12,61
3	3,120e+004	9,364e+004	229,4	367,4	138,0	141,7	288,2	163,4	9,772	89,79	153,6	155,2	14,30	408,2	62,70	0,6763	1,850e+005	1,337e+004	-9923	7117	-5034	14,30	111,2	365,9	138,5	4,408e+004	1,288e+004	0,7078	12,23
4	2,926e+004	9,066e+004	223,6	359,8	136,2	144,1	268,7	158,7	9,321	84,74	149,4	153,4	13,17	405,4	62,86	0,6860	2,949e+005	1,311e+004	-1,048e+004	5850	-5086	13,17	108,4	355,7	136,3	4,143e+004	1,217e+004	0,7063	11,59
5	2,933e+004	8,994e+004	221,9	343,7	121,8	128,1	271,5	155,6	8,979	81,94	146,6	146,6	12,72	405,4	64,66	0,6607	1,701e+005	1,314e+004	-1,049e+004	5458	-4789	13,61	110,6	343,1	121,8	4,030e+004	1,097e+004	0,7277	11,34
6	2,824e+004	9,005e+004	222,1	336,3	114,2	122,3	265,0	150,5	8,493	77,70	142,0	142,4	12,22	405,4	66,34	0,6410	2,218e+005	1,286e+004	-1,085e+004	4848	-4824	12,22	108,8	334,8	114,3	3,846e+004	1,023e+004	0,7341	11,19
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2,475e+004	8,710e+004	213,4	323,6	110,2	120,5	248,0	140,3	7,242	67,83	133,0	130,3	10,80	408,2	67,41	0,6106	2,977e+005	1,245e+004	-1,033e+004	4456	-5690	27,49	103,2	316,6	111,0	3,337e+004	8619	0,7417	10,68
10	2,273e+004	8,029e+004	198,1	311,8	113,8	124,4	242,9	137,3	6,832	64,24	130,4	123,5	10,27	405,4	64,90	0,6238	2,056e+005	1,190e+004	-1,004e+004	4425	-4835	16,25	91,86	305,2	114,8	3,103e+004	8303	0,7325	10,54
11	2,280e+004	8,392e+004	205,6	314,4	108,8	120,9	242,9	135,2	6,483	62,45	128,7	120,9	9,971	408,2	66,62	0,5878	2,647e+005	1,196e+004	-9834	4299	-4910	25,29	97,69	308,6	111,2	3,072e+004	7927	0,7420	10,56
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	1,952e+004	7,778e+004	190,6	299,9	109,4	116,6	233,0	130,7	5,888	58,39	124,8	114,6	9,300	408,2	66,36	0,6014	3,206e+005	1,143e+004	-9102	3708	-5489	69,76	92,01	287,2	109,4	2,733e+004	7803	0,7145	10,28
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	1,865e+004	7,607e+004	186,4	286,1	99,71	103,0	213,7	126,9	5,546	55,24	121,3	108,8	8,726	408,2	68,01	0,5835	2,990e+005	1,078e+004	-8521	4080	-6363	32,15	85,17	274,1	100,4	2,581e+004	7160	0,7225	10,13
16	1,749e+004	7,177e+004	177,0	272,7	95,66	101,2	207,6	124,4	5,307	53,16	119,1	106,1	8,240	405,4	67,64	0,5990	2,453e+005	1,039e+004	-8131	3329	-5946	19,31	84,82	261,7	95,81	2,412e+004	6632	0,7251	10,07
17	1,832e+004	7,252e+004	178,9	270,1	91,18	95,58	208,4	122,9	5,184	52,00	117,7	104,1	8,083	405,4	66,88	0,5821	1,651e+005	1,027e+004	-7981	3947	-5537	19,82	87,04	267,5	91,90	2,464e+004	6318	0,7435	9,967
18	1,739e+004	7,136e+004	174,8	263,6	88,74	91,76	201,3	120,4	5,040	50,70	115,4	102,0	8,028	408,2	67,11	0,5835	1,519e+005	9841	-7775	4157	-5995	15,76	85,82	260,5	90,40	2,367e+004	6278	0,7348	9,901
19	1,695e+004	6,951e+004	171,5	254,6	83,10	87,32	194,1	118,8	4,801	49,24	114,0	99,87	7,604	405,4	68,06	0,5825	1,483e+005	9629	-7324	3728	-5525	16,06	87,22	251,9	83,81	2,262e+004	5677	0,7491	9,883
20	1,560e+004	6,448e+004	159,1	242,5	83,42	87,89	190,8	116,3	4,678	47,82	111,6	98,09	7,420	405,4	66,02	0,6167	1,063e+005	9157	-7304	3409	-5375	14,36	85,32	240,9	84,19	2,114e+004	5544	0,7378	9,862
21	1,527e+004	6,531e+004	160,0	238,9	78,94	81,62	186,2	114,9	4,527	47,08	110,3	96,19	7,386	408,2	67,92	0,6012	1,214e+005	9054	-6982	3458	-5689	12,98	78,40	235,6	81,39	2,071e+004	5447	0,7370	9,793
22	1,392e+004	6,043e+004	148,0	223,9	75,86	80,53	179,9	112,4	4,349	45,73	108,0	94,68	6,873	408,2	66,92	0,6395	1,027e+005	8603	-6763	2714	-5318	15,12	76,86	221,2	76,82	1,898e+004	5067	0,7331	9,765
23	1,380e+004	5,854e+004	144,4	219,1	74,68	78,60	178,5	111,0	4,247	44,63	106,8	92,99	6,517	405,4	66,26	0,6440	7,291e+004	8500	-6633	2550	-5455	13,75	78,64	217,9	75,64	1,860e+004	4792	0,7423	9,695
24	1,328e+004	5,833e+004	143,9	214,2	70,28	73,20	173,9	109,0	4,301	43,64	104,7	90,38	6,524	405,4	67,50	0,6282	7,275e+004	8131	-6291	2675	-5130	4,534	77,83	213,2	72,67	1,798e+004	4696	0,7388	9,799
25	1,304e+004	5,797e+004	142,0	209,4	67,43	72,33	175,4	108,0	4,144	43,13	103,8	88,55	6,544	408,2	67,99	0,6235	7,029e+004	7960	-6086	2366	-5055	4,322	72,63	208,9	68,70	1,739e+004	4357	0,7495	9,760
26	1,236e+004	5,424e+004	133,8	203,4	69,66	74,48	174,4	105,9	4,192	41,83	101,7	87,44	6,203	405,4	65,81	0,6536	4,449e+004	7570	-5997	2387	-4869	4,308	72,19	203,3	70,13	1,658e+004	4224	0,7453	9,870
27	1,258e+004	5,668e+004	138,9	205,4	66,58	71,96	174,0	104,9	4,048	41,36	100,8	87,27	6,244	408,2	67,72	0,6285	5,860e+004	7488	-5580	2902	-5546	4,178	75,31	205,0	67,53	1,668e+004	4097	0,7543	9,765
28	1,192e+004	5,461e+004	134,7	198,3	63,64	68,97	171,1	102,7	4,042	40,13	98,68	84,51	5,922	405,4	68,16	0,6274	3,948e+004	7092	-5546	2840	-5898	4,103	67,37	197,6	65,22	1,588e+004	3961	0,7506	9,901
29	1,184e+004	5,487e+004	134,4	195,9	61,52	68,61	173,3	101,6	3,884	39,55	97,72	82,40	5,977	408,2	68,76	0,6130	4,092e+004	7071	-5402	2842	-5467	3,884	70,41	195,5	62,62	1,550e+004	3660	0,7639	9,794
30	1,164e+004	5,374e+004	132,6	195,1	62,50	70,15	173,3	99,44	3,884	38,42	95,55	83,22	5,587	405,4	67,96	0,6278	2,269e+004	6654	-5061	3143	-5741	3,918	70,32	195,1	63,24	1,532e+004	3674	0,7601	9,985
31	1,147e+004	5,497e+004	134,7	195,0	60,31	67,45	170,1	98,49	3,877	38,08	94,61	81,49	5,703	408,2	69,11	0,6051	4,118e+004	6627	-5081	3143	-5731	3,918	66,94	194,9	61,97	1,506e+004	3589	0,7617	9,959
32	1,080e+004	5,265e+004	129,9	187,9	58,05	65,38	168,8	96,52	3,891	37,04	92,63	78,86	5,450	405,4	69,18	0,6071	3,215e+004	6332	-4862	2704	-5465	3,898	66,89	187,7	60,12	1,424e+004	3440	0,7585	10,26
33	1,098e+004	5,397e+004	132,2	189,1	56,90	65,32	174,2	95,71	3,830	36,68	91,88	76,85	5,614	408,2	70,02	0,5812	2,521e+004	6312	-4589	2910	-5403	3,850	64,65	188,8	58,18	1,424e+004	3260	0,7711	10,23
34	1,065e+004	5,292e+004	129,7	187,5	57,86	64,52	173,3	93,85	3,884	35,99	89,97	76,10	5,416	408,2	69,30	0,5869	2,093e+004	5970	-4589	2851	-5308	3,918	65,44	187,1	59,36	1,393e+004	3283	0,7643	10,69
35	1,071e+004	5,436e+004	133,2	187,4	54,18	62,22	171,7	93,10	3,843	35,42	89,26	75,87	5,320	408,2	71,12	0,5697	2,828e+004	5950	-4342	3169	-5589	3,871	63,53	187,3	56,75	1,388e+004	3168	0,7718	10,53
36	1,003e+004	5,195e+004	128,1	181,3	53,20	61,46	172,8	91,36	3,850	34,66	87,51	73,57	5,102	405,4	71,44	0,5741	2,125e+004	5669	-4336	3107	-5213	3,850	58,91	179,4	55,35	1,311e+004	3083	0,7649	10,89
37	1,009e+004	5,297e+004	129,8	182,4	52,58	62,30	175,1	90,81	3,816	34,44	86,99	73,79	5,341	408,2	72,55	0,5685	1,754e+004	5628	-4226	2922	-5149	3,836	57,48	178,9	54,54	1,305e+004	2963	0,7730	10,86
38	9835	5,288e+004	129,6	182,2	52,63	61,45	171,7	89,35	3,775	34,02	85,58	73,97	5,115	408,2	73,33	0,5709	1,652e+004	5498	-4069	3113	-5055	3,802	58,84	176,7	54,21	1,281e+004	2976	0,7677	11,11
39	9677	5,236e+004	128,3	178,2	49,93	58,47	169,8	88,91	3,775	33,69	85,13	70,78	5,019	408,2	73,46	0,5517	2,506e+004	5443	-3994	3228	-5192	3,802	57,96	174,6	53,17	1,254e+004	2858	0,7720	11,13
40	9042	5,107e+004	125,1	174,7	49,58	57,13	172,3	87,66	3,850	33,37	83,81	67,50	4,951	408,2	75,20	0,5395	2,233e+004	5252	-3960	3127	-4623	3,864	59,82	166,4	52,19	1,184e+004	2796	0,7638	11,38
