	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,085e+004	8,464e+004	289,2	308,9	19,72	19,72	308,9	93,62	0,3558	38,06	93,26	80,97	3,133	292,7	109,8	0,2800	9,083e+004	6711	-5542	7161	-4882	0,3558	52,30	263,4	30,31	2,205e+004	1195	0,9458	11,30
3	2,035e+004	8,229e+004	281,2	300,9	19,73	19,85	300,9	92,47	0,3352	36,98	92,14	79,73	2,887	292,7	110,0	0,2836	6,792e+004	6609	-5473	7005	-5191	0,3489	55,78	255,7	26,87	2,132e+004	963,2	0,9548	11,61
4	1,974e+004	7,960e+004	273,3	288,1	14,80	14,81	288,1	91,18	0,2121	35,55	90,97	76,87	2,579	291,3	109,4	0,2813	6,989e+004	6472	-5562	6224	-5073	0,2326	52,71	249,8	22,08	2,071e+004	969,4	0,9532	11,78
5	1,895e+004	7,581e+004	260,3	273,4	13,08	13,09	273,4	89,00	0,1368	33,95	88,86	73,31	2,258	291,3	107,7	0,2817	5,291e+004	6171	-5022	6269	-5298	0,1368	51,48	241,7	18,69	1,964e+004	696,2	0,9646	11,98
6	1,764e+004	7,297e+004	250,5	257,9	7,349	7,349	257,9	86,77	0,05473	32,36	86,71	69,99	2,087	291,3	109,4	0,2794	5,401e+004	5856	-4816	5617	-5202	0,1163	48,36	229,0	14,05	1,841e+004	770,4	0,9581	11,84
7	1,671e+004	7,171e+004	246,2	249,3	3,119	3,122	249,3	83,75	-0,1095	30,59	83,85	66,95	1,916	291,3	112,0	0,2719	4,528e+004	5562	-4248	5609	-5289	-0,006841	45,74	219,7	9,799	1,733e+004	618,9	0,9643	11,75
8	1,550e+004	6,978e+004	239,6	239,9	0,2961	0,2961	239,9	80,73	-0,1984	28,96	80,93	62,50	1,669	291,3	115,2	0,2609	3,066e+004	5158	-3961	5396	-5281	-0,1505	42,30	208,0	5,030	1,596e+004	460,6	0,9711	11,49
9	1,421e+004	6,631e+004	228,8	229,0	0,1914	0,1914	228,9	76,79	-0,3763	26,92	77,16	59,77	1,341	289,9	115,8	0,2612	1,818e+004	4734	-3770	5186	-5187	-0,2531	40,36	197,6	3,127	1,448e+004	261,3	0,9820	11,16
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
