	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,421e+004	1,107e+005	306,3	460,3	154,0	191,2	376,0	116,9	-2,422	53,44	119,3	102,2	-0,05473	361,4	81,68	0,3337	1,122e+006	8196	-8627	1,099e+004	-1,273e+004	102,1	82,94	375,0	174,3	3,028e+004	6067	0,7996	10,02
2	2,462e+004	1,049e+005	291,9	431,9	139,9	173,0	352,6	113,3	-2,784	49,26	116,1	98,14	-0,7457	359,3	79,02	0,3362	1,032e+006	7635	-8764	9971	-1,207e+004	103,5	74,92	369,4	157,2	2,953e+004	4917	0,8335	9,760
3	2,456e+004	1,030e+005	283,4	406,7	123,3	151,1	329,8	109,9	-3,031	46,78	112,9	92,56	-0,8757	363,6	79,30	0,3266	6,355e+005	7245	-8367	7018	-6292	90,55	70,53	357,3	139,1	2,771e+004	3143	0,8866	9,507
4	2,275e+004	9,669e+004	269,1	386,0	116,9	137,2	302,1	105,6	-3,339	42,79	108,9	89,37	-1,574	359,3	78,76	0,3321	4,762e+005	6581	-8305	4989	-7784	95,45	69,51	341,7	123,1	2,511e+004	2364	0,9058	9,514
5	2,044e+004	9,206e+004	253,2	367,8	114,6	128,1	252,8	102,1	-3,585	40,71	105,6	87,12	-1,724	363,6	79,04	0,3441	5,141e+005	6109	-8073	7559	-8343	5,706	71,99	320,3	116,5	2,245e+004	2013	0,9103	9,442
6	1,699e+004	8,166e+004	225,9	342,0	116,1	126,4	207,7	97,56	-3,729	37,58	101,3	84,26	-2,347	361,4	75,87	0,3730	3,933e+005	5487	-7033	7493	-8767	0,3694	64,38	297,8	116,4	1,903e+004	2045	0,8926	9,541
7	1,437e+004	7,540e+004	209,9	317,5	107,7	119,4	187,6	94,21	-3,776	35,44	97,98	81,56	-2,497	359,3	74,28	0,3887	3,194e+005	5158	-7040	7167	-8454	19,07	65,49	282,5	110,4	1,592e+004	1555	0,9023	9,559
8	1,093e+004	7,045e+004	193,7	299,8	106,1	125,3	173,4	89,85	-3,817	33,51	93,67	79,13	-2,552	363,6	79,22	0,4084	4,935e+005	4618	-6157	6839	-7496	13,74	58,54	244,6	107,5	1,239e+004	1459	0,8822	9,682
9	9382	6,194e+004	171,4	275,6	104,2	116,5	165,8	86,99	-3,961	31,83	90,95	75,48	-2,901	361,4	74,96	0,4405	3,648e+005	4406	-5767	5667	-6984	34,57	51,73	228,6	104,2	1,063e+004	1252	0,8822	9,621
10	7333	5,120e+004	141,7	244,0	102,3	116,1	159,8	82,62	-3,865	29,73	86,48	70,63	-2,942	361,4	68,83	0,4986	2,343e+005	3989	-5008	5059	-6420	30,66	46,03	205,8	105,0	8556	1223	0,8570	9,790
11	6367	4,867e+004	134,7	232,6	97,94	113,3	151,7	79,91	-3,913	28,54	83,82	70,43	-2,949	361,4	70,37	0,5230	2,590e+005	3817	-4960	4421	-5758	58,60	47,67	191,4	98,50	7345	978,5	0,8668	9,757
12	4926	4,036e+004	111,0	206,9	95,91	109,4	141,9	75,88	-3,879	26,91	79,76	62,26	-3,127	363,6	63,70	0,5609	2,744e+005	3530	-4399	4914	-4214	55,83	45,95	174,2	96,13	5847	921,7	0,8424	9,935
13	4835	3,905e+004	108,7	203,5	94,80	106,4	139,2	74,26	-3,872	26,02	78,14	63,31	-3,215	359,3	63,66	0,5825	1,933e+005	3482	-4310	3712	-4350	49,68	42,92	170,7	94,89	5630	794,9	0,8588	9,692
14	3753	3,501e+004	97,43	192,8	95,36	111,5	139,4	71,20	-3,900	24,71	75,10	63,53	-3,079	359,3	64,48	0,6520	2,412e+005	3236	-3982	4138	-3896	58,30	39,79	151,1	95,49	4629	875,9	0,8108	9,839
15	3837	3,568e+004	96,93	189,2	92,26	109,8	134,3	69,97	-3,934	24,95	73,90	62,06	-2,914	368,1	64,26	0,6403	2,515e+005	3202	-3797	4548	-3767	51,54	40,00	150,8	92,43	4534	697,2	0,8462	9,740
16	2976	2,650e+004	75,09	170,1	94,98	108,9	128,5	66,80	-3,941	22,49	70,74	58,25	-3,544	352,9	52,78	0,7758	1,255e+005	2997	-3434	2444	-2947	44,96	36,26	142,3	95,09	3776	800,2	0,7881	9,899
