	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	3,654e+004	1,127e+005	296,7	399,7	103,0	104,3	347,4	150,7	-0,5335	75,13	151,2	146,4	2,702	379,7	78,73	0,4934	5,284e+005	1,388e+004	-1,144e+004	9053	-9061	0,08892	111,2	376,9	107,6	5,049e+004	1,395e+004	0,7237	9,090
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	3,854e+004	1,113e+005	294,9	390,9	96,05	98,72	367,7	149,1	-0,1300	72,39	149,2	143,6	-0,1300	377,4	78,45	0,4870	4,522e+005	1,368e+004	-1,179e+004	5604	-9018	1,156	97,89	375,9	96,58	5,105e+004	1,251e+004	0,7550	8,810
4	3,073e+004	1,028e+005	270,8	364,1	93,31	95,37	274,3	147,4	0,3625	71,50	147,1	143,8	1,710	379,7	81,45	0,5312	7,551e+005	1,372e+004	-1,127e+004	6092	-8932	107,0	107,0	332,4	95,67	4,301e+004	1,228e+004	0,7145	8,849
5	3,489e+004	1,035e+005	274,2	363,8	89,59	91,25	301,6	144,6	-0,2599	68,18	144,8	140,6	0,9644	377,4	77,45	0,5129	3,814e+005	1,363e+004	-1,098e+004	6155	-9089	0,1026	104,9	354,0	90,82	4,633e+004	1,143e+004	0,7532	8,701
6	3,094e+004	9,272e+004	244,2	322,2	78,03	81,88	277,7	140,2	-2,722	63,22	142,9	132,1	0,2462	379,7	78,65	0,5411	3,190e+005	1,328e+004	-1,044e+004	4653	-9280	-2,442	101,4	310,4	78,04	4,020e+004	9255	0,7698	8,576
7	2,744e+004	1,292e+005	230,3	295,6	65,22	69,84	249,1	135,4	-1,956	87,68	137,3	126,9	-1,956	560,7	82,06	0,5507	3,703e+005	1,293e+004	-9706	3596	-8729	83,52	96,45	280,7	65,22	3,573e+004	8293	0,7679	8,586
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	1,551e+004	5,866e+004	154,5	203,2	48,78	51,78	163,9	124,0	-2,093	49,10	126,0	113,9	-0,9234	379,7	85,36	0,7376	3,820e+005	1,104e+004	-7120	3965	-6307	-1,847	91,84	180,9	48,93	2,165e+004	6145	0,7162	9,145
11	1,768e+004	7,087e+004	185,4	232,0	46,55	49,93	176,1	121,7	-2,415	49,17	124,1	109,1	-0,8755	382,2	91,21	0,5884	5,025e+005	1,168e+004	-7141	4318	-7646	113,3	94,13	203,3	46,55	2,358e+004	5907	0,7495	9,003
12	1,702e+004	6,425e+004	168,1	211,7	43,53	47,39	174,3	119,3	-2,572	47,05	121,9	108,0	-1,286	382,2	86,61	0,6424	3,228e+005	1,101e+004	-6765	3685	-6718	-2,291	90,03	194,1	43,53	2,269e+004	5669	0,7502	8,959
13	1,643e+004	6,195e+004	163,1	204,8	41,64	44,88	170,3	117,0	-2,729	44,88	119,7	104,8	-1,819	379,7	85,69	0,6422	2,579e+005	1,065e+004	-6539	3664	-6893	-2,456	88,45	190,4	41,77	2,200e+004	5562	0,7472	8,907
14	1,577e+004	5,643e+004	148,6	188,3	39,70	42,34	174,5	114,4	-3,037	43,02	117,4	101,8	-1,778	379,7	81,78	0,6848	1,460e+005	1,005e+004	-6252	3626	-6442	-2,688	85,77	181,7	40,01	2,114e+004	5368	0,7461	8,707
15	1,460e+004	5,076e+004	133,7	171,7	38,09	40,79	169,1	111,8	-5,007	40,23	116,8	100,6	-2,107	379,7	78,35	0,7530	3,685e+004	9603	-6005	3157	-5682	-4,494	82,18	170,6	39,28	1,973e+004	5128	0,7401	8,465
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	1,121e+004	4,384e+004	115,5	154,2	38,72	42,58	154,2	108,6	-3,817	39,31	112,4	101,0	-2,114	379,7	80,72	0,8749	1,975e+004	9118	-5622	3035	-4318	-2,969	78,12	143,0	39,69	1,649e+004	5274	0,6801	8,327
18	1,078e+004	4,452e+004	116,5	153,1	36,66	39,72	153,0	105,6	-3,906	37,72	109,5	96,15	-2,264	382,2	84,57	0,8254	2,222e+004	8386	-5465	3116	-4022	-2,962	78,73	137,7	38,09	1,590e+004	5129	0,6775	8,484
