	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	3,534e+004	1,136e+005	304,7	495,7	190,9	192,3	478,6	145,5	-0,4720	71,46	146,0	144,0	1,389	372,7	65,73	0,4724	1,886e+005	1,194e+004	-9419	8797	-8618	-0,4720	108,3	463,6	197,5	4,423e+004	8882	0,7992	10,18
2	3,858e+004	1,222e+005	327,9	495,6	167,6	170,1	495,6	145,0	1,655	70,63	143,3	143,3	1,655	372,7	73,31	0,4369	1,178e+005	1,197e+004	-9637	8786	-9570	1,881	103,2	447,3	170,8	4,284e+004	4260	0,9006	10,59
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	2,735e+004	1,025e+005	275,1	453,0	177,9	179,4	394,8	138,1	-1,026	64,54	139,1	136,9	0,9918	372,7	69,81	0,4976	2,390e+005	1,156e+004	-9521	9658	-8709	-0,9508	99,49	394,0	181,8	3,275e+004	5399	0,8351	9,898
5	3,230e+004	1,059e+005	284,3	449,9	165,6	168,6	449,9	134,9	0,2599	61,75	134,6	132,7	0,2599	372,7	69,15	0,4669	7,589e+004	1,119e+004	-9665	6770	-7898	0,8687	96,95	411,1	167,1	3,569e+004	3386	0,9051	9,859
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	1,970e+004	9,324e+004	250,2	408,6	158,4	160,9	320,5	127,4	-3,030	54,08	130,5	123,9	0,07524	372,7	76,85	0,4951	2,182e+005	1,038e+004	-9535	8863	-7100	-2,223	90,38	325,6	161,5	2,179e+004	2093	0,9040	9,057
8	2,553e+004	9,304e+004	248,1	403,1	155,0	158,3	403,1	124,0	-1,204	52,29	125,2	119,3	-1,204	375,0	67,95	0,4809	1,070e+005	9952	-8912	5547	-7157	-0,006839	98,28	365,1	157,8	2,808e+004	2550	0,9092	9,548
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	1,150e+004	4,250e+004	113,3	268,8	155,4	158,5	266,3	111,1	-1,895	42,97	113,0	105,3	0,1231	375,0	42,21	0,9296	6,618e+004	7818	-6689	4112	-3330	-1,005	78,50	268,5	159,0	1,316e+004	1655	0,8742	9,149
13	1,029e+004	3,995e+004	105,9	259,0	153,2	157,6	251,7	107,7	-2,401	40,95	110,1	102,0	-0,3146	377,4	40,92	0,9634	6,294e+004	7339	-6170	3581	-3509	-1,737	80,44	258,7	155,6	1,170e+004	1410	0,8795	9,281
14	1,009e+004	5,247e+004	139,9	291,2	151,3	156,0	252,9	103,1	-4,542	37,52	107,6	97,91	-2,155	375,0	53,91	0,6997	6,852e+004	6751	-6026	4634	-3843	-3,550	80,03	259,6	154,8	1,152e+004	1432	0,8757	8,917
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	7478	3,701e+004	98,07	248,8	150,8	156,5	230,6	95,71	-4,049	34,60	99,76	90,89	-1,122	377,4	41,20	0,9268	6,318e+004	5677	-5027	3333	-3105	-3,550	60,62	238,0	155,2	8715	1237	0,8580	9,106
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	2,182e+004	8,024e+004	214,7	377,4	162,6	165,8	354,4	123,2	-1,670	53,08	124,9	119,6	-0,03009	374,3	60,10	0,6369	1,207e+005	9458	-8060	6408	-6284	-1,075	89,62	343,2	166,1	2,505e+004	3230	0,8741	9,559
Min	7478	3,701e+004	98,07	248,8	150,8	156,0	230,6	95,71	-4,542	34,60	99,76	90,89	-2,155	372,7	40,92	0,4369	6,294e+004	5677	-9665	3333	-9570	-3,550	60,62	238,0	154,8	8715	1237	0,7992	8,917
Max	3,858e+004	1,222e+005	327,9	495,7	190,9	192,3	495,6	145,5	1,655	71,46	146,0	144,0	1,655	377,4	76,85	0,9634	2,390e+005	1,197e+004	-5027	9658	-3105	1,881	108,3	463,6	197,5	4,423e+004	8882	0,9092	10,59
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
