	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	5,196e+004	1,738e+005	466,4	705,1	238,8	245,8	696,2	152,4	1,334	75,78	151,1	144,1	2,148	372,7	73,38	0,3090	1,179e+006	1,196e+004	-7790	1,246e+004	-1,312e+004	2,804	101,3	635,6	242,8	9,319e+004	4,123e+004	0,5576	10,01
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	4,455e+004	1,562e+005	421,6	622,3	200,7	203,4	622,3	149,4	0,6566	72,12	148,7	144,0	3,290	370,4	74,58	0,3415	6,152e+005	1,181e+004	-8036	1,101e+004	-1,455e+004	2,127	108,9	565,3	215,1	8,241e+004	3,786e+004	0,5406	10,12
4	4,316e+004	1,622e+005	432,6	608,6	176,0	177,4	608,6	147,0	-0,5472	70,02	147,6	142,0	2,859	375,0	81,55	0,3283	6,730e+005	1,168e+004	-8296	1,132e+004	-1,340e+004	0,5266	101,6	530,5	190,1	7,796e+004	3,480e+004	0,5536	9,854
5	3,973e+004	1,520e+005	410,5	568,4	157,9	160,7	568,4	141,8	-0,7181	64,81	142,5	138,1	0,2873	370,4	85,03	0,3364	5,246e+005	1,144e+004	-8563	8759	-1,084e+004	1,293	101,4	482,8	171,6	7,059e+004	3,086e+004	0,5629	9,430
6	2,551e+004	1,292e+005	344,6	442,8	98,15	98,82	415,1	139,9	-0,7934	62,65	140,7	137,0	2,353	375,0	100,1	0,3975	6,760e+005	1,115e+004	-9008	9522	-8596	0,7797	96,41	344,2	127,2	4,963e+004	2,411e+004	0,5141	9,402
7	2,671e+004	1,247e+005	334,5	416,1	81,60	81,74	416,1	137,0	-1,067	59,50	138,1	132,4	1,300	372,7	99,04	0,3958	6,448e+005	1,084e+004	-8919	9323	-9611	54,84	97,56	337,8	106,9	4,838e+004	2,167e+004	0,5521	9,173
8	2,570e+004	1,134e+005	302,4	372,8	70,40	70,40	372,8	134,1	-1,395	56,66	135,5	128,1	0,9575	375,0	94,30	0,4238	5,881e+005	1,044e+004	-8850	8618	-9337	57,62	98,52	320,6	95,46	4,484e+004	1,914e+004	0,5731	8,973
9	2,536e+004	1,073e+005	288,0	345,6	57,58	57,95	345,6	130,9	-1,765	53,01	132,6	123,8	0,3146	372,7	97,72	0,4298	3,963e+005	1,001e+004	-8720	6519	-9253	45,24	86,38	294,8	73,57	4,052e+004	1,516e+004	0,6258	8,843
10	2,501e+004	9,864e+004	261,4	306,9	45,50	45,71	306,9	126,9	-1,990	50,26	128,8	118,8	0,1505	377,4	94,96	0,4543	2,621e+005	9377	-8467	4852	-8919	-0,8413	86,40	275,3	57,36	3,685e+004	1,184e+004	0,6787	8,717
11	2,322e+004	9,273e+004	247,3	287,5	40,26	40,59	287,5	122,7	-2,209	46,89	124,9	114,7	-0,4309	375,0	99,08	0,4640	1,795e+005	8672	-8221	5141	-7954	-1,156	80,88	249,6	50,12	3,312e+004	9905	0,7010	8,575
12	2,178e+004	9,371e+004	249,9	284,3	34,43	34,81	267,0	118,7	-2,380	44,27	121,0	107,8	-0,7181	375,0	110,7	0,4314	9,410e+004	8105	-7954	4995	-7171	-1,299	83,40	225,8	37,77	2,980e+004	8027	0,7307	8,549
13	2,211e+004	9,193e+004	245,2	268,4	23,23	23,44	268,0	114,8	-2,633	41,87	117,4	103,8	-1,019	375,0	109,5	0,4236	9,705e+004	7482	-7332	4615	-7345	-1,491	77,31	223,8	28,64	2,910e+004	6995	0,7596	8,545
14	2,007e+004	9,043e+004	239,6	261,0	21,32	21,63	261,0	110,8	-2,702	39,89	113,5	101,2	-1,101	377,4	117,4	0,4223	7,585e+004	6922	-7202	4467	-6614	-2,086	73,33	204,1	25,82	2,651e+004	6436	0,7572	8,557
15	1,808e+004	8,597e+004	229,3	248,4	19,19	19,50	248,4	106,9	-2,873	37,70	109,8	96,23	-1,484	375,0	123,6	0,4198	5,580e+004	6415	-6751	4450	-5996	-2,517	70,90	185,6	21,90	2,401e+004	5935	0,7528	8,408
16	1,685e+004	8,266e+004	220,4	238,2	17,74	17,94	234,0	103,4	-2,948	36,10	106,3	92,65	-1,600	375,0	123,3	0,4204	4,699e+004	6019	-6333	4320	-5753	-2,031	65,92	178,8	20,09	2,251e+004	5656	0,7487	8,400
17	1,521e+004	8,004e+004	213,4	231,5	18,05	18,41	231,3	100,0	-3,050	34,63	103,1	90,81	-1,806	375,0	131,7	0,4254	3,725e+004	5636	-6203	4373	-5028	-2,127	66,11	162,0	20,56	2,078e+004	5571	0,7319	8,469
18	1,360e+004	7,749e+004	206,6	224,3	17,61	18,02	223,2	96,81	-3,146	33,22	99,96	85,79	-1,785	375,0	141,1	0,4151	2,986e+004	5301	-5690	4336	-5020	-2,189	63,66	146,5	19,31	1,896e+004	5354	0,7175	8,463
