	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2,982e+004	1,006e+005	289,9	504,7	214,7	218,2	456,5	125,1	7,106	68,31	118,0	123,1	8,577	346,8	57,92	0,4247	1,568e+005	6846	-5362	8571	-7382	7,968	90,46	500,6	217,6	4,321e+004	1,339e+004	0,6901	15,55
4	2,747e+004	9,366e+004	268,5	461,8	193,3	194,5	437,6	125,3	7,359	69,12	117,9	124,5	11,28	348,8	58,16	0,4637	1,051e+005	6744	-5143	9863	-6567	9,514	92,96	461,7	196,2	3,912e+004	1,165e+004	0,7021	15,98
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	2,942e+004	9,565e+004	277,4	503,3	225,9	229,1	466,0	125,0	6,983	67,58	118,0	122,5	8,002	344,8	55,25	0,4415	8,778e+004	6839	-5232	9195	-6004	8,385	84,44	502,0	228,2	4,391e+004	1,449e+004	0,6699	15,70
7	2,766e+004	9,506e+004	270,9	467,6	196,7	197,7	453,7	125,2	7,250	69,37	118,0	124,5	11,41	350,9	58,06	0,4595	1,040e+005	6737	-5198	9718	-7511	9,514	84,22	466,6	201,4	3,987e+004	1,221e+004	0,6937	15,87
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	2,709e+004	9,344e+004	266,3	466,7	200,4	201,6	452,7	124,8	7,031	68,84	117,8	123,8	10,90	350,9	57,43	0,4650	9,763e+004	6730	-5191	9336	-5995	9,575	84,86	463,7	204,9	3,965e+004	1,256e+004	0,6833	15,91
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	3,092e+004	1,027e+005	294,3	502,7	208,4	210,3	463,5	124,5	6,443	67,74	118,1	122,4	7,872	348,8	58,66	0,4160	9,048e+004	6846	-5328	9507	-6935	8,276	85,81	501,7	210,9	4,337e+004	1,244e+004	0,7131	15,47
13	2,593e+004	8,976e+004	257,3	450,1	192,8	194,6	446,8	124,6	6,812	68,32	117,8	122,7	10,44	348,8	58,04	0,4769	8,211e+004	6757	-5171	8157	-6360	9,021	91,14	443,3	195,5	3,745e+004	1,152e+004	0,6923	15,86
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
