	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2,309e+004	7,827e+004	225,7	462,4	236,7	241,8	448,7	120,7	1,853	59,77	118,9	119,5	4,090	346,8	49,54	0,5295	9,033e+004	7311	-5930	4169	-5111	10,67	90,18	455,5	237,6	1,985e+005	1,754e+005	0,1163	13,15
6	2,286e+004	7,747e+004	224,7	469,0	244,4	246,4	447,3	119,4	1,204	58,17	118,2	118,2	3,550	344,8	47,90	0,5263	9,871e+004	7257	-5909	3983	-5505	6,696	84,81	469,0	247,0	1,992e+005	1,764e+005	0,1148	13,20
7	2,293e+004	7,800e+004	227,5	458,5	231,0	235,0	446,1	117,6	0,8891	56,33	116,7	116,2	2,989	342,9	49,72	0,5105	1,148e+005	7127	-5855	4042	-5144	3,208	87,65	457,6	232,7	1,979e+005	1,750e+005	0,1158	13,00
8	2,481e+004	8,533e+004	247,5	467,9	220,4	223,5	456,4	115,9	0,7318	55,22	115,2	114,6	2,606	344,8	53,59	0,4630	8,886e+004	7010	-5779	4542	-5252	4,924	86,88	461,8	221,5	1,983e+005	1,735e+005	0,1251	12,99
9	2,428e+004	8,359e+004	241,0	455,1	214,1	217,3	430,8	113,4	0,2531	53,43	113,1	111,9	2,038	346,8	53,22	0,4644	6,564e+004	6894	-5868	4621	-5902	2,879	84,78	452,9	214,7	1,965e+005	1,723e+005	0,1235	12,80
10	2,339e+004	8,368e+004	241,3	440,8	199,5	202,3	419,3	110,9	-0,04788	51,45	111,0	109,3	1,505	346,8	54,88	0,4530	9,035e+004	6682	-5745	4325	-5749	1,936	81,99	439,6	201,5	1,946e+005	1,712e+005	0,1202	12,83
11	2,242e+004	7,940e+004	231,6	424,9	193,3	197,5	419,2	108,1	-0,4104	48,86	108,5	106,6	1,129	342,9	55,44	0,4602	6,597e+004	6470	-5636	4304	-6095	1,662	78,22	417,7	193,9	1,925e+005	1,700e+005	0,1165	12,89
12	2,084e+004	7,379e+004	214,0	403,5	189,6	192,8	393,5	105,6	-0,5540	47,13	106,1	104,1	1,183	344,8	53,42	0,4866	4,352e+004	6285	-5314	4104	-6146	-0,4924	76,16	400,5	190,4	1,900e+005	1,691e+005	0,1097	13,16
13	1,777e+004	6,659e+004	194,2	372,9	178,7	183,6	372,4	103,3	-0,8618	44,65	104,2	101,0	0,9165	342,9	54,13	0,5199	4,434e+004	6005	-5157	3652	-4734	0,1094	75,91	358,8	178,8	1,858e+005	1,680e+005	0,09565	13,22
