	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,595e+004	8,420e+004	204,9	369,3	164,4	168,2	333,5	148,5	8,740	75,96	139,8	145,5	12,69	411,0	55,69	0,7100	1,482e+005	1,280e+004	-1,071e+004	6255	-5526	9,191	99,93	367,9	165,8	11,02
2	2,484e+004	7,978e+004	191,5	327,9	136,4	142,8	308,9	148,5	10,48	76,57	138,0	141,9	13,53	416,7	58,52	0,7412	8,094e+004	1,285e+004	-1,093e+004	5290	-5506	11,45	104,3	327,2	136,4	11,00
3	2,292e+004	7,349e+004	180,1	341,6	161,5	166,2	310,8	150,4	9,553	77,69	140,8	147,5	14,08	408,2	52,72	0,8194	1,286e+005	1,314e+004	-1,070e+004	5796	-5184	10,24	109,0	341,6	162,8	11,46
4	2,474e+004	7,800e+004	191,1	352,9	161,8	164,9	324,6	149,8	8,049	76,36	141,7	145,7	12,94	408,2	54,15	0,7624	1,028e+005	1,302e+004	-1,090e+004	6117	-5001	8,507	103,2	352,9	163,6	10,91
5	2,625e+004	8,319e+004	203,8	348,8	144,9	156,7	319,9	147,3	10,69	74,20	136,6	141,7	11,65	408,2	58,44	0,6953	7,809e+004	1,263e+004	-1,135e+004	5006	-5321	11,46	105,0	348,8	146,1	10,99
6	2,530e+004	8,149e+004	198,3	342,2	143,9	149,6	306,9	149,1	9,259	76,80	139,9	142,4	14,59	411,0	58,14	0,7181	1,215e+005	1,311e+004	-1,067e+004	5844	-5071	9,738	106,4	341,0	144,0	11,43
7	2,509e+004	8,234e+004	201,7	369,8	168,1	170,9	336,0	148,6	8,213	75,99	140,4	144,9	12,49	408,2	55,00	0,7181	1,615e+005	1,294e+004	-1,072e+004	5911	-5500	8,767	101,1	366,8	170,9	11,12
8	2,733e+004	8,768e+004	213,4	350,6	137,3	148,8	322,9	146,9	10,61	74,50	136,3	140,9	11,78	411,0	60,84	0,6603	9,763e+004	1,256e+004	-1,124e+004	5062	-5398	11,64	109,5	350,6	138,2	10,97
9	2,526e+004	8,162e+004	198,6	343,6	145,0	150,7	309,7	148,5	10,33	76,92	138,2	141,5	14,26	411,0	57,80	0,7123	9,671e+004	1,311e+004	-1,063e+004	4426	-5229	13,31	107,8	343,6	145,1	11,53
10	2,378e+004	7,715e+004	189,0	356,4	167,4	170,6	311,2	149,6	8,090	77,08	141,5	147,3	13,74	408,2	53,21	0,7793	1,414e+005	1,313e+004	-1,038e+004	6006	-5633	8,500	105,3	355,3	169,1	11,13
11	2,388e+004	7,623e+004	186,8	345,9	159,1	163,2	319,2	146,8	10,16	73,54	136,6	142,1	11,43	408,2	54,04	0,7610	9,264e+004	1,266e+004	-1,136e+004	5061	-5512	11,25	103,1	345,6	159,3	10,75
12	2,378e+004	7,739e+004	188,3	325,2	136,9	143,2	297,4	147,7	10,33	75,53	137,4	141,7	14,40	411,0	58,06	0,7525	1,028e+005	1,288e+004	-1,122e+004	4619	-5182	11,54	101,3	324,4	137,3	11,56
13	2,261e+004	7,253e+004	177,7	342,5	164,8	167,8	313,6	148,5	7,543	76,04	141,0	145,2	14,16	408,2	52,02	0,8171	1,096e+005	1,292e+004	-1,049e+004	5657	-4893	8,165	99,90	341,6	166,4	10,89
14	2,427e+004	7,765e+004	190,2	351,2	161,0	166,5	314,4	146,8	8,630	73,43	138,1	142,2	11,41	408,2	54,50	0,7476	1,673e+005	1,258e+004	-1,122e+004	7099	-5162	9,027	98,47	349,0	161,0	10,45
15	2,598e+004	8,285e+004	200,2	336,9	136,7	144,8	324,3	147,7	10,52	75,87	137,2	141,0	13,96	413,8	59,63	0,7044	7,351e+004	1,284e+004	-1,102e+004	6053	-6065	11,44	104,2	335,7	136,7	11,38
16	2,423e+004	7,775e+004	189,2	357,3	168,1	169,9	333,1	151,5	8,521	79,18	143,0	148,3	14,66	411,0	53,00	0,7840	1,294e+005	1,325e+004	-1,046e+004	6922	-5186	9,136	109,3	357,0	171,7	11,47
17	2,564e+004	8,123e+004	199,0	365,0	166,0	170,4	338,0	149,9	9,095	76,79	140,8	146,1	11,69	408,2	54,54	0,7343	1,121e+005	1,294e+004	-1,100e+004	5641	-5202	9,690	101,3	364,9	167,1	11,05
18	2,403e+004	7,539e+004	182,2	321,8	139,6	148,2	302,9	150,2	10,59	78,23	139,6	143,3	14,17	413,8	56,62	0,7865	6,332e+004	1,306e+004	-1,129e+004	5162	-5024	11,73	109,7	321,8	139,8	11,48
19	2,395e+004	7,674e+004	188,0	357,5	169,5	172,9	319,9	152,8	8,350	79,27	144,4	149,0	14,32	408,2	52,72	0,7927	1,397e+005	1,314e+004	-1,013e+004	6229	-4935	8,835	112,1	356,6	172,2	11,37
20	2,634e+004	8,289e+004	201,7	364,1	162,4	167,5	333,6	151,0	10,91	78,24	140,1	147,5	11,73	411,0	55,72	0,7312	1,250e+005	1,295e+004	-1,108e+004	5211	-5870	11,82	101,5	362,0	162,6	11,29
21	2,443e+004	7,692e+004	188,5	333,6	145,1	152,1	301,7	151,7	10,57	78,47	141,1	144,9	14,25	408,2	56,50	0,7689	1,108e+005	1,306e+004	-1,048e+004	4940	-5248	12,39	112,0	333,5	145,2	11,66
22	2,326e+004	7,362e+004	180,4	344,9	164,5	167,2	318,0	152,7	8,377	79,02	144,3	148,9	14,35	408,2	52,35	0,8255	1,489e+005	1,316e+004	-1,026e+004	5718	-5226	8,904	112,3	344,5	167,1	11,28
23	2,435e+004	7,776e+004	190,5	351,3	160,8	165,1	314,3	148,6	9,164	75,18	139,4	144,9	12,02	408,2	54,60	0,7604	1,522e+005	1,272e+004	-1,126e+004	6482	-5235	9,779	99,49	348,9	161,0	10,59
24	2,671e+004	8,636e+004	208,7	347,3	138,6	145,3	319,2	148,4	10,53	76,23	137,9	141,3	13,60	413,8	60,24	0,6772	1,282e+005	1,292e+004	-1,090e+004	5555	-6251	11,55	108,0	346,4	138,6	11,04
25	2,394e+004	7,642e+004	187,2	347,3	160,0	164,1	321,9	149,4	8,206	77,01	141,2	145,0	14,45	408,2	53,96	0,7747	1,324e+005	1,312e+004	-1,060e+004	6720	-5301	8,801	111,0	347,0	161,4	11,23
26	2,603e+004	8,315e+004	202,3	364,7	162,4	167,6	337,8	147,8	8,815	75,15	138,9	143,7	11,86	411,0	55,51	0,7103	9,876e+004	1,292e+004	-1,100e+004	5973	-5297	9,649	101,8	364,5	162,7	11,04
27	2,695e+004	8,695e+004	213,0	349,9	136,9	145,0	320,5	146,7	10,52	73,76	136,2	138,2	12,30	408,2	61,08	0,6489	1,275e+005	1,279e+004	-1,133e+004	5442	-5871	11,06	104,7	348,8	137,0	11,00
28	2,375e+004	7,741e+004	188,4	349,4	161,1	165,1	318,2	148,2	8,480	76,53	139,7	145,3	14,61	411,0	54,01	0,7713	1,346e+005	1,318e+004	-1,076e+004	6675	-5615	9,027	106,7	348,8	163,4	11,15
29	2,606e+004	8,392e+004	205,6	365,3	159,7	164,1	335,1	147,3	10,33	74,94	136,9	142,3	11,82	408,2	56,34	0,6920	1,159e+005	1,279e+004	-1,067e+004	5009	-5753	11,06	109,3	364,9	159,9	10,98
30	2,528e+004	8,056e+004	196,0	334,5	138,5	147,8	306,6	148,4	9,341	75,94	139,1	142,2	14,70	411,0	58,60	0,7253	8,385e+004	1,307e+004	-1,113e+004	6419	-5378	9,895	108,1	334,5	138,5	11,29
31	2,652e+004	8,723e+004	212,3	382,0	169,7	174,6	336,3	148,0	7,625	75,84	140,4	144,8	12,60	411,0	55,81	0,6823	1,805e+005	1,305e+004	-1,057e+004	6453	-5526	8,111	105,2	380,3	171,5	10,86
32	2,662e+004	8,425e+004	205,0	337,9	132,9	140,4	322,7	147,7	10,54	74,80	137,1	140,0	11,89	411,0	60,70	0,6830	6,292e+004	1,279e+004	-1,150e+004	5346	-5928	11,05	104,7	337,7	133,0	11,06
33	2,603e+004	8,293e+004	201,8	351,5	149,7	157,3	323,9	150,1	9,109	78,05	141,0	144,8	14,41	411,0	57,42	0,7174	1,148e+005	1,325e+004	-1,074e+004	6325	-5097	9,820	106,7	351,4	149,7	11,34
