	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	3,918e+004	1,129e+005	280,3	423,6	143,3	151,9	320,6	168,5	8,418	90,59	160,1	158,0	14,72	402,7	66,80	0,5638	2,849e+005	1,308e+004	-9622	7968	-6059	15,76	107,5	419,6	143,7	5,078e+004	1,160e+004	0,7716	12,28
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	3,746e+004	1,134e+005	281,5	409,1	127,6	138,7	309,1	164,8	10,04	88,16	154,8	156,4	14,58	402,7	71,05	0,5555	4,032e+005	1,301e+004	-1,038e+004	7855	-6271	13,77	105,8	396,2	130,4	4,799e+004	1,053e+004	0,7806	11,78
4	3,801e+004	1,113e+005	276,3	416,0	139,7	149,2	332,9	165,3	9,957	89,37	155,3	153,0	14,79	402,7	66,87	0,5536	2,476e+005	1,313e+004	-9724	6959	-5700	14,79	107,3	413,2	140,4	4,924e+004	1,122e+004	0,7720	12,34
5	3,671e+004	1,107e+005	274,9	413,5	138,7	144,7	309,1	164,1	10,20	88,38	153,9	155,8	14,53	402,7	67,38	0,5670	3,309e+005	1,310e+004	-9895	7830	-6371	14,48	107,2	407,9	139,2	4,844e+004	1,173e+004	0,7578	12,12
6	3,684e+004	1,120e+005	278,2	422,4	144,2	148,2	327,3	163,0	10,24	87,57	152,8	157,4	14,81	402,7	66,73	0,5656	3,273e+005	1,315e+004	-1,024e+004	7510	-6663	14,81	111,1	417,0	145,4	4,959e+004	1,275e+004	0,7428	12,00
7	3,712e+004	1,132e+005	279,2	421,1	141,9	145,8	334,5	160,5	10,01	86,05	150,5	153,8	14,60	405,4	66,50	0,5510	2,323e+005	1,303e+004	-1,042e+004	7360	-6839	14,60	112,0	419,8	142,6	4,951e+004	1,239e+004	0,7497	11,65
8	3,499e+004	1,417e+005	269,3	409,1	139,8	145,8	320,0	157,7	13,97	105,5	143,7	151,5	13,97	526,3	65,93	0,5627	2,135e+005	1,300e+004	-1,076e+004	7218	-5957	13,97	112,2	408,5	139,8	4,714e+004	1,215e+004	0,7422	11,54
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
