	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,256e+004	7,856e+004	182,0	430,4	248,4	250,4	392,8	139,8	3,529	74,98	136,3	136,5	3,529	431,7	42,59	0,7498	1,065e+005	1,101e+004	-1,036e+004	6843	-3938	5,314	90,80	427,4	251,7	10,18
2	2,729e+004	9,504e+004	220,2	431,9	211,7	213,8	383,5	140,9	3,604	76,08	137,3	137,7	5,841	431,7	51,24	0,6254	1,511e+005	1,134e+004	-1,087e+004	6831	-4789	4,788	91,38	429,6	215,2	10,05
3	2,086e+004	7,275e+004	168,5	420,6	252,1	254,0	370,4	140,0	0,9917	74,34	139,0	136,8	5,061	431,7	40,07	0,8116	1,484e+005	1,106e+004	-1,008e+004	6587	-4433	5,061	88,92	420,6	257,8	9,775
4	2,368e+004	8,173e+004	190,7	431,9	241,2	246,5	393,5	139,7	2,797	74,70	136,9	135,8	2,797	428,6	44,89	0,7120	9,225e+004	1,120e+004	-1,032e+004	7129	-3699	5,567	97,25	424,8	241,4	10,16
5	2,683e+004	9,434e+004	218,5	436,8	218,3	221,1	375,0	140,2	3,618	75,22	136,6	135,8	5,916	431,7	50,47	0,6215	1,273e+005	1,109e+004	-1,040e+004	7560	-4564	5,916	94,14	433,0	220,0	10,01
6	2,275e+004	7,978e+004	184,8	422,1	237,3	238,7	378,1	140,9	1,895	75,53	139,0	137,3	5,301	431,7	43,97	0,7429	1,768e+005	1,142e+004	-1,005e+004	6366	-4540	2,811	95,76	420,4	243,6	10,01
7	2,162e+004	7,477e+004	173,2	429,6	256,4	260,7	388,4	139,4	1,888	73,99	137,5	135,7	3,598	431,7	40,71	0,7836	9,913e+004	1,096e+004	-1,038e+004	6742	-3710	4,063	98,99	425,5	258,9	9,570
8	2,863e+004	9,962e+004	232,5	441,6	209,1	213,4	388,3	140,3	3,769	74,57	136,5	135,7	4,350	428,6	53,78	0,5838	1,279e+005	1,131e+004	-1,100e+004	6843	-4539	4,350	97,46	432,2	210,6	9,940
9	2,413e+004	8,593e+004	199,1	425,9	226,8	228,4	377,8	140,0	1,580	74,30	138,4	136,2	5,800	431,7	47,10	0,6841	1,763e+005	1,116e+004	-1,031e+004	6321	-4928	5,800	94,52	422,7	233,1	9,784
10	2,252e+004	7,947e+004	184,1	428,7	244,6	249,9	389,0	139,6	2,688	74,75	137,0	136,4	3,611	431,7	43,62	0,7407	1,334e+005	1,126e+004	-1,031e+004	6722	-3731	4,576	94,25	422,0	247,2	9,891
11	2,730e+004	9,619e+004	222,8	434,1	211,3	216,0	379,5	139,7	3,598	74,23	136,1	134,9	4,856	431,7	51,99	0,6052	1,368e+005	1,094e+004	-1,049e+004	6800	-4815	4,856	98,91	428,7	212,4	9,939
12	2,307e+004	8,218e+004	190,4	425,6	235,2	238,4	377,3	139,6	1,108	74,21	138,5	136,1	5,472	431,7	45,60	0,7150	1,657e+005	1,129e+004	-1,048e+004	6283	-4126	2,312	101,3	417,5	239,6	9,527
13	2,131e+004	7,540e+004	175,9	430,1	254,2	259,6	385,7	137,9	2,832	72,57	135,1	133,3	2,832	428,6	41,79	0,7574	9,378e+004	1,085e+004	-1,043e+004	6534	-3311	5,437	94,06	421,0	254,7	9,890
14	2,845e+004	1,012e+005	234,5	438,8	204,3	208,0	389,1	139,4	3,618	74,60	135,8	135,1	5,738	431,7	54,50	0,5763	1,565e+005	1,128e+004	-1,109e+004	6599	-4859	5,738	95,73	430,2	206,0	9,837
15	2,218e+004	7,939e+004	183,9	423,3	239,3	241,6	374,8	139,2	1,751	73,62	137,4	135,6	5,581	431,7	43,78	0,7373	1,626e+005	1,102e+004	-1,029e+004	6575	-4336	2,941	94,19	420,1	244,0	9,755
16	2,338e+004	8,175e+004	189,4	437,2	247,8	251,7	394,6	139,0	1,279	73,73	137,8	135,4	3,693	431,7	43,73	0,7150	1,150e+005	1,126e+004	-1,035e+004	6134	-4051	2,777	93,41	433,1	250,1	9,467
17	2,696e+004	9,333e+004	217,8	436,2	218,4	223,3	382,8	138,9	3,406	73,09	135,5	134,2	3,406	428,6	50,38	0,6165	1,059e+005	1,087e+004	-1,061e+004	7165	-4407	4,507	97,31	432,3	218,7	9,977
18	2,686e+004	9,406e+004	217,9	429,8	211,9	215,3	392,5	140,2	2,544	75,48	137,7	136,9	5,971	431,7	51,30	0,6285	1,617e+005	1,140e+004	-1,050e+004	6867	-4565	3,536	99,26	424,8	213,5	10,14
19	2,289e+004	8,042e+004	186,3	430,1	243,8	246,7	383,4	139,6	1,956	74,27	137,6	135,3	4,514	431,7	43,77	0,7263	1,217e+005	1,107e+004	-1,020e+004	6241	-4025	4,514	95,16	425,6	245,2	9,927
20	2,503e+004	8,559e+004	198,3	439,2	240,9	245,9	386,4	139,3	1,778	73,98	137,6	136,1	3,762	431,7	45,33	0,6865	8,811e+004	1,115e+004	-1,054e+004	6150	-4575	3,174	91,42	437,4	241,4	9,514
21	2,614e+004	9,147e+004	213,4	428,8	215,4	217,9	382,8	139,1	3,611	73,01	135,5	134,3	3,611	428,6	50,18	0,6294	1,332e+005	1,088e+004	-1,064e+004	7591	-4549	4,877	95,25	425,3	217,4	9,934
22	2,576e+004	9,095e+004	210,7	429,6	218,9	220,8	390,5	140,3	1,737	74,98	138,6	136,6	5,896	431,7	49,72	0,6485	1,550e+005	1,138e+004	-1,025e+004	6297	-4313	5,896	96,65	423,8	222,3	9,819
23	2,066e+004	7,065e+004	163,7	422,0	258,4	260,1	382,9	139,1	2,018	73,50	137,1	135,8	3,686	431,7	38,91	0,8300	6,495e+004	1,100e+004	-1,025e+004	6766	-4540	3,775	91,53	420,6	260,6	9,667
24	2,773e+004	9,607e+004	222,6	429,6	207,1	209,7	391,2	140,1	3,714	74,77	136,4	136,1	4,446	431,7	52,46	0,6116	1,226e+005	1,121e+004	-1,093e+004	7105	-5395	4,692	100,5	424,2	209,2	9,885
25	2,422e+004	8,526e+004	197,5	424,7	227,1	228,9	369,4	139,5	1,470	73,66	138,0	135,8	5,348	431,7	46,62	0,6874	1,419e+005	1,107e+004	-1,003e+004	6728	-5465	5,348	98,37	423,7	231,6	9,704
26	2,179e+004	7,407e+004	172,8	424,9	252,1	254,5	385,5	138,7	1,771	73,05	136,9	135,1	3,461	428,6	40,90	0,7820	8,237e+004	1,121e+004	-1,053e+004	6826	-3922	3,474	99,24	422,6	254,1	9,429
27	2,729e+004	9,549e+004	219,6	431,7	212,0	215,4	389,8	138,5	3,645	73,54	134,9	133,6	4,097	434,8	51,35	0,6082	9,402e+004	1,094e+004	-1,049e+004	6595	-4706	4,877	93,15	427,7	214,0	9,810
28	2,603e+004	9,118e+004	211,2	425,1	213,8	216,1	376,2	139,5	2,134	74,29	137,3	135,4	5,328	431,7	49,83	0,6411	1,599e+005	1,141e+004	-1,052e+004	6619	-5381	3,358	95,90	423,9	217,4	9,808
29	2,181e+004	7,625e+004	177,9	423,5	245,5	248,2	378,2	138,6	1,129	72,42	137,5	134,5	3,816	428,6	42,32	0,7559	1,351e+005	1,104e+004	-1,031e+004	6188	-4052	3,816	92,18	420,4	249,5	9,498
30	2,641e+004	9,186e+004	212,8	436,3	223,5	228,6	381,6	138,8	3,119	73,83	135,6	134,6	3,119	431,7	49,20	0,6325	1,018e+005	1,112e+004	-1,053e+004	6843	-4479	3,119	88,58	432,6	225,1	9,915
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	2,530e+004	9,022e+004	209,0	422,6	213,6	216,7	379,5	140,9	3,139	75,82	137,7	137,4	5,157	431,7	50,76	0,6576	1,527e+005	1,140e+004	-1,038e+004	6834	-4332	4,302	98,84	411,8	216,4	10,25
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	2,141e+004	7,160e+004	167,1	426,3	259,3	262,9	373,6	140,0	2,031	73,67	138,0	136,8	3,201	428,6	39,43	0,8190	7,565e+004	1,117e+004	-1,061e+004	5695	-4069	4,069	96,25	423,7	260,3	9,521
35	2,679e+004	9,429e+004	218,4	427,6	209,1	213,2	387,2	140,0	3,591	74,03	136,4	135,8	4,610	431,7	51,65	0,6216	1,622e+005	1,088e+004	-1,091e+004	6945	-4932	4,726	90,94	422,9	211,7	9,819
36	2,426e+004	8,630e+004	199,9	424,5	224,6	227,5	380,1	141,0	1,607	75,52	139,4	138,1	5,526	431,7	48,16	0,6909	1,640e+005	1,142e+004	-1,010e+004	6546	-4716	5,526	95,41	415,1	227,6	9,887
37	2,055e+004	7,023e+004	162,7	431,6	268,9	273,4	380,1	140,5	1,641	74,69	138,9	137,8	3,406	431,7	37,90	0,8469	1,027e+005	1,099e+004	-9972	5823	-3860	3,406	90,10	429,2	270,4	9,813
38	2,729e+004	9,421e+004	218,2	432,3	214,0	218,4	390,4	142,0	3,762	76,57	138,3	138,7	3,857	431,7	51,48	0,6355	1,423e+005	1,124e+004	-1,070e+004	6820	-4599	5,130	99,17	423,9	215,2	10,11
39	2,528e+004	8,761e+004	204,4	427,8	223,3	227,3	370,3	142,8	2,476	76,53	140,3	139,9	5,369	428,6	48,35	0,6843	1,700e+005	1,117e+004	-9904	6754	-4430	5,369	96,48	422,8	226,3	10,35

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,451e+004	8,565e+004	198,7	429,5	230,8	234,1	383,0	139,8	2,509	74,38	137,3	136,0	4,475	431,0	46,75	0,6919	1,299e+005	1,115e+004	-1,044e+004	6656	-4424	4,427	95,21	425,0	233,4	9,853
Min	2,055e+004	7,023e+004	162,7	420,6	204,3	208,0	369,4	137,9	0,9917	72,42	134,9	133,3	2,797	428,6	37,90	0,5763	6,495e+004	1,085e+004	-1,109e+004	5695	-5465	2,312	88,58	411,8	206,0	9,429
Max	2,863e+004	1,012e+005	234,5	441,6	268,9	273,4	394,6	142,8	3,769	76,57	140,3	139,9	5,971	434,8	54,50	0,8469	1,768e+005	1,142e+004	-9904	7591	-3311	5,916	101,3	437,4	270,4	10,35
Count	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
