	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	3,081e+004	1,129e+005	254,0	437,8	183,7	188,0	368,9	137,5	5,731	72,42	131,8	128,7	8,084	444,4	58,08	0,5067	1,384e+005	1,151e+004	-1,020e+004	8429	-8511	6,716	99,45	437,4	184,0	4,426e+004	1,345e+004	0,6961	10,22
3	2,864e+004	1,047e+005	235,5	415,6	180,1	185,1	360,2	136,2	4,665	70,47	131,6	126,0	7,482	444,4	56,80	0,5350	7,933e+004	1,129e+004	-9760	7529	-8202	7,482	95,41	414,7	180,7	4,144e+004	1,281e+004	0,6910	9,924
4	2,710e+004	1,017e+005	228,9	412,3	183,4	188,4	357,5	134,1	2,442	67,40	131,7	124,1	6,142	444,4	55,52	0,5420	1,258e+005	1,115e+004	-9986	6981	-7030	3,953	95,31	412,3	184,5	4,019e+004	1,308e+004	0,6744	9,117
5	2,929e+004	1,081e+005	241,5	415,3	173,8	181,7	375,3	132,7	4,254	65,86	128,5	122,7	5,232	447,8	58,64	0,5079	5,709e+004	1,082e+004	-1,009e+004	7357	-7673	4,815	93,90	411,9	173,8	4,062e+004	1,133e+004	0,7212	9,636
6	2,648e+004	9,934e+004	223,5	385,4	161,9	168,5	353,1	130,4	3,871	63,13	126,5	118,5	5,759	444,4	58,57	0,5300	3,618e+004	1,067e+004	-1,017e+004	5872	-6737	4,788	86,64	381,6	161,9	3,697e+004	1,050e+004	0,7161	9,277
7	2,446e+004	9,502e+004	212,2	364,9	152,7	160,2	332,5	126,9	3,379	59,88	123,6	114,9	5,273	447,8	58,53	0,5415	4,175e+004	1,004e+004	-1,011e+004	5937	-6969	4,350	93,19	362,6	152,7	3,421e+004	9756	0,7148	9,098
8	2,398e+004	9,549e+004	214,9	360,6	145,7	153,1	313,6	123,7	2,996	56,59	120,7	110,7	4,562	444,4	60,55	0,5151	4,797e+004	9719	-1,053e+004	5893	-6914	4,562	84,27	354,8	146,0	3,282e+004	8840	0,7306	8,991
9	1,985e+004	8,283e+004	185,0	330,0	145,0	152,2	303,1	118,8	1,293	52,59	117,5	105,8	4,090	447,8	57,50	0,5718	2,651e+004	8980	-9863	4363	-5273	4,090	82,14	321,7	145,2	2,803e+004	8187	0,7080	8,211
10	2,118e+004	8,855e+004	199,2	331,7	132,4	142,1	297,4	116,5	2,380	50,74	114,1	103,1	2,380	444,4	60,22	0,5177	3,762e+004	8672	-9705	4699	-6635	3,577	81,42	330,8	133,0	2,861e+004	7425	0,7404	8,945
11	1,628e+004	7,266e+004	163,5	291,9	128,4	137,9	258,2	112,8	2,332	48,68	110,4	100,9	3,816	444,4	58,13	0,6174	3,543e+004	8125	-9267	4523	-4733	3,816	82,06	281,3	129,2	2,336e+004	7076	0,6971	8,714
12	1,440e+004	6,792e+004	151,7	272,6	121,0	131,6	249,8	109,5	2,209	46,77	107,3	97,76	3,481	447,8	58,03	0,6445	2,352e+004	7599	-9021	3105	-3475	5,499	72,62	261,4	121,8	2,084e+004	6437	0,6911	8,646
13	1,228e+004	6,012e+004	134,3	251,3	117,0	127,0	229,0	105,5	2,257	44,38	103,3	94,31	3,174	447,8	55,80	0,7024	2,288e+004	6908	-8474	2630	-3431	3,174	76,31	240,6	117,5	1,840e+004	6118	0,6674	8,772
14	1,142e+004	5,688e+004	127,0	241,8	114,8	123,0	216,2	103,3	2,134	43,24	101,2	92,45	2,941	447,8	54,43	0,7278	2,373e+004	6771	-8153	2929	-3055	4,343	71,87	233,4	114,8	1,737e+004	5951	0,6574	8,754
15	9490	4,944e+004	111,2	228,8	117,5	126,9	205,6	99,88	2,018	41,07	97,86	90,73	2,578	444,4	51,23	0,8156	1,765e+004	6156	-7571	2825	-2776	3,242	69,72	217,2	117,7	1,532e+004	5835	0,6193	8,856
16	9102	4,809e+004	108,2	218,7	110,5	121,5	197,1	98,36	1,888	40,35	96,47	88,45	2,688	444,4	51,27	0,8175	2,121e+004	6012	-7722	2258	-2722	6,313	66,35	211,0	110,9	1,450e+004	5398	0,6277	8,810
