	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,539e+004	1,067e+005	296,9	473,4	176,5	205,5	381,3	131,0	-0,1574	67,60	131,2	120,6	2,490	359,3	76,87	0,4062	1,424e+006	9838	-7690	1,245e+004	-1,139e+004	114,0	90,07	386,2	190,1	3,646e+004	1,107e+004	0,6964	12,12
2	2,550e+004	1,043e+005	288,5	461,1	172,6	211,7	384,5	131,0	-0,6636	67,55	131,6	122,1	2,244	361,4	73,46	0,4230	1,097e+006	9852	-8093	1,029e+004	-9954	106,6	88,15	392,8	191,1	3,643e+004	1,092e+004	0,7002	12,10
3	2,357e+004	1,042e+005	290,1	465,2	175,0	211,3	359,8	129,3	-1,184	65,23	130,4	121,1	1,546	359,3	77,85	0,4174	1,173e+006	9681	-8086	9989	-1,156e+004	117,4	91,78	372,7	192,6	3,460e+004	1,103e+004	0,6813	11,93
4	2,213e+004	9,484e+004	265,6	432,0	166,4	201,5	343,7	126,3	-1,567	61,74	127,8	115,4	0,9783	357,1	75,76	0,4344	1,233e+006	9448	-8620	1,065e+004	-8232	114,2	84,82	350,5	182,0	3,195e+004	9819	0,6927	11,43
5	2,181e+004	9,828e+004	271,9	425,1	153,2	188,8	350,5	122,9	-1,875	58,71	124,8	111,4	0,7936	361,4	79,20	0,4097	1,163e+006	9072	-8832	1,132e+004	-8029	98,63	90,01	343,3	167,8	3,028e+004	8473	0,7202	10,95
6	2,218e+004	9,919e+004	276,1	411,5	135,4	164,7	330,0	119,6	-2,408	54,34	122,0	105,3	0,0000	359,3	85,19	0,3814	1,165e+006	8572	-8764	1,043e+004	-9482	111,7	79,67	324,1	150,6	2,881e+004	6635	0,7697	10,42
7	1,965e+004	9,544e+004	265,7	390,9	125,2	155,8	301,7	115,9	-2,654	50,50	118,6	103,7	-0,5336	359,3	86,02	0,3905	1,177e+006	8045	-8702	1,120e+004	-8425	88,78	80,86	308,8	138,7	2,545e+004	5800	0,7721	10,24
8	1,889e+004	9,336e+004	259,9	377,8	118,0	141,7	294,6	111,9	-2,928	46,97	114,8	96,25	-0,8141	359,3	87,72	0,3704	8,686e+005	7443	-8969	8214	-1,042e+004	105,7	76,80	296,2	126,3	2,383e+004	4936	0,7929	10,09
9	1,666e+004	8,470e+004	235,7	345,0	109,3	129,8	263,3	107,8	-3,017	43,83	110,8	93,81	-1,375	359,3	88,19	0,3979	7,920e+005	6807	-8600	8332	-7086	92,69	74,78	267,3	114,1	2,073e+004	4062	0,8040	10,09
10	1,725e+004	8,527e+004	237,3	337,1	99,74	116,4	259,7	104,1	-3,195	41,29	107,3	89,37	-1,519	359,3	87,51	0,3765	6,324e+005	6362	-8175	7133	-7424	87,80	70,48	271,2	104,6	2,058e+004	3332	0,8381	10,00
11	1,626e+004	8,200e+004	228,2	320,5	92,33	108,1	243,6	100,2	-3,339	38,95	103,6	82,17	-1,895	359,3	86,26	0,3601	5,236e+005	5863	-7676	6146	-7634	84,09	68,21	264,6	96,68	1,920e+004	2941	0,8468	10,05
