	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,377e+004	1,032e+005	548,6	647,6	99,06	103,6	553,6	109,9	6,990	60,10	102,9	107,8	12,25	188,1	159,4	0,1965	2,055e+005	3782	-1860	1,970e+004	-1,774e+004	10,43	71,11	344,2	99,92	35,91
2	2,694e+004	1,002e+005	534,5	633,2	98,72	99,94	575,9	109,8	7,011	59,91	102,7	105,3	12,20	187,5	141,2	0,1970	2,098e+005	3741	-1847	2,070e+004	-1,339e+004	10,14	72,24	378,6	102,2	35,77
3	2,504e+004	1,053e+005	563,3	663,5	100,2	100,9	522,8	109,5	6,936	59,58	102,5	105,1	12,24	186,9	161,6	0,1867	1,566e+005	3728	-1806	1,664e+004	-1,807e+004	9,412	73,86	348,5	106,2	35,90
4	2,567e+004	1,041e+005	555,5	659,6	104,2	104,9	527,9	109,2	7,052	59,54	102,1	107,1	12,29	187,5	149,2	0,1927	2,142e+005	3680	-1806	2,078e+004	-1,504e+004	10,31	73,99	372,2	108,0	36,28

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,535e+004	1,032e+005	550,4	651,0	100,5	102,3	545,1	109,6	6,997	59,78	102,6	106,3	12,25	187,5	152,8	0,1932	1,965e+005	3733	-1830	1,945e+004	-1,606e+004	10,07	72,80	360,9	104,1	35,97
Min	2,377e+004	1,002e+005	534,5	633,2	98,72	99,94	522,8	109,2	6,936	59,54	102,1	105,1	12,20	186,9	141,2	0,1867	1,566e+005	3680	-1860	1,664e+004	-1,807e+004	9,412	71,11	344,2	99,92	35,77
Max	2,694e+004	1,053e+005	563,3	663,5	104,2	104,9	575,9	109,9	7,052	60,10	102,9	107,8	12,29	188,1	161,6	0,1970	2,142e+005	3782	-1806	2,078e+004	-1,339e+004	10,43	73,99	378,6	108,0	36,28
Count	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
