	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	2,584e+004	1,208e+005	650,5	758,6	108,1	109,6	684,7	106,7	10,10	58,45	96,55	102,8	15,59	185,8	197,9	0,1581	3,981e+005	3098	-1724	3,127e+004	-1,951e+004	12,73	71,65	328,7	110,0	42,45
2	2,650e+004	1,099e+005	584,3	661,7	77,48	80,21	661,7	107,2	9,651	58,41	97,54	101,5	14,86	188,1	170,2	0,1738	2,093e+005	3222	-1689	1,879e+004	-2,252e+004	11,14	73,52	343,2	77,93	41,52
3	2,247e+004	1,018e+005	551,2	654,0	102,8	104,3	594,0	106,2	10,42	58,10	95,75	104,1	15,34	184,6	162,6	0,1889	3,085e+005	3057	-1696	2,690e+004	-1,745e+004	11,47	73,44	339,0	105,7	43,31
4	2,565e+004	1,070e+005	570,7	643,3	72,67	73,11	640,5	107,3	9,432	58,32	97,86	102,4	15,01	187,5	181,1	0,1795	3,029e+005	3249	-1730	2,300e+004	-1,383e+004	13,17	73,60	315,2	73,55	40,90
5	1,940e+004	1,149e+005	618,4	712,4	94,06	101,4	459,4	106,6	11,20	58,86	95,43	106,2	15,44	185,8	219,2	0,1717	3,222e+005	3119	-1696	2,713e+004	-2,351e+004	11,61	71,35	282,1	94,69	43,85

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,397e+004	1,109e+005	595,0	686,0	91,02	93,73	608,1	106,8	10,16	58,43	96,63	103,4	15,25	186,3	186,2	0,1744	3,082e+005	3149	-1707	2,542e+004	-1,936e+004	12,02	72,71	321,6	92,37	42,40
Min	1,940e+004	1,018e+005	551,2	643,3	72,67	73,11	459,4	106,2	9,432	58,10	95,43	101,5	14,86	184,6	162,6	0,1581	2,093e+005	3057	-1730	1,879e+004	-2,351e+004	11,14	71,35	282,1	73,55	40,90
Max	2,650e+004	1,208e+005	650,5	758,6	108,1	109,6	684,7	107,3	11,20	58,86	97,86	106,2	15,59	188,1	219,2	0,1889	3,981e+005	3249	-1689	3,127e+004	-1,383e+004	13,17	73,60	343,2	110,0	43,85
Count	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
