	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	1,639e+004	2,884e+004	248,5	283,2	34,68	35,43	199,9	104,6	5,952	43,89	98,68	104,6	11,32	116,1	108,4	0,4209	4,799e+005	2593	-1259	6091	-8024	78,80	65,97	229,2	36,48	1,272e+004	-3673	1,289	50,95
2	1,118e+004	2,014e+004	170,5	203,0	32,48	32,54	184,2	106,4	6,260	45,42	100,2	104,1	9,420	118,1	98,32	0,6105	1,097e+005	2675	-1293	4243	-4216	9,064	66,96	173,4	39,61	8028	-3149	1,392	49,46
3	1,199e+004	2,024e+004	172,7	199,9	27,19	27,19	199,9	107,5	7,436	46,79	100,0	104,7	9,290	117,2	90,63	0,6060	2,366e+005	2743	-1396	4987	-3507	46,40	69,75	190,6	31,86	8995	-2992	1,333	55,57
4	8928	1,871e+004	151,5	181,2	29,63	29,65	146,5	106,4	7,662	47,97	98,76	105,2	9,721	123,5	118,0	0,6942	4,420e+004	2661	-1313	3418	-3783	11,19	72,66	128,4	31,60	5755	-3173	1,551	53,24
5	1,054e+004	1,840e+004	159,5	179,4	19,95	19,96	179,4	106,9	6,362	44,38	100,5	103,5	11,46	115,4	113,3	0,6491	4,622e+004	2702	-1389	2112	-4028	8,832	73,47	140,8	22,91	7326	-3214	1,439	50,88
6	5940	1,146e+004	96,11	121,5	25,43	25,45	94,96	106,5	6,232	45,43	100,2	105,8	9,454	119,3	100,3	1,101	1,043e+005	2641	-1320	2432	-2287	8,291	69,70	95,78	27,53	2716	-3224	2,187	50,86
7	6935	1,279e+004	104,1	127,3	23,29	23,31	111,2	105,0	8,319	46,72	96,64	104,3	8,640	123,0	96,09	1,002	3,050e+004	2620	-1396	2219	-2314	9,235	71,40	108,3	24,48	3788	-3147	1,831	55,93
8	7211	1,319e+004	106,2	127,5	21,27	21,54	127,5	104,2	6,506	45,40	97,70	100,2	9,379	124,2	91,28	0,9432	9,622e+004	2586	-1416	2410	-1768	10,49	67,12	116,4	22,36	4049	-3162	1,781	49,00
9	7418	1,125e+004	96,59	114,1	17,51	17,55	111,0	103,7	5,466	41,68	98,23	101,9	11,29	116,5	100,8	1,055	2,853e+004	2518	-1478	2104	-2065	7,607	70,23	95,78	20,05	3919	-3500	1,893	48,19
10	6864	1,117e+004	91,57	108,1	16,58	16,85	96,03	102,3	6,123	42,98	96,21	101,2	8,086	122,0	97,58	1,105	2,255e+004	2394	-1450	1345	-2432	6,964	65,35	93,84	18,50	3415	-3450	2,010	51,55
11	5632	9876	81,97	99,63	17,66	18,44	93,99	101,9	7,874	43,25	94,07	96,50	7,874	120,5	94,09	1,177	2,668e+004	2538	-1526	1022	-1538	8,921	65,67	87,12	18,17	2156	-3476	2,613	51,83
12	3860	7873	63,38	80,40	17,02	17,02	68,58	100,3	5,555	42,44	94,71	100,1	8,955	124,2	103,2	1,580	3,869e+004	2408	-1464	1551	-1587	9,701	68,47	61,41	17,34	470,8	-3389	8,198	47,40
13	4853	8437	72,27	81,98	9,703	10,58	81,00	100,8	5,179	39,61	95,58	93,74	10,04	116,7	103,0	1,297	2,514e+004	2381	-1505	1415	-1443	6,916	64,49	70,18	9,751	1375	-3479	3,530	47,05
14	4496	7677	63,08	73,74	10,66	10,68	69,80	99,29	5,924	41,00	93,37	98,21	7,313	121,7	99,86	1,557	1,890e+004	2305	-1416	1276	-1212	7,039	65,09	63,17	11,70	1134	-3361	3,963	53,31
15	3465	6431	53,80	66,32	12,52	12,55	66,32	98,58	7,313	40,64	91,27	96,35	7,313	119,5	94,55	1,791	1,681e+004	2367	-1512	528,3	-886,2	9,208	63,72	56,91	12,88	74,74	-3390	46,35	49,77
16	2548	5400	44,28	51,48	7,192	7,826	50,63	96,62	4,625	39,14	91,99	96,62	8,476	122,0	114,6	2,182	1,071e+004	2264	-1464	612,0	-668,5	7,922	69,38	38,66	7,222	-855,0	-3403	-2,980	45,25
17	2484	4417	36,30	41,31	5,018	5,018	39,27	97,91	4,686	39,21	93,22	97,19	8,887	121,7	108,1	2,678	7736	2319	-1491	562,0	-633,2	5,863	65,98	33,58	6,034	-892,1	-3376	-2,785	46,27
18	1826	3861	31,92	35,96	4,049	4,049	33,27	98,05	5,726	40,03	92,33	97,09	6,164	121,0	116,9	3,042	8935	2388	-1485	375,1	-604,5	6,020	60,56	27,31	5,400	-1422	-3249	-1,284	53,77
19	1846	4037	31,62	35,62	3,995	4,007	35,62	96,62	6,684	41,28	89,94	93,67	6,718	127,7	119,1	2,962	8676	2305	-1471	437,6	-473,1	8,182	66,92	26,55	4,865	-1478	-3324	-1,249	46,80
20	1648	4338	29,64	32,41	2,766	2,810	32,41	94,71	4,631	43,67	90,08	93,18	9,666	146,3	136,9	3,144	6951	2087	-1471	310,6	-438,4	5,322	61,38	21,65	3,405	-1724	-3373	-0,9559	45,20
21	934,7	2559	23,24	26,08	2,838	2,838	19,10	90,68	5,199	31,97	85,48	90,62	5,199	110,1	160,4	3,899	6492	1731	-1272	339,6	-356,0	7,443	58,93	14,49	3,525	-2375	-3309	-0,3936	61,87
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	6047	1,101e+004	91,85	108,1	16,26	16,44	97,17	101,4	6,177	42,52	95,20	99,46	8,794	121,3	107,9	1,595	6,546e+004	2439	-1418	1895	-2108	13,30	66,82	89,22	17,89	2723	-3324	3,415	50,67
Min	934,7	2559	23,24	26,08	2,766	2,810	19,10	90,68	4,625	31,97	85,48	90,62	5,199	110,1	90,63	0,4209	6492	1731	-1526	310,6	-8024	5,322	58,93	14,49	3,405	-2375	-3673	-2,980	45,20
Max	1,639e+004	2,884e+004	248,5	283,2	34,68	35,43	199,9	107,5	8,319	47,97	100,5	105,8	11,46	146,3	160,4	3,899	4,799e+005	2743	-1259	6091	-356,0	78,80	73,47	229,2	39,61	1,272e+004	-2992	46,35	61,87
Count	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
