	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	5,624e+004	1,914e+005	558,2	701,6	127,4	134,9	638,2	116,7	3,585	70,13	113,2	111,0	4,481	342,9	81,22	0,1989	2,226e+005	9304	-5288	1,435e+004	-1,692e+004	5,076	69,08	687,3	128,6	6,841e+004	1,217e+004	0,8221	15,40
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	5,524e+004	1,741e+005	528,0	651,0	114,6	137,6	579,3	118,0	2,230	66,85	115,8	113,5	3,455	329,7	81,27	0,2150	5,730e+004	9633	-5117	1,220e+004	-1,281e+004	3,455	76,21	649,7	128,3	6,622e+004	1,098e+004	0,8341	14,67
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	4,623e+004	1,474e+005	439,7	560,6	106,3	127,3	503,5	110,5	-1,402	59,86	111,9	106,9	3,510	335,2	79,81	0,2431	1,899e+005	8942	-5234	1,095e+004	-1,197e+004	3,510	71,37	551,0	119,5	5,528e+004	9054	0,8362	13,12
7	3,929e+004	1,227e+005	378,3	486,7	91,94	105,0	404,4	111,1	0,3421	58,66	110,8	105,5	2,908	324,3	79,77	0,2788	2,120e+005	9222	-5282	9579	-1,002e+004	1,984	69,65	474,2	98,88	4,691e+004	7615	0,8377	13,58
8	3,309e+004	1,065e+005	323,1	430,0	96,37	103,8	374,0	105,2	-1,991	54,19	107,2	101,6	3,441	329,7	76,57	0,3144	1,605e+005	8750	-5398	1,062e+004	-8551	-0,2121	68,55	422,0	97,42	4,021e+004	7120	0,8230	12,57
9	3,602e+004	1,193e+005	359,8	454,1	79,32	91,10	408,3	102,5	-2,709	52,23	105,2	97,20	1,115	331,5	81,18	0,2702	1,916e+005	9256	-5350	5426	-1,096e+004	-0,6362	71,82	443,2	84,20	4,174e+004	5719	0,8630	12,28
10	2,385e+004	8,099e+004	245,7	329,4	74,78	89,68	298,0	100,1	-0,9715	48,95	101,1	93,67	0,7457	329,7	74,84	0,3813	4,427e+004	8675	-5261	4608	-6012	0,9099	69,97	328,3	84,60	2,976e+004	5915	0,8013	12,26
11	2,558e+004	8,788e+004	266,6	333,6	63,31	74,02	302,0	98,00	-3,817	46,45	101,8	88,03	1,485	329,7	80,12	0,3302	3,656e+004	8873	-5063	5535	-6006	-2,709	61,31	332,7	68,82	2,978e+004	4191	0,8593	11,89
12	2,337e+004	8,530e+004	257,3	307,4	34,46	68,84	289,5	93,26	-1,833	43,30	95,09	76,10	-1,512	331,5	83,74	0,2957	1,837e+004	8319	-4898	7065	-5662	-1,574	61,76	307,3	61,31	2,677e+004	3399	0,8730	11,77
13	2,264e+004	8,292e+004	250,1	288,4	26,25	43,26	271,2	94,23	-1,608	43,19	95,84	70,87	0,6089	331,5	88,10	0,2833	8,250e+004	8524	-4679	5978	-6425	-1,594	60,09	283,9	38,90	2,455e+004	1909	0,9222	11,72

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	3,616e+004	1,198e+005	360,7	454,3	81,48	97,56	406,8	105,0	-0,8175	54,38	105,8	96,44	2,024	331,6	80,66	0,2811	1,216e+005	8950	-5157	8631	-9534	0,8210	67,98	448,0	91,05	4,296e+004	6808	0,8472	12,93
Min	2,264e+004	8,099e+004	245,7	288,4	26,25	43,26	271,2	93,26	-3,817	43,19	95,09	70,87	-1,512	324,3	74,84	0,1989	1,837e+004	8319	-5398	4608	-1,692e+004	-2,709	60,09	283,9	38,90	2,455e+004	1909	0,8013	11,72
Max	5,624e+004	1,914e+005	558,2	701,6	127,4	137,6	638,2	118,0	3,585	70,13	115,8	113,5	4,481	342,9	88,10	0,3813	2,226e+005	9633	-4679	1,435e+004	-5662	5,076	76,21	687,3	128,6	6,841e+004	1,217e+004	0,9222	15,40
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
