	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	3,433e+004	1,045e+005	317,0	504,6	179,8	191,6	402,7	121,4	1,478	72,37	119,9	116,0	6,540	329,7	63,72	0,3659	1,192e+005	8709	-4625	1,208e+004	-8708	2,374	77,92	497,4	182,1	5,809e+004	2,376e+004	0,5910	15,16
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	3,352e+004	9,978e+004	314,3	504,4	168,2	194,1	407,2	118,7	1,184	67,05	117,5	114,9	4,392	317,5	64,64	0,3654	1,806e+005	8880	-4693	1,116e+004	-9040	1,690	76,82	486,3	181,4	5,633e+004	2,281e+004	0,5951	14,99
4	3,449e+004	1,054e+005	328,6	490,8	159,1	179,7	423,9	120,1	3,783	68,45	116,3	117,2	5,316	320,9	66,95	0,3568	5,398e+004	8805	-4796	1,219e+004	-6057	4,426	82,88	490,8	168,4	5,669e+004	2,220e+004	0,6083	15,71
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	3,262e+004	9,668e+004	306,1	487,0	150,7	170,5	399,3	116,4	-0,6362	63,21	117,0	111,5	5,412	315,8	65,83	0,3642	3,494e+005	8866	-4905	1,001e+004	-8406	-0,5336	76,27	465,0	161,8	5,300e+004	2,038e+004	0,6155	14,39
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	3,254e+004	9,862e+004	304,1	463,9	139,8	156,5	391,2	114,2	-1,936	62,01	116,2	110,3	5,145	324,3	67,46	0,3626	2,602e+005	8887	-5001	8541	-7091	-1,143	79,46	450,8	148,6	5,143e+004	1,889e+004	0,6327	13,92
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	2,773e+004	9,121e+004	278,2	414,5	104,8	131,6	312,7	108,0	0,6773	58,32	107,4	103,4	3,749	327,9	69,80	0,3715	3,061e+005	9010	-5186	6002	-5831	1,060	76,35	398,5	122,4	4,431e+004	1,659e+004	0,6257	13,87
12	3,066e+004	1,289e+005	315,8	426,6	93,84	118,0	327,9	104,3	1,813	68,11	102,5	98,10	2,511	408,2	75,59	0,3107	1,841e+005	9051	-5165	6274	-7672	2,928	68,71	417,7	108,8	4,621e+004	1,554e+004	0,6637	13,46
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	1,831e+004	6,570e+004	203,7	269,0	54,05	60,62	200,5	94,83	-1,081	44,30	95,92	83,71	1,519	322,6	78,10	0,4110	1,394e+005	8004	-4714	5974	-4686	0,1231	60,78	260,8	55,98	2,937e+004	1,106e+004	0,6233	12,33
16	2,346e+004	8,224e+004	250,8	310,5	40,05	47,78	262,7	94,97	-4,679	45,51	99,65	81,97	0,6978	327,9	84,93	0,3268	2,153e+005	8969	-4549	4872	-5798	-4,098	65,33	295,3	43,58	3,277e+004	9309	0,7159	12,24
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	1,888e+004	6,807e+004	208,7	258,1	30,66	38,45	201,8	94,64	-1,587	44,57	96,22	82,66	1,526	326,1	85,77	0,3960	1,701e+005	8654	-4474	3690	-5954	-0,2600	64,40	243,4	34,27	2,808e+004	9204	0,6722	12,39
19	1,657e+004	6,117e+004	187,6	228,6	32,44	38,03	178,8	89,48	-4,782	39,00	94,26	75,80	0,006842	326,1	84,32	0,4040	8,862e+004	7998	-4556	4156	-5235	-4,098	57,26	222,5	34,57	2,541e+004	8840	0,6521	10,62
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

