	SW (mmHg*킠)	Ves (킠)	Ved (킠)	Pes (mmHg)	Ped (mmHg)	dP/dt max (mmHg/s)
1	1,966e+004	87,64	392,6	78,18	4,591	4221
2	1,511e+004	83,45	311,7	76,81	4,118	4105
3	1,094e+004	79,71	306,0	75,23	3,345	3852
4	4795	75,45	180,4	71,41	2,121	3407
5	3090	68,19	143,2	68,31	1,594	3031
6	2370	63,42	130,6	64,55	1,218	2682
7	1787	61,19	122,6	61,87	0,8415	2408
8	1438	60,10	114,9	60,81	0,6910	2182

	SW (mmHg*킠)	Ves (킠)	Ved (킠)	Pes (mmHg)	Ped (mmHg)	dP/dt max (mmHg/s)
Avg	7398	72,39	212,8	69,65	2,315	3236
Min	1438	60,10	114,9	60,81	0,6910	2182
Max	1,966e+004	87,64	392,6	78,18	4,591	4221
Count	8	8	8	8	8	8
