	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	4,875e+004	1,641e+005	434,9	564,8	129,8	133,3	440,6	154,9	-0,2120	78,08	155,1	150,9	2,620	377,4	92,29	0,3469	1,518e+006	1,402e+004	-1,141e+004	1,182e+004	-1,342e+004	0,3215	112,9	471,3	131,5	1,932e+005	1,444e+005	0,2524	9,300
2	4,946e+004	1,578e+005	420,7	543,1	122,4	127,9	427,1	152,4	-0,5540	74,83	153,0	146,1	0,2394	375,0	88,96	0,3474	1,301e+006	1,378e+004	-1,204e+004	1,163e+004	-1,276e+004	-0,02052	108,7	472,9	122,4	1,872e+005	1,377e+005	0,2642	8,599
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	4,825e+004	1,606e+005	422,9	539,6	116,7	121,4	422,5	155,6	1,313	80,06	154,3	148,9	4,138	379,7	93,35	0,3521	1,220e+006	1,399e+004	-1,109e+004	1,417e+004	-1,523e+004	1,943	104,2	453,0	117,2	1,896e+005	1,413e+005	0,2546	9,725
6	5,165e+004	1,675e+005	444,0	576,6	132,6	136,5	483,4	154,8	-0,3420	77,86	155,1	149,2	1,703	377,4	90,69	0,3361	1,520e+006	1,406e+004	-1,136e+004	1,083e+004	-1,276e+004	140,3	113,0	489,5	133,5	1,944e+005	1,428e+005	0,2657	9,283
7	5,051e+004	1,698e+005	452,9	572,2	119,3	122,6	418,3	152,1	-0,6361	74,33	152,7	146,3	0,2189	375,0	94,87	0,3230	1,541e+006	1,376e+004	-1,192e+004	1,130e+004	-1,467e+004	-0,3488	103,2	477,4	120,1	1,884e+005	1,379e+005	0,2680	8,479
8	4,623e+004	1,645e+005	436,0	551,2	115,2	119,8	423,2	150,4	-0,2257	73,78	150,7	145,3	0,3146	377,4	96,25	0,3332	1,865e+006	1,365e+004	-1,242e+004	1,386e+004	-1,280e+004	0,3762	105,0	453,0	115,3	1,829e+005	1,366e+005	0,2528	8,586
9	4,696e+004	1,628e+005	434,0	543,5	109,5	113,9	473,7	153,4	0,6566	76,81	152,7	147,7	0,6566	375,0	99,85	0,3403	1,590e+006	1,381e+004	-1,217e+004	1,155e+004	-1,375e+004	137,7	99,95	434,7	109,9	1,869e+005	1,399e+005	0,2513	9,305
10	4,739e+004	1,663e+005	440,6	561,2	120,6	125,3	427,5	157,0	1,642	80,81	155,4	151,9	4,131	377,4	97,51	0,3449	1,637e+006	1,395e+004	-1,127e+004	1,572e+004	-1,532e+004	2,606	111,5	451,8	121,8	1,923e+005	1,449e+005	0,2465	9,818
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	4,864e+004	1,693e+005	451,6	561,5	109,9	114,2	407,0	154,6	0,3283	76,66	154,2	149,3	0,3283	375,0	97,61	0,3305	1,652e+006	1,378e+004	-1,254e+004	1,225e+004	-1,486e+004	134,9	102,3	462,7	110,5	1,898e+005	1,412e+005	0,2562	9,030
14	4,691e+004	1,503e+005	395,9	512,8	116,9	120,9	432,8	156,8	1,518	80,37	155,3	150,5	4,001	379,7	89,91	0,3802	1,140e+006	1,384e+004	-1,159e+004	1,566e+004	-1,404e+004	2,018	112,7	440,3	117,8	1,901e+005	1,432e+005	0,2468	9,653
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	5,137e+004	1,668e+005	444,8	558,9	114,1	121,4	449,8	154,4	0,1915	76,60	154,2	147,6	0,1915	375,0	94,15	0,3319	1,345e+006	1,375e+004	-1,249e+004	1,114e+004	-1,434e+004	3,365	102,3	472,4	114,1	1,907e+005	1,393e+005	0,2694	8,918
18	4,266e+004	1,483e+005	390,6	505,9	115,3	118,9	404,4	157,2	2,695	80,99	154,5	151,3	3,947	379,7	93,77	0,3873	1,241e+006	1,382e+004	-1,189e+004	1,332e+004	-1,458e+004	3,372	112,4	416,6	116,9	1,872e+005	1,445e+005	0,2279	9,620
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	4,941e+004	1,604e+005	427,6	546,8	119,2	122,9	430,9	153,3	-0,4856	74,88	153,7	147,5	0,2189	375,0	91,85	0,3449	1,389e+006	1,377e+004	-1,224e+004	1,196e+004	-1,325e+004	-0,02736	102,6	465,6	120,3	1,887e+005	1,393e+005	0,2618	8,532
22	4,518e+004	1,590e+005	423,9	532,0	108,1	112,0	402,2	154,4	0,5404	76,84	153,8	148,6	0,5404	375,0	95,74	0,3506	1,677e+006	1,379e+004	-1,226e+004	1,232e+004	-1,300e+004	136,2	106,5	442,7	109,2	1,861e+005	1,409e+005	0,2428	9,281
23	4,814e+004	1,560e+005	410,9	530,8	119,9	124,1	442,0	157,2	2,312	81,05	154,9	152,1	4,179	379,7	90,48	0,3701	1,205e+006	1,397e+004	-1,137e+004	1,411e+004	-1,361e+004	3,016	105,8	454,1	121,4	1,935e+005	1,453e+005	0,2488	9,747
24	4,992e+004	1,534e+005	406,5	543,3	136,8	141,5	481,9	156,5	-0,3967	79,05	156,9	151,1	2,633	377,4	85,99	0,3716	1,193e+006	1,400e+004	-1,124e+004	1,089e+004	-1,156e+004	0,2257	101,4	472,7	137,6	1,947e+005	1,448e+005	0,2564	9,395
25	5,162e+004	1,627e+005	433,8	552,8	119,0	123,0	456,8	153,2	-0,6908	75,02	153,9	146,8	0,3625	375,0	90,84	0,3384	1,287e+006	1,377e+004	-1,230e+004	1,088e+004	-1,299e+004	-0,3283	109,8	477,5	119,5	1,902e+005	1,386e+005	0,2714	8,466
26	4,578e+004	1,630e+005	432,1	548,3	116,2	120,7	386,3	150,8	0,2531	74,23	150,5	146,6	0,4104	377,4	96,33	0,3394	1,625e+006	1,358e+004	-1,196e+004	1,240e+004	-1,477e+004	123,1	97,13	448,5	116,8	1,842e+005	1,384e+005	0,2486	8,483
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	4,660e+004	1,464e+005	385,6	504,4	118,8	122,3	434,2	155,1	0,2941	79,04	154,8	149,3	3,899	379,7	88,50	0,3871	1,077e+006	1,399e+004	-1,135e+004	1,407e+004	-1,321e+004	0,7729	101,5	435,7	119,7	1,885e+005	1,419e+005	0,2472	9,412
29	5,058e+004	1,600e+005	426,5	551,4	124,9	127,8	485,7	153,1	-0,5882	75,64	153,7	147,3	0,7798	375,0	89,52	0,3454	1,333e+006	1,406e+004	-1,152e+004	9652	-1,165e+004	-0,1505	107,5	476,5	126,7	1,911e+005	1,405e+005	0,2647	8,998
30	4,782e+004	1,648e+005	439,4	553,6	114,2	118,3	388,0	149,8	-0,7798	72,45	150,6	145,6	0,1984	375,0	93,88	0,3315	1,606e+006	1,362e+004	-1,243e+004	1,201e+004	-1,358e+004	128,9	105,6	468,0	114,5	1,847e+005	1,368e+005	0,2590	8,342
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	4,163e+004	1,398e+005	368,0	477,1	109,1	112,6	398,0	153,3	2,490	78,27	150,8	148,2	3,878	379,7	90,10	0,4027	9,289e+005	1,375e+004	-1,159e+004	1,076e+004	-1,388e+004	3,276	108,0	408,5	110,2	1,824e+005	1,408e+005	0,2282	9,503
33	4,314e+004	1,492e+005	395,4	523,7	128,3	130,6	420,2	154,4	-0,2120	77,84	154,6	149,5	3,468	377,4	91,26	0,3780	1,189e+006	1,404e+004	-1,107e+004	1,199e+004	-1,437e+004	0,08892	107,4	433,3	130,9	1,868e+005	1,437e+005	0,2309	9,320
34	4,943e+004	1,574e+005	419,7	543,9	124,2	127,9	434,8	152,3	-0,7045	74,56	153,0	145,9	0,2462	375,0	87,71	0,3476	1,112e+006	1,380e+004	-1,226e+004	1,080e+004	-1,312e+004	-0,1984	107,7	478,5	124,5	1,876e+005	1,381e+005	0,2635	8,561
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	4,762e+004	1,493e+005	393,1	512,0	118,9	122,0	440,9	155,4	0,2668	78,88	155,2	149,1	3,714	379,7	88,30	0,3793	1,028e+006	1,397e+004	-1,127e+004	1,470e+004	-1,557e+004	0,5814	102,1	445,2	120,6	1,896e+005	1,420e+005	0,2512	9,414
38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	4,759e+004	1,589e+005	421,2	533,5	112,3	116,0	399,4	151,0	-0,7182	73,27	151,7	146,4	0,2120	377,4	92,22	0,3476	1,366e+006	1,356e+004	-1,270e+004	1,205e+004	-1,399e+004	-0,2257	107,0	456,7	113,0	1,851e+005	1,375e+005	0,2570	8,277
40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	4,336e+004	1,415e+005	372,5	482,5	110,0	113,3	404,7	153,9	1,382	78,23	152,5	147,9	3,851	379,7	88,65	0,3970	8,764e+005	1,380e+004	-1,162e+004	1,222e+004	-1,377e+004	2,127	113,1	420,2	111,7	1,837e+005	1,403e+005	0,2360	9,525
42	4,791e+004	1,605e+005	425,4	551,5	126,1	128,5	450,5	153,2	-0,4446	76,44	153,6	148,7	1,614	377,4	91,50	0,3494	1,293e+006	1,401e+004	-1,090e+004	1,002e+004	-1,374e+004	-0,09576	109,2	465,0	129,6	1,904e+005	1,425e+005	0,2516	9,224
43	4,919e+004	1,638e+005	436,9	554,6	117,7	122,7	397,1	150,2	-0,7045	73,04	151,0	145,8	0,01368	375,0	92,53	0,3336	1,423e+006	1,368e+004	-1,238e+004	1,147e+004	-1,392e+004	0,04788	99,47	472,2	117,8	1,863e+005	1,371e+005	0,2640	8,329

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	4,771e+004	1,584e+005	420,3	539,1	118,8	122,8	429,8	153,8	0,2823	76,89	153,5	148,3	1,818	377,0	92,23	0,3541	1,351e+006	1,384e+004	-1,182e+004	1,226e+004	-1,374e+004	28,41	106,2	455,7	119,8	1,885e+005	1,408e+005	0,2531	9,073
Min	4,163e+004	1,398e+005	368,0	477,1	108,1	112,0	386,3	149,8	-0,7798	72,45	150,5	145,3	0,01368	375,0	85,99	0,3230	8,764e+005	1,356e+004	-1,270e+004	9652	-1,557e+004	-0,3488	97,13	408,5	109,2	1,824e+005	1,366e+005	0,2279	8,277
Max	5,165e+004	1,698e+005	452,9	576,6	136,8	141,5	485,7	157,2	2,695	81,05	156,9	152,1	4,179	379,7	99,85	0,4027	1,865e+006	1,406e+004	-1,090e+004	1,572e+004	-1,156e+004	140,3	113,1	489,5	137,6	1,947e+005	1,453e+005	0,2714	9,818
Count	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
