	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,956e+004	9,257e+004	251,5	509,0	257,5	264,3	504,3	129,0	-1,218	55,13	130,2	117,9	2,079	368,1	50,94	0,4690	6,690e+004	1,268e+004	-1,040e+004	4234	-5998	0,05472	96,50	493,7	257,5	4,627e+004	1,671e+004	0,6389	8,672
3	2,712e+004	8,395e+004	229,5	466,6	237,2	246,4	463,2	127,1	-5,451	49,72	132,6	113,5	0,8892	365,9	51,03	0,4947	4,562e+004	1,249e+004	-1,131e+004	4344	-5861	-5,451	95,63	449,7	237,2	4,059e+004	1,347e+004	0,6681	8,194
4	2,466e+004	1,331e+005	228,5	419,9	191,4	197,1	419,9	123,1	-2,517	75,61	125,6	108,9	-2,517	582,5	56,61	0,4768	1,257e+005	1,220e+004	-1,098e+004	2220	-6287	-0,9508	90,08	403,6	194,2	3,618e+004	1,152e+004	0,6815	8,316
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	1,898e+004	7,675e+004	209,8	356,4	146,6	151,8	340,3	105,3	-3,502	35,40	108,8	91,23	-1,662	365,9	61,63	0,4349	2,445e+005	9658	-7510	2962	-8095	-2,490	77,56	340,4	150,4	2,621e+004	7231	0,7242	8,440
9	1,662e+004	7,204e+004	194,5	335,5	141,0	144,6	320,5	100,2	-3,646	33,29	103,9	87,93	-1,731	370,4	60,67	0,4521	2,149e+005	8618	-6984	3107	-8106	-2,688	75,19	320,6	145,0	2,353e+004	6912	0,7063	8,421
10	1,577e+004	6,854e+004	186,2	321,7	135,5	138,6	311,9	95,64	-3,899	30,87	99,54	84,21	-2,216	368,1	60,00	0,4522	1,559e+005	7948	-6320	2755	-8201	-3,741	70,51	310,3	140,5	2,219e+004	6429	0,7103	8,382
11	1,379e+004	6,434e+004	174,8	304,6	129,8	135,6	294,8	90,96	-4,131	28,78	95,10	80,49	-2,415	368,1	60,27	0,4605	1,738e+005	7196	-5739	2977	-8107	-4,036	64,86	290,0	132,4	1,969e+004	5896	0,7006	8,256
12	1,301e+004	6,354e+004	172,6	299,5	126,9	133,0	283,5	86,70	-4,289	26,95	90,99	77,33	-2,558	368,1	60,16	0,4480	1,504e+005	6518	-5793	2449	-7983	-4,131	61,74	286,9	130,2	1,870e+004	5689	0,6957	8,254
13	1,123e+004	6,174e+004	156,4	284,8	128,4	134,5	267,1	82,65	-4,309	27,47	86,96	74,43	-2,497	394,7	58,40	0,4759	1,270e+005	5896	-5321	2997	-7463	-3,119	24,95	267,8	132,6	1,694e+004	5707	0,6630	8,073
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	1,270e+004	6,462e+004	174,5	291,6	117,2	121,7	279,8	78,63	-4,330	24,92	82,96	69,88	-2,709	370,4	61,99	0,4005	8,801e+004	5855	-4966	2144	-7967	-4,138	26,39	281,5	119,8	1,746e+004	4756	0,7276	7,943
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	8635	5,214e+004	139,9	261,7	121,8	126,6	223,4	70,77	-4,542	21,53	75,31	63,02	-3,365	372,7	57,00	0,4505	7,843e+004	4966	-4624	1773	-7328	-4,542	23,48	245,5	126,0	1,393e+004	5291	0,6201	7,778
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
