	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	3,826e+004	1,070e+005	301,3	441,0	139,7	156,4	410,6	141,6	-1,436	66,15	143,0	138,8	1,560	355,0	69,63	0,4607	2,896e+005	1,481e+004	-9857	7239	-7492	0,8687	98,62	432,7	145,9	6,734e+004	2,908e+004	0,5682	8,553
2	4,436e+004	1,229e+005	342,1	503,8	161,7	166,3	445,8	145,2	-0,9440	69,28	146,2	142,8	1,861	359,3	68,03	0,4174	1,932e+005	1,498e+004	-9262	8112	-1,076e+004	1,163	93,59	502,9	161,8	7,707e+004	3,271e+004	0,5756	9,140
3	4,437e+004	1,213e+005	335,6	502,0	166,4	172,8	470,6	147,5	-0,9166	70,92	148,5	144,9	2,107	361,4	66,93	0,4318	1,083e+005	1,501e+004	-9098	7947	-9735	1,224	92,15	501,5	166,4	7,810e+004	3,373e+004	0,5681	9,447
4	4,410e+004	1,188e+005	330,7	492,9	162,3	168,9	473,5	147,8	-1,170	70,16	149,0	144,5	1,628	359,3	68,00	0,4370	6,535e+004	1,521e+004	-9194	5812	-8275	0,02736	96,94	486,3	162,3	7,731e+004	3,321e+004	0,5704	9,414
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	3,827e+004	1,100e+005	308,0	446,9	138,9	158,2	415,0	143,3	-1,395	67,69	144,7	139,6	1,607	357,1	72,13	0,4534	1,108e+005	1,489e+004	-9782	7316	-6210	1,361	101,7	426,9	147,0	6,749e+004	2,922e+004	0,5670	8,679
8	4,203e+004	1,136e+005	316,1	477,1	161,1	166,2	452,6	146,8	-0,9850	70,39	147,8	143,7	1,758	359,3	66,38	0,4546	7,257e+004	1,501e+004	-9289	8124	-7969	1,368	93,04	476,1	161,2	7,521e+004	3,318e+004	0,5588	9,344
9	4,497e+004	1,228e+005	339,8	508,0	168,3	173,3	474,1	148,7	-0,8619	71,97	149,6	145,6	1,984	361,4	66,94	0,4285	1,206e+005	1,504e+004	-9214	7872	-9551	1,197	106,8	507,6	168,5	7,933e+004	3,436e+004	0,5668	9,435
10	4,405e+004	1,209e+005	334,6	496,7	162,2	167,0	455,1	147,9	-1,040	70,63	149,0	145,2	1,826	361,4	67,39	0,4340	1,428e+005	1,529e+004	-9221	6587	-9977	1,122	100,5	496,4	162,5	7,782e+004	3,377e+004	0,5661	9,328
