	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	6462	5,041e+004	142,0	242,6	100,6	165,3	152,2	121,2	0,5130	55,71	120,7	115,5	3,078	355,0	71,67	0,8138	3,632e+005	6320	-5526	3492	-2396	98,81	69,58	198,1	152,1	3,868e+004	3,222e+004	0,1671	11,99
11	6572	5,145e+004	145,8	243,9	98,15	163,9	149,8	120,8	0,5061	55,04	120,3	115,9	2,907	352,9	70,32	0,7953	3,789e+005	6272	-5574	3779	-2761	97,00	79,89	207,3	154,0	3,921e+004	3,264e+004	0,1676	11,67
12	6505	5,077e+004	143,0	239,2	96,15	164,8	151,4	120,4	0,4514	55,24	120,0	115,4	3,057	355,0	70,13	0,8070	3,531e+005	6258	-5478	3572	-2493	93,76	76,03	203,9	152,2	3,876e+004	3,226e+004	0,1678	11,85
13	6102	4,815e+004	136,4	233,4	96,95	163,6	152,1	120,1	0,4924	54,68	119,6	114,3	2,941	352,9	69,27	0,8377	3,591e+005	6258	-5581	3649	-2102	96,64	73,64	196,9	152,0	3,797e+004	3,187e+004	0,1607	11,58
14	6205	4,906e+004	138,2	236,0	97,80	159,8	149,3	119,8	0,3693	54,90	119,5	114,4	3,221	355,0	71,26	0,8279	3,345e+005	6197	-5526	3418	-2382	71,72	65,54	193,9	149,7	3,825e+004	3,205e+004	0,1622	11,66
15	6154	4,986e+004	139,6	236,1	96,44	159,9	144,1	119,6	0,4240	55,08	119,2	114,5	2,961	357,1	68,66	0,8198	3,282e+005	6183	-5519	3504	-2563	33,52	80,86	203,3	150,8	3,831e+004	3,216e+004	0,1606	11,48
16	6219	4,876e+004	138,2	233,9	95,71	163,8	147,5	119,3	0,3215	54,19	119,0	113,9	2,791	352,9	69,73	0,8242	3,108e+005	6142	-5465	3427	-2362	81,51	69,30	198,1	151,0	3,798e+004	3,176e+004	0,1637	11,64
