	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	1,913e+004	7,002e+004	207,7	448,6	240,8	244,9	444,5	109,5	0,8618	50,28	108,6	108,5	2,243	337,1	47,55	0,5224	1,246e+005	6279	-5526	3149	-5663	1,416	82,76	436,9	243,5	4,261e+004	2,348e+004	0,4489	12,73
11	1,736e+004	6,592e+004	193,4	431,5	238,1	239,9	426,5	107,6	0,3967	49,25	107,2	106,8	2,216	340,9	45,24	0,5522	1,366e+005	6156	-5540	2841	-5464	1,867	71,68	427,4	244,2	4,073e+004	2,337e+004	0,4263	12,45
12	1,862e+004	6,957e+004	204,1	443,6	239,5	241,8	425,8	105,8	0,04787	47,41	105,7	104,2	1,470	340,9	46,76	0,5108	9,183e+004	6032	-5540	3609	-5736	0,3830	77,00	436,5	242,9	4,094e+004	2,233e+004	0,4547	12,19
13	1,777e+004	6,779e+004	200,0	433,3	233,4	235,7	421,8	103,9	-0,4377	45,20	104,3	101,1	1,033	339,0	46,63	0,5053	9,842e+004	5896	-5499	3444	-5813	0,04103	74,09	428,9	236,5	3,937e+004	2,161e+004	0,4512	12,05
14	1,816e+004	7,175e+004	210,5	439,8	229,4	231,9	434,5	101,9	-0,7592	43,69	102,6	98,76	0,7250	340,9	49,38	0,4692	1,072e+005	5725	-5369	3935	-5950	-0,06156	74,13	426,2	233,6	3,932e+004	2,117e+004	0,4617	11,87
15	1,730e+004	7,431e+004	219,2	439,7	220,5	222,3	439,7	99,72	-0,9439	41,72	100,7	95,70	0,2120	339,0	53,18	0,4365	1,062e+005	5540	-5410	3632	-5137	-0,4104	70,48	412,2	225,0	3,788e+004	2,057e+004	0,4568	11,88
