	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2,665e+004	9,183e+004	260,2	511,4	251,2	253,0	490,6	119,1	1,245	56,94	117,8	118,5	3,830	352,9	50,88	0,4556	1,257e+005	7558	-5902	4894	-8081	2,476	84,94	511,4	257,1	4,497e+004	1,832e+004	0,5926	12,69
6	2,883e+004	9,982e+004	284,5	536,0	251,5	253,7	507,7	117,3	0,9028	55,17	116,4	116,6	3,440	350,9	53,14	0,4098	1,135e+005	7510	-5923	4278	-7069	2,353	82,42	535,4	256,0	4,706e+004	1,823e+004	0,6127	12,69
7	2,726e+004	9,760e+004	279,8	526,9	247,1	248,9	487,2	115,1	0,6497	53,00	114,5	114,2	2,920	348,8	53,15	0,4084	1,592e+005	7352	-5855	3382	-8639	2,312	81,57	526,3	253,1	4,537e+004	1,811e+004	0,6008	12,44
8	2,574e+004	9,117e+004	261,4	508,9	247,6	249,9	482,9	112,6	0,09575	50,79	112,5	111,4	2,667	348,8	51,46	0,4262	1,216e+005	7175	-5827	3481	-7931	1,074	77,35	507,9	253,1	4,334e+004	1,760e+004	0,5939	12,28
9	2,299e+004	8,177e+004	234,4	474,4	240,0	243,6	466,2	110,1	-0,4241	48,08	110,5	107,8	2,134	348,8	49,44	0,4600	9,858e+004	6976	-5841	3527	-7283	0,9028	76,99	474,2	243,6	3,933e+004	1,634e+004	0,5845	12,12
10	2,218e+004	8,192e+004	234,8	448,6	213,7	216,7	448,1	107,3	-0,8207	45,40	108,1	103,2	1,799	348,8	52,36	0,4394	1,096e+005	6641	-5602	3517	-7686	7,400	72,53	448,5	215,5	3,570e+004	1,352e+004	0,6214	12,04
11	2,204e+004	8,705e+004	248,1	436,2	188,1	190,5	435,0	104,1	-1,081	42,99	105,2	98,73	1,382	350,9	58,42	0,3980	1,141e+005	6361	-5492	3516	-7428	6,682	73,66	424,7	191,7	3,269e+004	1,066e+004	0,6740	11,99
12	2,018e+004	8,601e+004	248,0	411,3	163,3	165,9	407,5	100,9	-1,388	40,04	102,3	94,23	0,8618	346,8	64,74	0,3800	1,208e+005	5889	-5301	3840	-7234	5,882	69,66	383,1	166,1	2,832e+004	8138	0,7127	11,97
13	1,611e+004	7,831e+004	224,5	368,9	144,4	147,4	368,8	97,13	-1,518	37,72	98,65	88,45	0,9028	348,8	69,02	0,3940	1,166e+005	5458	-4972	4259	-5451	1,683	68,42	325,2	146,4	2,239e+004	6281	0,7195	12,03
