	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,710e+004	1,091e+005	305,6	484,5	178,8	187,5	411,7	154,3	5,076	77,54	149,3	147,6	8,578	357,1	66,41	0,4830	5,684e+005	1,115e+004	-9467	6507	-7281	5,390	102,9	460,2	179,0	12,11
2	4,293e+004	1,243e+005	345,9	507,1	161,2	173,3	437,5	154,6	7,572	78,90	147,0	145,2	7,572	359,3	71,15	0,4197	5,308e+005	1,098e+004	-9262	8074	-7391	8,530	108,4	486,1	162,5	12,73
3	3,894e+004	1,194e+005	332,4	475,9	143,5	146,8	402,3	157,3	7,996	81,61	149,3	150,5	10,51	359,3	74,65	0,4527	6,578e+005	1,133e+004	-9187	7771	-8595	8,592	104,2	445,3	144,6	13,28
4	3,735e+004	1,090e+005	303,3	471,8	168,5	174,3	425,0	157,3	6,403	80,73	150,9	151,3	10,31	359,3	66,47	0,4991	3,948e+005	1,150e+004	-8927	7829	-8135	6,601	110,2	456,2	170,1	13,29
5	4,025e+004	1,173e+005	328,4	504,5	176,1	186,2	456,3	155,8	5,377	78,48	150,5	148,4	8,167	357,1	68,72	0,4520	6,211e+005	1,126e+004	-9310	6764	-7867	5,712	107,1	477,9	176,1	12,30
6	3,890e+004	1,179e+005	330,1	482,8	152,7	160,0	414,6	153,3	6,929	76,66	146,3	145,2	7,504	357,1	73,73	0,4399	7,171e+005	1,087e+004	-9707	6648	-7175	7,367	100,0	447,7	152,7	12,16
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	3,964e+004	1,181e+005	330,8	481,7	150,9	158,6	426,5	152,8	5,896	76,11	146,9	144,6	7,695	357,1	73,07	0,4370	5,861e+005	1,100e+004	-9679	7045	-8365	6,026	101,3	452,7	150,9	12,02
10	3,746e+004	1,156e+005	321,8	467,5	145,7	151,0	400,8	150,9	5,773	75,03	145,2	145,0	7,771	359,3	73,47	0,4506	6,285e+005	1,077e+004	-9734	6655	-7789	6,197	101,7	438,0	146,5	11,86
11	3,966e+004	1,197e+005	335,2	474,2	139,0	143,6	399,7	151,1	6,382	75,09	144,7	146,3	7,723	357,1	75,08	0,4365	5,922e+005	1,087e+004	-9659	6660	-7718	6,710	97,33	446,4	139,9	11,99
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	4,014e+004	1,217e+005	340,7	495,8	155,1	161,6	421,1	151,7	5,110	75,20	146,6	144,9	7,894	357,1	73,06	0,4253	6,512e+005	1,088e+004	-9440	6426	-7713	5,336	100,3	466,4	155,6	11,95
15	3,870e+004	1,168e+005	327,1	477,2	150,1	157,7	407,8	150,3	5,212	74,04	145,1	143,7	7,429	357,1	72,84	0,4393	6,227e+005	1,071e+004	-9672	6600	-7787	5,979	106,7	449,1	150,1	11,68
