	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	5,224e+004	1,410e+005	373,6	626,8	253,2	269,9	455,9	192,6	12,67	114,3	179,9	182,4	12,70	377,4	65,66	0,4881	1,102e+006	1,291e+004	-7942	1,671e+004	-9209	12,81	129,3	569,1	254,6	16,07
2	4,785e+004	1,298e+005	348,4	639,5	291,1	300,8	459,6	192,3	11,01	112,6	181,3	184,2	12,76	372,7	59,50	0,5288	1,036e+006	1,306e+004	-7572	1,588e+004	-8561	12,76	125,4	585,5	292,9	16,16
3	5,793e+004	1,598e+005	428,7	686,4	257,7	292,8	518,0	191,5	11,12	111,7	180,4	181,9	11,12	372,7	69,29	0,4243	1,205e+006	1,301e+004	-8229	1,456e+004	-8876	12,87	121,0	618,8	277,6	15,89
4	5,326e+004	1,526e+005	396,9	642,5	245,7	264,8	477,4	192,9	11,15	116,0	181,8	182,3	14,29	384,6	69,49	0,4593	1,255e+006	1,289e+004	-7990	1,705e+004	-9617	11,23	115,6	571,1	254,3	15,93
5	4,837e+004	1,405e+005	376,9	658,7	281,8	290,3	469,0	192,9	11,32	113,0	181,6	183,1	11,32	372,7	64,29	0,4857	1,345e+006	1,313e+004	-7531	1,608e+004	-1,166e+004	11,81	125,5	586,3	284,0	16,35
6	5,534e+004	1,535e+005	414,4	685,7	271,3	289,3	507,0	191,9	11,64	111,5	180,2	180,7	11,64	370,4	68,75	0,4361	1,383e+006	1,299e+004	-8010	1,705e+004	-9751	12,43	117,9	602,8	274,3	15,92
7	5,413e+004	1,477e+005	384,1	638,7	254,5	267,6	527,8	193,3	11,92	116,8	181,4	182,1	14,31	384,6	66,96	0,4742	1,164e+006	1,302e+004	-7860	1,659e+004	-9152	11,92	122,9	573,6	254,6	16,21
8	4,818e+004	1,284e+005	344,6	637,0	292,4	304,1	462,0	192,8	11,08	112,8	181,7	185,1	12,00	372,7	58,54	0,5371	8,855e+005	1,306e+004	-7559	1,634e+004	-7919	11,37	119,6	588,7	293,1	16,32
9	6,113e+004	1,653e+005	443,4	701,2	257,8	293,2	533,0	191,9	11,29	112,4	180,7	181,9	11,29	372,7	70,22	0,4103	1,179e+006	1,297e+004	-8024	1,623e+004	-9042	13,23	125,9	631,5	273,2	16,17
10	5,490e+004	1,495e+005	391,2	641,8	250,6	271,6	499,9	193,1	11,85	116,3	181,2	181,9	14,75	382,2	66,83	0,4650	1,067e+006	1,294e+004	-7819	1,660e+004	-9356	12,00	126,1	585,3	256,0	16,07
11	4,833e+004	1,359e+005	362,5	654,0	291,5	299,5	475,2	192,6	10,61	113,2	182,0	184,5	12,05	375,0	60,85	0,5091	1,049e+006	1,317e+004	-7702	1,570e+004	-9836	10,81	125,0	595,7	295,8	16,10
