	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2,363e+004	8,005e+004	182,8	409,7	227,0	230,1	358,2	141,7	4,405	80,64	137,3	137,6	8,023	438,0	44,62	0,7527	8,380e+004	1,122e+004	-8625	7650	-4987	8,023	95,73	409,6	227,4	4,586e+004	2,223e+004	0,5153	11,13
4	2,241e+004	7,681e+004	176,7	397,3	220,7	225,2	356,3	141,7	4,083	79,12	137,7	137,3	7,086	434,8	44,72	0,7770	7,014e+004	1,129e+004	-8707	6194	-4129	7,086	95,85	395,0	221,5	4,457e+004	2,216e+004	0,5028	11,08
5	2,067e+004	7,267e+004	167,1	384,1	217,0	220,2	341,9	140,2	3,413	76,13	136,8	135,0	6,559	434,8	43,53	0,8077	1,154e+005	1,105e+004	-9144	5638	-4857	4,555	95,20	384,0	220,8	4,266e+004	2,199e+004	0,4846	10,68
6	2,247e+004	7,793e+004	179,2	386,6	207,4	212,6	345,6	138,2	2,873	72,96	135,4	131,0	5,991	434,8	46,66	0,7310	7,019e+004	1,100e+004	-9698	5305	-4394	3,242	94,99	384,2	207,5	4,233e+004	1,986e+004	0,5309	10,13
7	2,080e+004	7,609e+004	175,0	368,6	193,6	196,5	338,5	134,9	2,496	68,30	132,4	126,2	5,307	434,8	48,23	0,7209	8,403e+004	1,059e+004	-1,014e+004	5381	-4188	3,830	91,42	362,9	195,1	3,974e+004	1,894e+004	0,5234	9,675
8	2,142e+004	7,988e+004	182,4	362,3	179,9	183,0	331,9	131,4	2,120	64,55	129,3	122,6	4,849	438,0	50,87	0,6724	8,429e+004	1,034e+004	-1,048e+004	5346	-4533	2,893	90,35	358,5	182,5	3,895e+004	1,753e+004	0,5500	9,305
9	2,080e+004	7,882e+004	181,3	347,6	166,3	171,4	322,0	127,0	1,566	59,31	125,4	116,0	3,960	434,8	52,81	0,6400	5,984e+004	9835	-9931	4238	-4627	2,941	87,55	343,3	167,2	3,636e+004	1,557e+004	0,5719	9,014
10	1,967e+004	7,828e+004	178,7	332,3	153,6	157,7	302,8	123,1	1,279	56,00	121,8	111,7	3,406	438,0	54,00	0,6249	9,847e+004	9459	-9596	4323	-4934	2,284	87,61	331,0	155,8	3,436e+004	1,468e+004	0,5726	8,866
11	1,841e+004	7,497e+004	172,4	320,9	148,5	154,8	292,5	118,3	0,9302	51,78	117,4	106,9	2,667	434,8	54,62	0,6200	5,735e+004	8802	-9486	4140	-4515	2,667	84,58	315,7	148,7	3,172e+004	1,330e+004	0,5806	8,706
12	1,764e+004	7,408e+004	169,1	301,9	132,8	137,4	276,2	114,5	0,4856	49,20	114,0	103,4	2,435	438,0	56,26	0,6113	5,496e+004	8365	-9480	3626	-5540	1,327	75,96	300,7	133,3	2,990e+004	1,226e+004	0,5898	8,536
