	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	1,461e+004	5,135e+004	136,1	248,7	112,6	117,3	217,7	153,2	12,89	83,49	140,3	149,4	13,08	377,4	60,53	1,098	4,633e+005	1,067e+004	-1,143e+004	6193	-4561	12,92	110,2	224,8	112,7	2,380e+004	9190	0,6138	15,07
2	2,172e+004	6,237e+004	166,3	267,6	101,3	105,7	245,2	154,2	11,87	82,25	142,3	151,5	14,65	375,0	62,82	0,9112	1,014e+005	1,045e+004	-1,252e+004	6334	-4758	11,89	112,1	264,7	101,4	2,932e+004	7606	0,7406	14,14
3	1,798e+004	5,514e+004	146,1	254,0	107,8	110,9	243,2	150,5	10,98	79,89	139,5	148,2	12,68	377,4	58,97	1,014	1,925e+005	1,042e+004	-1,107e+004	5108	-3666	11,43	105,2	247,8	107,8	2,661e+004	8637	0,6755	13,93
4	2,054e+004	6,092e+004	163,5	255,6	92,10	96,08	222,9	152,3	9,442	77,48	142,8	150,8	13,22	372,7	64,58	0,9222	1,447e+005	1,011e+004	-1,320e+004	6134	-3951	10,69	108,9	253,1	92,16	2,675e+004	6203	0,7681	13,93
5	2,075e+004	6,086e+004	161,3	257,7	96,43	98,45	247,8	149,5	7,459	75,70	142,0	147,0	13,48	377,4	63,23	0,9115	5,286e+004	1,010e+004	-1,278e+004	5234	-4445	8,334	115,6	255,1	96,58	2,737e+004	6619	0,7582	13,30
6	1,782e+004	5,433e+004	145,8	233,1	87,34	89,29	209,7	147,9	7,883	71,80	140,0	145,4	10,04	372,7	63,70	0,9976	1,386e+005	9647	-1,277e+004	5390	-3961	9,100	103,3	228,9	87,52	2,311e+004	5297	0,7708	13,53
7	1,885e+004	5,667e+004	151,1	230,5	79,35	80,74	218,8	148,5	6,878	71,42	141,6	145,1	12,48	375,0	66,26	0,9604	6,234e+004	9647	-1,385e+004	4683	-3976	8,369	105,6	228,1	80,15	2,325e+004	4404	0,8106	13,49
8	1,701e+004	5,349e+004	141,8	224,5	82,75	84,41	219,4	141,1	4,909	67,47	136,2	138,3	9,681	377,4	64,22	0,9755	6,102e+004	9182	-1,292e+004	4808	-3814	6,379	105,3	220,8	83,93	2,174e+004	4723	0,7827	13,05
9	1,564e+004	5,025e+004	134,0	205,0	71,03	73,15	179,4	141,7	4,574	66,28	137,1	134,8	10,65	375,0	65,36	1,006	8,386e+004	8868	-1,110e+004	3696	-3801	4,690	102,7	205,0	71,68	1,897e+004	3334	0,8243	13,66
10	1,448e+004	4,615e+004	123,1	193,9	70,82	72,57	171,6	136,3	1,053	61,92	135,2	127,2	10,62	375,0	63,55	1,034	6,682e+004	8396	-1,114e+004	4227	-3592	1,443	98,00	193,7	71,83	1,736e+004	2880	0,8341	12,96
11	1,385e+004	4,849e+004	128,5	193,4	64,90	66,82	187,3	131,7	4,075	59,35	127,6	121,5	6,297	377,4	70,25	0,9455	4,740e+004	7767	-9538	3429	-3524	4,191	89,96	182,9	65,13	1,623e+004	2385	0,8531	12,62
12	1,170e+004	4,075e+004	108,7	169,5	60,83	63,09	141,2	130,0	3,644	58,31	126,4	116,9	9,955	375,0	64,11	1,076	6,820e+004	7603	-8888	2825	-3116	3,719	90,11	169,5	61,01	1,368e+004	1980	0,8552	13,11
13	1,021e+004	3,780e+004	100,2	161,0	60,79	62,53	128,6	125,4	0,2188	54,96	125,2	111,3	9,825	377,4	62,69	1,111	9,837e+004	7268	-8218	3052	-2977	0,7042	91,26	159,8	61,29	1,195e+004	1746	0,8539	12,49
14	1,019e+004	3,722e+004	98,64	159,1	60,49	62,82	150,3	120,0	3,678	52,38	116,3	106,5	5,832	377,4	62,35	1,080	2,847e+004	6605	-7938	2218	-3036	3,747	83,45	158,2	60,49	1,207e+004	1880	0,8442	12,40
15	8518	3,474e+004	92,07	148,2	56,18	58,71	110,2	120,8	3,767	53,35	117,0	105,0	9,292	377,4	62,96	1,140	9,298e+004	6748	-7384	2296	-2643	32,50	82,78	146,2	56,18	1,006e+004	1540	0,8469	12,94
16	7391	3,063e+004	81,18	139,3	58,15	60,99	100,4	114,2	0,1709	48,72	114,1	100,7	8,786	377,4	58,85	1,240	8,685e+004	6051	-7268	2535	-2621	22,31	76,73	138,0	58,15	8776	1385	0,8422	12,00
17	7093	2,891e+004	76,62	133,7	57,09	61,00	120,7	110,8	4,588	47,69	106,2	99,30	5,818	377,4	57,38	1,296	2,404e+004	5654	-6591	1937	-2286	8,355	76,05	133,5	57,09	8687	1594	0,8165	12,07
18	5337	2,564e+004	67,96	124,7	56,73	60,27	96,53	105,1	2,762	46,02	102,3	95,67	8,348	377,4	55,99	1,408	8,392e+004	5600	-6755	1950	-2321	5,545	72,44	121,4	56,74	6830	1493	0,7814	11,89
19	5330	2,567e+004	67,61	128,5	60,91	65,86	100,6	101,9	5,668	45,16	96,28	95,86	5,668	379,7	53,48	1,418	5,083e+004	5148	-6803	1738	-2331	8,170	64,67	126,4	61,05	7406	2076	0,7197	12,17
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,363e+004	4,534e+004	120,5	196,2	75,67	78,46	174,3	133,4	5,606	63,35	127,8	125,8	10,02	376,4	62,17	1,081	1,025e+005	8207	-1,011e+004	3884	-3441	9,183	94,45	192,5	75,94	1,758e+004	3946	0,7890	13,09
Min	5330	2,564e+004	67,61	124,7	56,18	58,71	96,53	101,9	0,1709	45,16	96,28	95,67	5,668	372,7	53,48	0,9112	2,404e+004	5148	-1,385e+004	1738	-4758	0,7042	64,67	121,4	56,18	6830	1385	0,6138	11,89
Max	2,172e+004	6,237e+004	166,3	267,6	112,6	117,3	247,8	154,2	12,89	83,49	142,8	151,5	14,65	379,7	70,25	1,418	4,633e+005	1,067e+004	-6591	6334	-2286	32,50	115,6	264,7	112,7	2,932e+004	9190	0,8552	15,07
Count	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
